,Player,EspnId,EspnHeadshot
0,Nathan MacKinnon,3041969,https://a.espncdn.com/i/headshots/nhl/players/full/3041969.png
1,Leon Draisaitl,3114727,https://a.espncdn.com/i/headshots/nhl/players/full/3114727.png
2,Mikko Rantanen,3899938,https://a.espncdn.com/i/headshots/nhl/players/full/3899938.png
3,Nikita Kucherov,2563060,https://a.espncdn.com/i/headshots/nhl/players/full/2563060.png
4,Connor McDavid,3895074,https://a.espncdn.com/i/headshots/nhl/players/full/3895074.png
5,Kyle Connor,3899952,https://a.espncdn.com/i/headshots/nhl/players/full/3899952.png
6,Mitch Marner,3899937,https://a.espncdn.com/i/headshots/nhl/players/full/3899937.png
7,Jack Eichel,3648002,https://a.espncdn.com/i/headshots/nhl/players/full/3648002.png
8,Kirill Kaprizov,3942335,https://a.espncdn.com/i/headshots/nhl/players/full/3942335.png
9,Cale Makar,4233563,https://a.espncdn.com/i/headshots/nhl/players/full/4233563.png
10,Jesper Bratt,4268771,https://a.espncdn.com/i/headshots/nhl/players/full/4268771.png
11,Jack Hughes,4565222,https://a.espncdn.com/i/headshots/nhl/players/full/4565222.png
12,Martin Necas,4233586,https://a.espncdn.com/i/headshots/nhl/players/full/4233586.png
13,Mark Scheifele,2562632,https://a.espncdn.com/i/headshots/nhl/players/full/2562632.png
14,Sam Reinhart,3114722,https://a.espncdn.com/i/headshots/nhl/players/full/3114722.png
15,William Nylander,3114736,https://a.espncdn.com/i/headshots/nhl/players/full/3114736.png
16,Brayden Point,3151187,https://a.espncdn.com/i/headshots/nhl/players/full/3151187.png
17,Zach Werenski,3899972,https://a.espncdn.com/i/headshots/nhl/players/full/3899972.png
18,Travis Konecny,3900169,https://a.espncdn.com/i/headshots/nhl/players/full/3900169.png
19,Brandon Hagel,4065019,https://a.espncdn.com/i/headshots/nhl/players/full/4065019.png
20,Quinn Hughes,4320548,https://a.espncdn.com/i/headshots/nhl/players/full/4320548.png
21,Kirill Marchenko,4587996,https://a.espncdn.com/i/headshots/nhl/players/full/4587996.png
22,Sidney Crosby,3114,https://a.espncdn.com/i/headshots/nhl/players/full/3114.png
23,Dylan Strome,3899933,https://a.espncdn.com/i/headshots/nhl/players/full/3899933.png
24,Sebastian Aho,3904173,https://a.espncdn.com/i/headshots/nhl/players/full/3904173.png
25,Tim Stutzle,4697384,https://a.espncdn.com/i/headshots/nhl/players/full/4697384.png
26,Anze Kopitar,3183,https://a.espncdn.com/i/headshots/nhl/players/full/3183.png
27,Artemi Panarin,3891952,https://a.espncdn.com/i/headshots/nhl/players/full/3891952.png
28,Clayton Keller,4024857,https://a.espncdn.com/i/headshots/nhl/players/full/4024857.png
29,John Tavares,5160,https://a.espncdn.com/i/headshots/nhl/players/full/5160.png
30,David Pastrnak,3114778,https://a.espncdn.com/i/headshots/nhl/players/full/3114778.png
31,Lucas Raymond,4697385,https://a.espncdn.com/i/headshots/nhl/players/full/4697385.png
32,Brady Tkachuk,4319858,https://a.espncdn.com/i/headshots/nhl/players/full/4319858.png
33,Sean Monahan,3041996,https://a.espncdn.com/i/headshots/nhl/players/full/3041996.png
34,Jake Guentzel,3042083,https://a.espncdn.com/i/headshots/nhl/players/full/3042083.png
35,Josh Morrissey,3042016,https://a.espncdn.com/i/headshots/nhl/players/full/3042016.png
36,Adrian Kempe,3114802,https://a.espncdn.com/i/headshots/nhl/players/full/3114802.png
37,Gabriel Vilardi,4233583,https://a.espncdn.com/i/headshots/nhl/players/full/4233583.png
38,Nick Suzuki,4233594,https://a.espncdn.com/i/headshots/nhl/players/full/4233594.png
39,Drake Batherson,4271734,https://a.espncdn.com/i/headshots/nhl/players/full/4271734.png
40,Matt Duchene,5161,https://a.espncdn.com/i/headshots/nhl/players/full/5161.png
41,Mikael Granlund,5831,https://a.espncdn.com/i/headshots/nhl/players/full/5831.png
42,Matthew Tkachuk,4024854,https://a.espncdn.com/i/headshots/nhl/players/full/4024854.png
43,Aleksander Barkov,3041970,https://a.espncdn.com/i/headshots/nhl/players/full/3041970.png
44,Nico Hischier,4233555,https://a.espncdn.com/i/headshots/nhl/players/full/4233555.png
45,Cole Caufield,4565236,https://a.espncdn.com/i/headshots/nhl/players/full/4565236.png
46,Dylan Guenther,4874723,https://a.espncdn.com/i/headshots/nhl/players/full/4874723.png
47,Logan Cooley,5080143,https://a.espncdn.com/i/headshots/nhl/players/full/5080143.png
48,Marco Rossi,4697391,https://a.espncdn.com/i/headshots/nhl/players/full/4697391.png
49,Connor Bedard,5149125,https://a.espncdn.com/i/headshots/nhl/players/full/5149125.png
50,Anthony Cirelli,3941973,https://a.espncdn.com/i/headshots/nhl/players/full/3941973.png
51,Tage Thompson,4024988,https://a.espncdn.com/i/headshots/nhl/players/full/4024988.png
52,Mark Stone,5545,https://a.espncdn.com/i/headshots/nhl/players/full/5545.png
53,Nikolaj Ehlers,3114741,https://a.espncdn.com/i/headshots/nhl/players/full/3114741.png
54,Jordan Kyrou,4062251,https://a.espncdn.com/i/headshots/nhl/players/full/4062251.png
55,Aliaksei Protas,4587943,https://a.espncdn.com/i/headshots/nhl/players/full/4587943.png
56,Matt Boldy,4565233,https://a.espncdn.com/i/headshots/nhl/players/full/4565233.png
57,Evgeni Malkin,3124,https://a.espncdn.com/i/headshots/nhl/players/full/3124.png
58,Brad Marchand,3852,https://a.espncdn.com/i/headshots/nhl/players/full/3852.png
59,Rickard Rakell,2562629,https://a.espncdn.com/i/headshots/nhl/players/full/2562629.png
60,Shea Theodore,3042055,https://a.espncdn.com/i/headshots/nhl/players/full/3042055.png
61,Dylan Larkin,3114755,https://a.espncdn.com/i/headshots/nhl/players/full/3114755.png
62,Troy Terry,3942905,https://a.espncdn.com/i/headshots/nhl/players/full/3942905.png
63,Alex DeBrincat,4063433,https://a.espncdn.com/i/headshots/nhl/players/full/4063433.png
64,Anders Lee,5793,https://a.espncdn.com/i/headshots/nhl/players/full/5793.png
65,Jason Zucker,2593315,https://a.espncdn.com/i/headshots/nhl/players/full/2593315.png
66,Filip Forsberg,2968772,https://a.espncdn.com/i/headshots/nhl/players/full/2968772.png
67,Ivan Barbashev,3114985,https://a.espncdn.com/i/headshots/nhl/players/full/3114985.png
68,Jason Robertson,4233875,https://a.espncdn.com/i/headshots/nhl/players/full/4233875.png
69,Connor McMichael,4565246,https://a.espncdn.com/i/headshots/nhl/players/full/4565246.png
70,Matvei Michkov,5149170,https://a.espncdn.com/i/headshots/nhl/players/full/5149170.png
71,Jonathan Huberdeau,2562606,https://a.espncdn.com/i/headshots/nhl/players/full/2562606.png
72,Nick Schmaltz,3114770,https://a.espncdn.com/i/headshots/nhl/players/full/3114770.png
73,Conor Garland,3939718,https://a.espncdn.com/i/headshots/nhl/players/full/3939718.png
74,Pierre-Luc Dubois,4024833,https://a.espncdn.com/i/headshots/nhl/players/full/4024833.png
75,Robert Thomas,4233637,https://a.espncdn.com/i/headshots/nhl/players/full/4233637.png
76,Alex Ovechkin,3101,https://a.espncdn.com/i/headshots/nhl/players/full/3101.png
77,Victor Hedman,5157,https://a.espncdn.com/i/headshots/nhl/players/full/5157.png
78,Tom Wilson,2970615,https://a.espncdn.com/i/headshots/nhl/players/full/2970615.png
79,Alex Tuch,3114766,https://a.espncdn.com/i/headshots/nhl/players/full/3114766.png
80,Jared McCann,3114777,https://a.espncdn.com/i/headshots/nhl/players/full/3114777.png
81,Timo Meier,3899978,https://a.espncdn.com/i/headshots/nhl/players/full/3899978.png
82,Jake DeBrusk,3900240,https://a.espncdn.com/i/headshots/nhl/players/full/3900240.png
83,Mikhail Sergachev,4024868,https://a.espncdn.com/i/headshots/nhl/players/full/4024868.png
84,Adam Fox,4197146,https://a.espncdn.com/i/headshots/nhl/players/full/4197146.png
85,Elias Pettersson,4233566,https://a.espncdn.com/i/headshots/nhl/players/full/4233566.png
86,Evan Bouchard,4352722,https://a.espncdn.com/i/headshots/nhl/players/full/4352722.png
87,Mason Marchment,4272192,https://a.espncdn.com/i/headshots/nhl/players/full/4272192.png
88,Rasmus Dahlin,4294163,https://a.espncdn.com/i/headshots/nhl/players/full/4294163.png
89,Andrei Svechnikov,4352683,https://a.espncdn.com/i/headshots/nhl/players/full/4352683.png
90,JJ Peterka,4697438,https://a.espncdn.com/i/headshots/nhl/players/full/4697438.png
91,William Eklund,4874721,https://a.espncdn.com/i/headshots/nhl/players/full/4874721.png
92,Wyatt Johnston,4874740,https://a.espncdn.com/i/headshots/nhl/players/full/4874740.png
