,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position,Last Season,playerStrippedEspn,EspnHeadshot
152,,,,,,,,,,,,,,,,,,,,,,,jurajslafkovsky,https://a.espncdn.com/i/headshots/nhl/players/full/4915349.png
381,,,,,,,,,,,,,,,,,,,,,,,yegorchinakhov,https://a.espncdn.com/i/headshots/nhl/players/full/4697404.png
435,,,,,,,,,,,,,,,,,,,,,,,martinfehervary,https://a.espncdn.com/i/headshots/nhl/players/full/4378677.png
678,,,,,,,,,,,,,,,,,,,,,,,pojoseph,https://a.espncdn.com/i/headshots/nhl/players/full/4233653.png
699,,,,,,,,,,,,,,,,,,,,,,,sampoulin,https://a.espncdn.com/i/headshots/nhl/players/full/4565242.png
713,,,,,,,,,,,,,,,,,,,,,,,matejblumel,https://a.espncdn.com/i/headshots/nhl/players/full/5075578.png
841,,,,,,,,,,,,,,,,,,,,,,,maxwellcrozier,https://a.espncdn.com/i/headshots/nhl/players/full/5104716.png
849,,,,,,,,,,,,,,,,,,,,,,,eliasnpettersson,
