,Abbreviation,Team,Wins,Losses,OTL,Points,Goals For,Goals Against
1,VAN,Vancouver Canucks,53.72,20.58,7.7,115.14,298.15,215.55
2,FLA,Florida Panthers,52.05,23.84,6.11,110.21,275.67,208.72
3,DAL,Dallas Stars,50.09,23.15,8.76,108.94,304.9,249.21
4,BOS,Boston Bruins,47.44,21.5,13.06,107.94,270.17,219.04
5,WPG,Winnipeg Jets,50.24,24.47,7.29,107.77,251.81,199.55
6,NYR,New York Rangers,51.47,25.79,4.74,107.68,274.97,231.1
7,CAR,Carolina Hurricanes,49.73,25.35,6.92,106.38,278.74,229.34
8,EDM,Edmonton Oilers,50.37,28.2,3.43,104.17,289.69,239.14
9,COL,Colorado Avalanche,48.84,27.46,5.7,103.38,303.51,262.15
10,VGK,Vegas Golden Knights,47.52,26.43,8.05,103.09,266.33,230.98
11,TOR,Toronto Maple Leafs,44.6,27.27,10.13,99.33,289.8,259.31
12,LAK,Los Angeles Kings,43.24,26.49,12.27,98.75,258.24,223.17
13,TBL,Tampa Bay Lightning,44.8,30.62,6.58,96.18,283.41,272.02
14,PIT,Pittsburgh Penguins,41.78,30.92,9.3,92.86,250.4,221.31
15,NJD,New Jersey Devils,42.72,33.41,5.87,91.31,280.9,276.12
16,DET,Detroit Red Wings,41.36,32.47,8.17,90.89,277.51,270.21
17,STL,St. Louis Blues,43.16,34.4,4.44,90.76,246.39,255.67
18,PHI,Philadelphia Flyers,40.37,32.49,9.14,89.88,231.48,240.02
19,SEA,Seattle Kraken,37.97,31.7,12.33,88.27,231.96,230.05
20,NSH,Nashville Predators,40.85,37.04,4.11,85.81,248.74,267.17
21,MIN,Minnesota Wild,38.69,35.07,8.24,85.62,247.43,263.41
22,WSH,Washington Capitals,36.73,34.92,10.35,83.81,209.93,256.17
23,NYI,New York Islanders,33.73,32.55,15.72,83.18,235.78,271.21
24,CGY,Calgary Flames,37.8,37.08,7.12,82.72,243.89,250.9
25,BUF,Buffalo Sabres,36.6,39.06,6.34,79.54,245.76,260.2
26,ARI,Arizona Coyotes,35.78,39.97,6.25,77.81,237.81,264.62
27,OTT,Ottawa Senators,35.92,41.55,4.53,76.37,271.5,293.89
28,MTL,Montréal Canadiens,30.68,40.91,10.41,71.77,220.31,290.7
29,CBJ,Columbus Blue Jackets,27.22,42.28,12.5,66.94,237.63,305.51
30,ANA,Anaheim Ducks,29.61,48.1,4.29,63.51,214.95,288.23
31,SJS,San Jose Sharks,23.41,51.43,7.16,53.98,182.67,305.93
32,CHI,Chicago Blackhawks,23.51,52.94,5.55,52.57,177.71,284.54
