,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,8477495,Seth Jones,CHI,D,https://assets.nhle.com/mugs/nhl/20212022/CHI/8477495.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,sethjones,78,2044.3666666667,5,46,18,28,51,53.68,194,2.58,9.46,365,255,106,29,7,13,28,14,14,0,0,12,71,34,99,148,145,0,0,-
1,8478469,Thomas Chabot,OTT,D,https://assets.nhle.com/mugs/nhl/20212022/OTT/8478469.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,thomaschabot,59,1545.3333333333,7,31,14,17,38,40.43,173,4.05,9.59,330,227,93,21,5,26,26,13,13,0,0,18,68,29,73,108,81,0,0,-
2,8470613,Brent Burns,SJS,D,https://assets.nhle.com/mugs/nhl/20212022/SJS/8470613.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,brentburns,82,2144.0333333333,10,44,25,19,54,46.96,203,4.93,9.13,446,293,90,9,10,34,42,21,21,0,0,8,97,68,55,60,40,0,1,0.00
3,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20212022/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,krisletang,78,2010.6333333333,10,58,34,24,68,47.89,214,4.67,10.31,403,272,117,14,7,23,49,23,22,1,0,12,79,59,171,144,113,0,0,-
4,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20212022/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,drewdoughty,39,1004.05,7,24,10,14,31,52.54,99,7.07,5.45,183,127,64,10,3,12,30,15,15,0,0,6,24,9,60,77,14,0,0,-
5,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20212022/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,calemakar,77,1976.4333333333,28,58,29,29,86,52.76,240,11.67,14.93,494,319,153,14,5,37,26,13,13,0,0,15,40,49,95,73,102,0,0,-
6,8478460,Zach Werenski,CBJ,D,https://assets.nhle.com/mugs/nhl/20212022/CBJ/8478460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,zachwerenski,68,1745.3166666667,11,37,22,15,48,45.28,216,5.09,13.26,428,313,135,27,6,20,22,11,11,0,0,8,39,39,33,69,90,0,0,-
7,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20212022/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,romanjosi,80,2043.7833333333,23,73,36,37,96,63.16,281,8.19,15.79,563,385,154,28,4,37,46,23,23,0,0,18,71,48,66,138,124,0,0,-
8,8478038,Devon Toews,COL,D,https://assets.nhle.com/mugs/nhl/20212022/COL/8478038.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,devontoews,66,1674.3666666667,13,44,11,33,57,46.34,158,8.23,8.1,267,202,77,22,6,14,20,10,10,0,0,5,34,45,54,40,78,0,0,-
9,8480800,Quinn Hughes,VAN,D,https://assets.nhle.com/mugs/nhl/20212022/VAN/8480800.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,quinnhughes,76,1917.35,8,60,31,29,68,55.74,150,5.33,6.96,342,202,90,8,2,23,28,14,14,0,0,9,42,41,19,105,56,0,0,-
