,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,Jaromir Jagr,FLA,R,82,1393.9833333333,16,30,20,10,46,57.50,181,8.84,21.79,295,241,207,102,8,24,56,28,28,0,0,21,44,40,21,89,4,1,1,50.00
1,Shane Doan,ARI,R,74,1113.55,6,21,17,4,27,65.85,144,4.17,12.33,239,191,124,54,7,15,48,20,19,0,1,10,34,26,101,77,22,94,105,47.24
2,Jarome Iginla,"COL, L.A",R,80,1210.1666666667,14,13,10,3,27,60.00,154,9.09,15.38,263,209,129,59,10,14,70,25,20,4,1,19,26,24,116,69,21,16,14,53.33
3,Matt Cullen,PIT,C,72,1002.1333333333,13,18,10,8,31,70.45,95,13.68,13.32,157,128,113,65,6,17,30,14,14,0,0,15,32,20,36,78,27,440,419,51.22
4,Zdeno Chara,BOS,D,75,1749.95,10,19,10,9,29,32.95,136,7.35,6.27,279,189,62,12,3,14,59,25,22,3,0,19,62,35,130,97,140,0,1,0.00
5,Michal Rozsival,CHI,D,22,340.9,1,2,2,0,3,37.50,16,6.25,0.76,26,22,4,1,0,2,14,7,7,0,0,1,10,5,47,49,25,0,0,-
6,Shawn Thornton,FLA,L,50,384.48333333333,2,2,0,2,4,66.67,42,4.76,2.93,81,62,33,17,6,4,67,18,11,5,2,12,8,8,52,16,8,5,10,33.33
7,Joe Thornton,S.J,C,79,1426.7833333333,7,43,18,25,50,56.82,82,8.54,10.63,147,119,76,35,5,7,39,14,12,1,1,15,74,64,52,53,31,375,362,50.88
8,Patrick Marleau,S.J,L,82,1406.9333333333,27,19,7,12,46,56.10,190,14.21,25.04,326,274,224,123,11,18,28,14,14,0,0,11,51,46,82,96,32,115,100,53.49
9,Marian Hossa,CHI,R,73,1230.6,26,19,11,8,45,78.95,167,15.57,18.88,303,226,162,49,10,13,8,4,4,0,0,11,29,47,32,66,36,5,9,35.71
10,Jason Chimera,NYI,L,82,1071.1666666667,20,13,7,6,33,68.75,121,16.53,10.77,180,150,96,46,13,7,40,16,14,2,0,8,26,20,149,88,30,16,18,47.06
11,Brian Campbell,CHI,D,80,1474.3666666667,5,12,6,6,17,23.61,75,6.67,4.14,171,110,55,9,3,9,24,12,12,0,0,11,59,11,43,157,83,0,0,-
12,Mike Fisher,NSH,C,72,1196.4166666667,18,24,17,7,42,65.63,120,15.00,12.61,194,163,111,59,7,15,55,18,14,3,1,8,19,21,160,43,64,703,577,54.92
13,Mike Ribeiro,NSH,C,46,734.61666666667,4,21,10,11,25,65.79,38,10.53,4.03,74,50,42,14,1,2,14,7,7,0,0,4,27,10,33,38,6,183,261,41.22
14,Francois Beauchemin,COL,D,81,1742.7666666667,5,13,8,5,18,31.58,132,3.79,4.39,279,189,50,9,4,6,32,16,16,0,0,7,47,28,73,48,156,0,0,-
15,Brian Gionta,BUF,R,82,1361.6333333333,15,20,14,6,35,76.09,149,10.07,13.86,243,204,121,63,10,14,22,11,11,0,0,7,26,28,54,77,30,46,60,43.40
16,Chris Neil,OTT,R,53,401.28333333333,1,3,1,2,4,66.67,42,2.38,3.28,66,51,35,17,3,3,63,21,14,7,0,16,9,11,108,48,20,0,0,-
17,Andrei Markov,MTL,D,62,1353.8333333333,6,30,21,9,36,55.38,98,6.12,3.8,223,140,46,4,2,13,16,8,8,0,0,9,69,28,39,67,73,0,0,-
18,Daniel Sedin,VAN,L,82,1507.6,15,29,22,7,44,67.69,216,6.94,17.88,345,285,186,73,10,11,32,16,16,0,0,9,30,26,20,74,18,3,3,50.00
19,Henrik Sedin,VAN,C,82,1561.3333333333,15,35,13,22,50,76.92,99,15.15,9.32,160,129,99,52,3,10,28,13,13,0,0,8,52,29,15,39,11,611,635,49.04
20,Chris Kelly,OTT,C,82,979.0,5,7,6,1,12,80.00,86,5.81,7.67,129,105,62,34,8,8,23,10,9,1,0,5,24,18,71,53,48,223,278,44.51
21,Derek MacKenzie,FLA,C,82,1030.3166666667,6,10,7,3,16,59.26,91,6.59,7.92,155,125,70,31,4,6,50,18,15,2,1,22,25,34,192,58,45,386,386,50.00
22,Henrik Zetterberg,DET,L,82,1617.4,17,51,35,16,68,73.12,195,8.72,15.65,335,257,158,51,2,13,22,11,11,0,0,17,37,38,58,85,30,705,657,51.76
23,Radim Vrbata,ARI,R,81,1368.6833333333,20,35,24,11,55,74.32,233,8.58,16.69,409,313,182,49,8,17,16,8,8,0,0,6,32,34,48,46,31,17,30,36.17
24,Joel Ward,S.J,R,78,1243.55,10,19,8,11,29,65.91,105,9.52,14.63,210,164,142,88,2,13,28,14,14,0,0,10,52,34,61,94,56,223,233,48.90
25,Mark Streit,"PHI, PIT",D,68,1273.1,6,21,6,15,27,48.21,114,5.26,6.19,224,154,45,14,0,13,28,14,14,0,0,7,39,16,38,91,92,0,0,-
26,Marian Gaborik,L.A,R,56,828.21666666667,10,11,9,2,21,58.33,123,8.13,11.73,216,169,145,51,10,17,18,9,9,0,0,5,24,7,21,35,15,0,1,0.00
27,Scott Hartnell,CBJ,L,78,940.83333333333,13,24,15,9,37,77.08,104,12.50,11.27,172,137,98,54,3,10,63,23,19,3,1,21,30,17,94,49,40,3,3,50.00
28,Ron Hainsey,"CAR, PIT",D,72,1586.15,4,13,8,5,17,32.08,71,5.63,2.85,186,109,44,6,5,13,21,9,8,1,0,7,47,25,93,64,120,0,0,-
29,Brooks Orpik,WSH,D,79,1405.1,0,14,6,8,14,22.22,93,0.00,2.6,181,126,34,2,3,5,48,20,18,2,0,12,36,12,181,129,132,0,0,-
30,Steve Ott,"DET, MTL",C,53,570.48333333333,3,4,2,2,7,77.78,45,6.67,4.39,76,57,37,18,3,2,80,24,15,8,1,20,8,11,144,52,23,153,125,55.04
31,Justin Williams,WSH,R,80,1238.1333333333,24,24,8,16,48,67.61,167,14.37,17.89,290,235,162,85,3,18,50,25,25,0,0,15,44,37,28,123,41,64,53,54.70
32,Niklas Kronwall,DET,D,57,1108.8333333333,2,11,5,6,13,27.66,67,2.99,4.09,137,90,44,8,1,5,32,16,16,0,0,3,23,6,77,61,81,0,0,-
33,Nick Schultz,PHI,D,28,427.11666666667,0,4,3,1,4,26.67,25,0.00,1.03,63,41,15,3,1,1,10,5,5,0,0,0,13,2,45,50,61,0,0,-
34,Antoine Vermette,ANA,C,72,1145.05,9,19,10,9,28,57.14,88,10.23,11.52,162,131,92,50,5,8,42,17,16,0,1,11,28,14,51,74,45,744,451,62.26
35,Paul Martin,S.J,D,81,1557.35,4,22,5,17,26,41.94,57,7.02,1.74,126,76,26,2,4,8,20,10,10,0,0,2,57,36,41,88,124,0,0,-
36,Dominic Moore,BOS,C,82,1061.2166666667,11,14,7,7,25,73.53,96,11.46,9.8,152,117,87,37,12,8,44,22,22,0,0,14,26,31,63,82,42,357,297,54.59
37,Matt Hendricks,EDM,"C, L",42,451.45,4,3,0,3,7,58.33,42,9.52,3.15,61,51,30,13,7,0,29,13,12,1,0,8,9,10,79,47,39,132,100,56.90
