,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
244,Douglas Murray,S.J,D,79,1606.6666666667,4,13,5,8,17,25.00,85,4.71,3.43,205,133,47,3,2,5,66,26,23,2,1,8,42,24,233,174,99,0,0,-
245,Darren Haydar,COL,R,1,5.3666666666667,0,0,0,0,0,-,2,0.00,0.04,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
246,Jerred Smithson,NSH,C,69,964.1,9,4,3,1,13,44.83,54,16.67,7.4,109,84,52,25,9,5,54,16,12,2,2,11,22,30,84,61,41,301,247,54.93
247,Ruslan Fedotenko,PIT,L,80,1172.1,11,19,10,9,30,61.22,158,6.96,15.64,284,221,174,73,12,14,50,21,20,0,1,29,16,19,132,93,46,10,18,35.71
248,Joel Ward,NSH,R,71,1245.6,13,21,16,5,34,77.27,134,9.70,15.38,249,201,131,67,8,14,18,9,9,0,0,25,27,62,42,119,62,31,50,38.27
249,Jim Vandermeer,PHX,D,62,1095.7166666667,4,8,5,3,12,33.33,64,6.25,2.59,145,90,34,5,1,8,60,23,20,2,1,12,21,14,158,102,56,0,0,-
250,Sean Avery,NYR,L,69,923.11666666667,11,20,12,8,31,70.45,139,7.91,13.99,234,183,154,70,8,16,160,52,40,8,4,48,13,17,145,172,17,4,10,28.57
251,Eric Godard,PIT,R,45,188.31666666667,1,2,1,1,3,42.86,17,5.88,1.68,30,24,19,9,2,2,76,22,13,8,1,11,2,1,30,22,4,1,0,100.00
252,Mark Streit,NYI,D,82,2107.2333333333,11,38,23,15,49,41.53,187,5.88,12.33,417,278,104,15,11,21,48,24,24,0,0,12,73,76,78,97,132,0,1,0.00
253,Brian Pothier,"CAR, WSH",D,61,1160.2333333333,5,10,3,7,15,31.25,81,6.17,4.11,174,108,41,9,3,5,21,9,8,1,0,5,25,20,86,76,107,0,0,-
254,Steve Reinprecht,FLA,C,82,1319.25,16,22,15,7,38,63.33,124,12.90,15.79,206,170,133,70,5,13,18,9,9,0,0,22,33,38,32,99,64,472,517,47.72
255,Andy McDonald,STL,L,79,1432.4,24,33,18,15,57,69.51,191,12.57,19.61,315,255,191,77,12,21,18,9,9,0,0,20,34,30,46,87,28,241,206,53.91
256,Mathieu Darche,MTL,L,29,314.48333333333,5,5,3,2,10,58.82,43,11.63,4.19,62,53,45,28,2,3,4,1,1,0,0,2,4,10,39,43,12,3,2,60.00
257,Mike Weaver,STL,D,77,1305.9,1,9,1,8,10,25.00,33,3.03,1.27,89,58,14,0,1,3,29,13,12,1,0,14,19,30,48,99,127,1,1,50.00
258,Dany Heatley,S.J,L,82,1658.7166666667,39,43,26,17,82,72.57,280,13.93,34.04,518,397,332,154,20,46,50,24,24,0,0,17,55,38,81,161,35,14,21,40.00
259,Marian Gaborik,NYR,R,76,1614.7333333333,42,44,31,13,86,77.48,272,15.44,36.52,478,383,366,165,16,27,37,17,16,1,0,18,46,25,59,99,31,2,5,28.57
