,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,Jaromir Jagr,"BOS, DAL",R,45,824.85,16,19,10,9,35,67.31,115,13.91,12.73,207,157,136,63,5,15,22,11,11,0,0,11,28,19,13,60,10,0,1,0.00
1,Teemu Selanne,ANA,R,46,721.85,12,12,10,2,24,75.00,96,12.50,10.83,167,131,110,47,6,9,28,6,4,0,2,6,31,23,8,35,10,85,83,50.60
2,Alex Kovalev,FLA,R,14,218.58333333333,2,3,2,1,5,50.00,21,9.52,1.94,44,31,24,7,1,0,6,3,3,0,0,2,4,3,7,23,5,1,2,33.33
3,Ray Whitney,DAL,L,32,620.66666666667,11,18,9,9,29,80.56,62,17.74,7.47,138,97,72,30,5,6,4,2,2,0,0,7,41,29,10,15,14,16,35,31.37
4,Mike Knuble,PHI,R,28,361.75,4,4,3,1,8,57.14,31,12.90,2.85,55,42,31,15,1,4,20,9,9,0,0,2,3,3,25,25,11,4,3,57.14
5,Roman Hamrlik,"NYR, WSH",D,16,183.66666666667,0,1,0,1,1,33.33,7,0.00,0.25,21,13,1,0,0,0,8,4,4,0,0,0,3,1,8,13,14,0,0,-
6,Sergei Gonchar,OTT,D,45,1079.6833333333,3,24,9,15,27,62.79,85,3.53,4.48,191,120,43,5,2,12,26,13,13,0,0,2,28,10,25,66,65,0,0,-
7,Adrian Aucoin,CBJ,D,36,588.0,0,4,2,2,4,30.77,26,0.00,0.58,65,38,3,0,1,3,16,8,8,0,0,3,8,4,43,9,13,0,0,-
8,Saku Koivu,ANA,C,47,827.21666666667,8,19,10,9,27,84.38,55,14.55,8.17,108,78,79,28,3,7,18,9,9,0,0,8,21,14,31,31,15,437,414,51.35
9,Todd Bertuzzi,DET,R,7,108.63333333333,2,1,0,1,3,60.00,10,20.00,0.62,17,13,10,1,0,1,2,1,1,0,0,1,4,0,6,5,1,0,0,-
10,Jay Pandolfo,BOS,L,18,163.31666666667,0,0,0,0,0,-,11,0.00,0.59,19,15,6,3,0,2,2,1,1,0,0,3,3,1,25,20,8,2,3,40.00
11,Jamie Langenbrunner,STL,R,4,39.116666666667,0,1,0,1,1,100.00,5,0.00,0.23,5,5,2,1,0,0,0,0,0,0,0,0,1,0,4,2,0,0,4,0.00
12,Vinny Prospal,CBJ,L,48,793.26666666667,12,18,5,13,30,83.33,85,14.12,8.5,153,111,73,37,3,4,32,12,11,0,1,3,11,25,37,72,18,4,5,44.44
13,Jamal Mayers,CHI,R,19,132.43333333333,0,2,1,1,2,40.00,10,0.00,0.91,17,15,8,3,1,0,16,5,3,2,0,2,2,3,26,15,4,42,36,53.85
14,Hal Gill,NSH,D,32,428.31666666667,0,0,0,0,0,0.00,8,0.00,0.36,25,11,8,1,1,1,12,6,6,0,0,2,12,7,28,23,38,0,0,-
15,Kimmo Timonen,PHI,D,45,979.48333333333,5,24,14,10,29,46.77,78,6.41,3.89,169,113,32,2,1,9,36,18,18,0,0,4,21,13,31,48,79,0,0,-
16,Scott Nichol,STL,C,30,293.35,1,0,0,0,1,20.00,13,7.69,0.89,22,17,14,5,0,0,25,7,5,1,1,6,1,6,27,15,13,132,86,60.55
17,Ed Jovanovski,FLA,D,6,93.983333333333,0,1,1,0,1,50.00,6,0.00,0.25,16,10,1,0,0,1,0,0,0,0,0,1,6,1,3,7,8,0,0,-
18,Ryan Smyth,EDM,L,47,722.41666666667,2,11,9,2,13,68.42,69,2.90,6.39,113,96,68,39,5,8,40,16,15,0,1,10,26,15,41,49,24,87,115,43.07
19,Patrik Elias,N.J,C,48,898.53333333333,14,22,14,8,36,83.72,118,11.86,12.62,210,155,119,49,8,7,22,11,11,0,0,13,21,26,20,45,14,71,92,43.56
20,Sheldon Souray,ANA,D,44,920.88333333333,7,10,2,8,17,31.48,80,8.75,4.04,167,107,31,1,3,7,52,22,20,2,0,6,32,9,34,20,58,1,0,100.00
21,Milan Hejduk,COL,R,29,381.11666666667,4,7,5,2,11,73.33,41,9.76,4.55,69,51,48,23,2,3,0,0,0,0,0,1,16,6,6,21,8,2,4,33.33
22,Daniel Alfredsson,OTT,R,47,909.43333333333,10,16,9,7,26,60.47,101,9.90,10.87,202,143,91,33,5,12,33,11,9,1,1,11,36,37,28,47,30,16,22,42.11
23,Bryce Salvador,N.J,D,39,831.81666666667,0,2,2,0,2,14.29,29,0.00,0.92,81,42,15,1,1,4,22,11,11,0,0,5,22,11,36,68,79,0,0,-
