,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,Rob Blake,L.A,D,71,1614.0666666667,9,22,12,10,31,41.89,144,6.25,8.84,276,199,69,18,6,17,98,37,34,0,3,7,58,21,93,25,143,4,4,50.00
1,Rod Brind'Amour,CAR,C,59,1324.55,19,32,18,14,51,73.91,151,12.58,16.39,234,188,146,73,9,15,38,19,19,0,0,22,26,31,55,83,38,851,609,58.29
2,Patrice Brisebois,MTL,D,43,723.8,3,8,4,4,11,33.33,42,7.14,2.68,112,72,33,4,1,2,26,8,7,0,1,7,37,15,29,60,40,0,0,-
3,Chris Chelios,DET,D,69,1170.2333333333,3,9,4,5,12,33.33,60,5.00,2.87,157,106,28,4,1,4,36,18,18,0,0,12,44,15,56,66,46,0,0,-
4,Kris Draper,DET,C,65,1016.1166666667,9,8,6,2,17,70.83,97,9.28,10.94,161,137,85,39,7,5,68,34,34,0,0,18,17,19,90,51,25,553,391,58.58
5,Sergei Fedorov,"CBJ, WSH",C,68,1201.8333333333,11,30,16,14,41,70.69,128,8.59,11.95,245,192,117,35,9,14,38,19,19,0,0,16,44,37,41,39,22,562,449,55.59
6,Martin Gelinas,NSH,L,57,803.7,9,11,9,2,20,66.67,110,8.18,13.03,168,150,111,54,4,12,20,10,10,0,0,14,22,35,50,86,12,11,11,50.00
7,Bobby Holik,ATL,C,82,1309.7833333333,15,19,9,10,34,59.65,140,10.71,12.27,240,187,142,43,9,8,90,41,40,0,1,21,30,65,147,85,41,877,625,58.39
8,Jaromir Jagr,NYR,R,82,1678.35,25,46,27,19,71,75.53,249,10.04,28.22,464,356,309,136,10,26,58,28,28,0,0,35,69,40,27,112,16,1,2,33.33
9,Trevor Linden,VAN,C,59,666.58333333333,7,5,5,0,12,66.67,45,15.56,3.84,74,57,39,18,3,4,15,6,5,1,0,9,14,11,48,21,16,158,158,50.00
10,Mike Modano,DAL,C,82,1577.6333333333,21,36,16,20,57,65.52,200,10.50,18.25,385,293,153,31,13,19,48,24,24,0,0,29,82,86,10,52,28,563,582,49.17
11,Owen Nolan,CGY,R,77,1274.5333333333,16,16,14,2,32,62.75,163,9.82,17.9,286,229,162,75,9,16,71,31,28,3,0,23,50,44,86,49,22,181,165,52.31
12,Teppo Numminen,BUF,D,1,16.05,0,0,0,0,0,-,1,0.00,0.01,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,-
13,Mark Recchi,"ATL, PIT",R,72,1284.9833333333,14,34,20,14,48,68.57,121,11.57,14.48,180,151,124,65,2,16,32,16,16,0,0,10,44,34,71,92,22,27,31,46.55
14,Luke Richardson,OTT,D,76,936.45,2,7,3,4,9,24.32,41,4.88,1.28,88,58,17,3,0,6,41,16,13,3,0,7,22,13,65,108,55,0,0,-
15,Gary Roberts,PIT,L,38,506.75,3,12,9,3,15,78.95,41,7.32,5.56,64,54,51,29,1,6,40,17,15,2,0,14,9,11,43,29,5,5,2,71.43
16,Jeremy Roenick,S.J,C,69,948.71666666667,14,19,10,9,33,63.46,89,15.73,10.17,143,123,91,33,5,10,26,12,12,0,0,9,58,21,96,89,22,83,105,44.15
17,Joe Sakic,COL,C,44,879.48333333333,13,27,14,13,40,70.18,124,10.48,10.88,209,155,122,39,3,19,20,10,10,0,0,10,33,24,11,19,21,296,290,50.51
18,Mathieu Schneider,ANA,D,65,1449.4166666667,12,27,16,11,39,46.43,139,8.63,9.29,309,220,71,7,3,13,50,25,25,0,0,8,34,35,78,51,56,0,0,-
19,Brendan Shanahan,NYR,L,73,1351.1166666667,23,23,9,14,46,63.89,265,8.68,25.23,418,340,247,77,17,16,35,16,15,1,0,12,33,32,47,32,47,6,2,75.00
20,Mike Sillinger,NYI,C,52,967.18333333333,14,12,10,2,26,76.47,94,14.89,10.21,161,131,97,44,7,12,28,13,13,0,0,15,32,30,28,17,25,578,449,56.28
21,Mats Sundin,TOR,C,74,1482.6666666667,32,46,28,18,78,75.73,259,12.36,24.2,447,357,243,96,8,26,76,34,33,0,1,33,54,21,33,65,34,945,768,55.17
22,Scott Thornton,L.A,L,47,413.43333333333,5,3,2,1,8,50.00,35,14.29,3.91,65,54,43,20,2,6,39,14,11,3,0,13,24,7,49,28,14,18,22,45.00
23,Wes Walz,MIN,C,11,151.8,1,3,1,2,4,100.00,9,11.11,0.58,15,13,9,2,0,0,6,3,3,0,0,1,5,8,1,4,8,62,73,45.93
24,Glen Wesley,CAR,D,78,1255.4166666667,1,7,4,3,8,22.86,63,1.59,2.0,136,92,20,2,5,5,52,22,21,0,1,18,17,15,85,127,110,0,0,-
25,Stu Barnes,DAL,C,79,1076.4333333333,12,11,4,7,23,74.19,71,16.90,6.56,139,109,80,26,7,7,26,12,12,0,0,17,29,62,14,35,25,343,284,54.70
26,Keith Carney,MIN,D,61,815.78333333333,1,10,4,6,11,35.48,27,3.70,1.11,61,44,13,2,1,1,42,17,16,0,1,8,17,6,39,41,37,0,0,-
27,Craig Conroy,CGY,C,79,1355.45,12,22,8,14,34,57.63,116,10.34,14.14,195,160,126,66,9,6,71,34,33,1,0,22,55,53,98,86,55,726,685,51.45
28,Jim Dowd,PHI,C,73,616.23333333333,5,5,3,2,10,76.92,41,12.20,2.65,63,50,26,10,4,2,41,19,18,1,0,10,15,14,32,32,17,240,206,53.81
29,Dallas Drake,DET,R,65,695.48333333333,3,3,2,1,6,60.00,46,6.52,3.74,81,63,37,14,4,3,41,13,8,5,0,23,11,17,92,88,25,29,41,41.43
30,Adam Foote,"CBJ, COL",D,75,1754.25,1,15,3,12,16,30.77,66,1.52,2.48,139,96,19,4,4,7,107,40,36,1,3,26,18,18,93,72,148,0,0,-
31,Bill Guerin,NYI,R,81,1407.9666666667,23,21,14,7,44,66.67,227,10.13,20.58,397,307,193,77,11,24,65,28,25,3,0,22,54,44,62,41,20,12,6,66.67
32,Derian Hatcher,PHI,D,44,928.35,2,5,2,3,7,20.00,27,7.41,1.79,58,35,18,7,1,5,33,15,14,1,0,14,33,12,106,43,72,0,0,-
