,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,Jaromir Jagr,N.J,R,82,1570.9833333333,24,43,23,20,67,69.07,231,10.39,24.91,385,309,256,100,12,19,46,23,23,0,0,14,59,36,4,84,9,0,2,0.00
1,Teemu Selanne,ANA,R,64,904.08333333333,9,18,10,8,27,62.79,111,8.11,14.28,194,158,150,65,10,17,12,5,5,0,0,16,31,16,15,59,8,46,60,43.40
2,Ray Whitney,DAL,L,69,963.46666666667,9,23,14,9,32,71.11,124,7.26,12.42,237,176,115,45,7,16,14,7,7,0,0,5,43,25,14,27,16,1,1,50.00
3,Sergei Gonchar,DAL,D,76,1338.3666666667,2,20,8,12,22,38.60,89,2.25,4.83,210,129,48,6,5,15,20,10,10,0,0,8,33,10,71,97,81,0,0,-
4,Saku Koivu,ANA,C,65,978.15,11,18,8,10,29,72.50,81,13.58,8.59,129,105,85,45,4,8,46,23,23,0,0,14,34,25,29,38,30,538,529,50.42
5,Todd Bertuzzi,DET,R,59,864.53333333333,9,7,4,3,16,36.36,100,9.00,10.46,153,132,101,57,5,8,40,20,20,0,0,7,27,13,72,32,14,9,9,50.00
6,Hal Gill,PHI,D,6,89.05,0,0,0,0,0,0.00,1,0.00,0.07,6,4,2,0,1,0,2,1,1,0,0,0,1,1,7,7,6,0,0,-
7,Kimmo Timonen,PHI,D,77,1565.3833333333,6,29,16,13,35,40.70,152,3.95,7.81,293,213,66,9,4,24,32,16,16,0,0,6,31,13,75,83,112,0,0,-
8,Ed Jovanovski,FLA,D,37,598.28333333333,1,4,1,3,5,22.73,44,2.27,1.87,83,55,14,2,1,3,39,14,12,1,1,5,12,8,34,29,42,0,0,-
9,Ryan Smyth,EDM,L,72,1110.5333333333,10,13,6,7,23,54.76,129,7.75,15.24,202,175,135,87,10,12,44,22,22,0,0,12,35,27,58,80,29,91,91,50.00
10,Patrik Elias,N.J,C,65,1162.1666666667,18,35,19,16,53,76.81,116,15.52,10.31,193,145,103,38,7,3,30,11,10,0,1,11,32,26,26,59,19,276,401,40.77
11,Daniel Alfredsson,DET,R,68,1151.0666666667,18,31,16,15,49,71.01,151,11.92,14.44,271,202,120,42,4,13,10,5,5,0,0,12,36,24,59,66,25,5,9,35.71
12,Bryce Salvador,N.J,D,40,811.75,1,3,3,0,4,16.67,24,4.17,0.96,71,38,17,1,1,2,29,13,12,1,0,10,21,12,47,73,50,0,0,-
13,Eric Boulton,NYI,L,23,147.43333333333,2,2,1,1,4,100.00,21,9.52,1.64,31,24,20,10,1,4,88,20,9,8,3,13,4,1,32,22,6,0,0,-
14,Shane Doan,PHX,R,69,1306.9333333333,23,24,16,8,47,61.04,167,13.77,19.21,318,248,186,93,9,12,34,13,12,0,1,15,20,48,135,113,22,6,6,50.00
15,Radek Dvorak,CAR,R,60,638.41666666667,4,5,4,1,9,40.91,52,7.69,4.18,92,71,50,21,5,3,41,14,12,1,1,3,21,26,17,59,25,6,6,50.00
16,Jarome Iginla,BOS,R,78,1420.8333333333,30,31,19,12,61,62.89,209,14.35,21.68,395,300,231,78,11,21,47,16,11,5,0,17,29,30,142,92,27,8,29,21.62
17,Michal Handzus,CHI,C,59,805.15,4,12,5,7,16,69.57,50,8.00,4.91,76,60,49,22,1,4,16,8,8,0,0,9,11,14,35,66,55,329,335,49.55
18,Stephane Robidas,"ANA, DAL",D,38,766.61666666667,5,5,2,3,10,23.26,56,8.93,2.46,122,85,24,2,0,11,20,10,10,0,0,6,11,4,96,112,49,0,0,-
19,Chris Phillips,OTT,D,70,1345.9333333333,1,14,6,8,15,27.27,90,1.11,3.58,173,119,37,5,4,9,30,15,15,0,0,7,46,10,140,113,95,0,0,-
20,Derek Morris,PHX,D,63,1225.2666666667,5,12,6,6,17,37.78,82,6.10,3.14,200,136,24,3,7,15,41,19,18,1,0,6,23,21,99,83,104,0,0,-
21,Daniel Briere,MTL,C,69,881.01666666667,13,12,9,3,25,64.10,118,11.02,13.35,188,150,116,68,9,17,30,15,15,0,0,15,17,22,23,47,11,171,179,48.86
