,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
533,8480813,Joe Veleno,DET,C,https://assets.nhle.com/mugs/nhl/20232024/DET/8480813.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,joeveleno,80,1116.5166666667,12,16,8,8,28,57.14,86,13.95,11.85,168,132,95,50,4,14,25,10,9,1,0,16,13,23,90,81,35,305,317,49.04
534,8482146,Luke Evangelista,NSH,R,https://assets.nhle.com/mugs/nhl/20232024/NSH/8482146.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,lukeevangelista,80,1116.4333333333,16,23,17,6,39,59.09,171,9.36,18.28,277,221,168,83,12,25,18,8,8,0,0,18,46,38,26,103,23,1,3,25.00
535,8477919,Frederick Gaudreau,MIN,C,https://assets.nhle.com/mugs/nhl/20232024/MIN/8477919.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,frederickgaudreau,67,933.41666666667,5,10,4,6,15,62.50,105,4.76,7.09,185,140,67,23,6,6,12,6,6,0,0,3,18,17,22,46,47,272,274,49.82
536,8475231,Casey Cizikas,NYI,C,https://assets.nhle.com/mugs/nhl/20232024/NYI/8475231.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,caseycizikas,70,975.86666666667,10,13,5,8,23,71.88,82,12.20,9.89,142,110,90,53,9,18,22,11,11,0,0,13,25,25,118,93,71,345,301,53.41
537,8477810,Joel Hanley,CGY,D,https://assets.nhle.com/mugs/nhl/20232024/CGY/8477810.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,joelhanley,42,583.6,1,4,2,2,5,22.73,19,5.26,1.09,66,37,18,3,2,7,30,12,10,2,0,3,11,2,45,88,47,0,0,-
538,8481564,Ryan Johnson,BUF,D,https://assets.nhle.com/mugs/nhl/20232024/BUF/8481564.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,ryanjohnsonD,41,568.55,0,7,4,3,7,31.82,35,0.00,1.47,86,56,21,6,5,3,12,6,6,0,0,2,12,13,7,65,39,0,0,-
539,8483471,Brad Lambert,WPG,C,https://assets.nhle.com/mugs/nhl/20232024/WPG/8483471.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,bradlambert,1,13.85,0,1,0,1,1,100.00,2,0.00,0.28,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,42.86
540,8475722,Jason Zucker,NSH,L,https://assets.nhle.com/mugs/nhl/20232024/NSH/8475722.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,jasonzucker,69,953.85,14,18,11,7,32,68.09,150,9.33,17.01,276,224,154,70,13,31,79,23,17,3,3,21,37,26,87,63,18,13,20,39.39
541,8471686,Marc Staal,PHI,D,https://assets.nhle.com/mugs/nhl/20232024/PHI/8471686.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,marcstaal,35,483.41666666667,1,4,2,2,5,25.00,20,5.00,1.24,59,37,18,3,0,5,14,7,7,0,0,3,9,4,29,29,44,0,0,-
542,8481600,Tobias Bjornfot,FLA,D,https://assets.nhle.com/mugs/nhl/20232024/FLA/8481600.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,tobiasbjornfot,4,55.233333333333,0,0,0,0,0,-,1,0.00,0.01,3,2,1,0,0,0,2,1,1,0,0,0,2,0,3,12,7,0,0,-
