,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
0,Jaromir Jagr,"FLA, N.J",R,77,1352.9,17,30,21,9,47,65.28,169,10.06,17.75,300,226,207,75,9,17,48,24,24,0,0,18,46,38,30,98,14,1,0,100.00
1,Sergei Gonchar,"DAL, MTL",D,48,849.03333333333,1,13,6,7,14,43.75,46,2.17,1.96,123,76,18,1,0,6,18,9,9,0,0,2,29,5,45,61,71,1,0,100.00
2,Kimmo Timonen,CHI,D,16,191.6,0,0,0,0,0,0.00,10,0.00,0.16,17,11,1,0,0,0,2,1,1,0,0,0,6,0,15,28,15,0,0,-
3,Patrik Elias,N.J,C,69,1217.3,13,21,12,9,34,87.18,114,11.40,12.38,197,161,129,50,5,7,12,6,6,0,0,7,40,18,23,70,25,263,410,39.08
4,Bryce Salvador,N.J,D,15,277.53333333333,0,2,2,0,2,33.33,13,0.00,0.38,27,17,3,0,0,2,20,7,5,2,0,4,7,1,22,22,19,0,0,-
5,Eric Boulton,NYI,L,10,71.966666666667,2,0,0,0,2,100.00,9,22.22,1.01,13,11,6,5,0,1,30,8,5,2,1,5,1,1,10,6,4,0,0,-
6,Shane Doan,ARI,R,79,1491.7666666667,14,22,16,6,36,55.38,189,7.41,19.24,315,256,170,93,14,22,65,27,24,3,0,19,42,43,189,144,26,3,8,27.27
7,Jarome Iginla,COL,R,82,1487.1166666667,29,30,23,7,59,76.62,189,15.34,17.0,350,245,170,58,9,19,42,14,10,4,0,15,30,31,99,77,47,57,71,44.53
8,Stephane Robidas,TOR,D,52,887.61666666667,1,6,1,5,7,23.33,34,2.94,1.43,88,57,17,2,2,6,34,17,17,0,0,4,16,8,141,135,75,0,0,-
9,Chris Phillips,OTT,D,36,752.26666666667,0,3,2,1,3,13.04,29,0.00,0.87,69,41,17,2,1,3,12,6,6,0,0,3,26,7,70,66,54,0,0,-
10,Daniel Briere,COL,C,57,690.95,8,4,1,3,12,57.14,69,11.59,6.38,113,96,60,29,6,7,18,9,9,0,0,9,9,23,19,35,9,13,11,54.17
11,Dainius Zubrus,N.J,C,74,1084.7666666667,4,6,4,2,10,37.04,72,5.56,6.55,105,92,67,28,3,10,42,20,20,0,0,13,19,19,99,103,41,37,49,43.02
12,Matt Cullen,NSH,C,62,806.81666666667,7,18,7,11,25,60.98,90,7.78,8.76,162,130,96,42,8,3,16,8,8,0,0,8,22,26,10,52,18,155,132,54.01
13,Zdeno Chara,BOS,D,63,1470.9166666667,8,12,5,7,20,32.79,138,5.80,7.12,254,178,60,23,4,9,42,21,21,0,0,11,55,14,125,88,99,1,0,100.00
14,Michal Rozsival,CHI,D,65,1105.8833333333,1,12,4,8,13,30.23,56,1.79,2.19,136,80,28,3,1,5,22,11,11,0,0,5,36,17,103,164,87,0,0,-
15,Craig Adams,PIT,R,70,682.18333333333,1,6,3,3,7,58.33,51,1.96,4.07,76,64,43,18,5,5,44,11,7,2,2,8,7,6,183,71,29,17,23,42.50
16,Willie Mitchell,FLA,D,66,1430.8,3,5,2,3,8,16.67,78,3.85,2.77,183,109,35,4,4,6,25,11,10,1,0,7,34,17,99,128,144,0,0,-
17,Matt Cooke,MIN,L,29,365.4,4,6,3,3,10,83.33,24,16.67,2.18,48,31,24,13,1,2,13,5,4,1,0,10,7,11,39,37,22,3,6,33.33
18,Shawn Thornton,FLA,L,46,440.86666666667,1,4,1,3,5,71.43,53,1.89,3.76,85,68,37,19,4,1,50,16,10,6,0,10,5,10,93,31,5,3,9,25.00
19,Joe Thornton,S.J,C,78,1437.0833333333,16,49,28,21,65,68.42,131,12.21,17.01,258,187,127,49,10,21,30,15,15,0,0,15,91,60,39,68,26,554,401,58.01
20,Patrick Marleau,S.J,"C, L",82,1606.4333333333,19,38,21,17,57,61.29,233,8.15,28.24,412,309,227,109,14,31,12,6,6,0,0,10,75,44,85,83,28,171,185,48.03
21,Olli Jokinen,"NSH, STL, TOR",C,62,822.36666666667,4,6,6,0,10,58.82,110,3.64,7.86,182,148,77,27,4,8,28,14,14,0,0,10,11,11,64,37,19,134,196,40.61
22,Eric Brewer,"ANA, T.B, TOR",D,44,822.13333333333,3,8,3,5,11,28.95,33,9.09,1.72,90,54,21,2,0,2,36,18,18,0,0,4,16,8,87,56,72,0,0,-
23,Marian Hossa,CHI,R,82,1521.4666666667,22,39,21,18,61,71.76,247,8.91,23.55,450,320,252,84,7,22,32,16,16,0,0,15,30,68,62,69,26,4,3,57.14
24,Daniel Cleary,DET,R,17,155.26666666667,1,1,0,1,2,100.00,17,5.88,0.84,28,22,12,3,0,1,6,3,3,0,0,1,1,2,21,26,9,2,2,50.00
25,Scott Hannan,S.J,D,58,946.11666666667,2,5,3,2,7,21.88,53,3.77,2.01,96,69,21,5,0,5,26,13,13,0,0,3,16,8,32,58,69,0,0,-
26,Brenden Morrow,T.B,L,70,652.93333333333,3,5,4,1,8,40.00,28,10.71,4.97,60,47,41,24,1,5,64,22,17,4,1,15,20,11,112,68,16,0,0,-
27,Jason Chimera,WSH,L,77,996.05,7,12,9,3,19,65.52,96,7.29,8.17,179,135,88,41,8,7,51,21,18,3,0,15,15,27,132,89,18,43,33,56.58
28,Brian Campbell,FLA,D,82,1903.0833333333,3,24,13,11,27,34.18,118,2.54,5.75,219,156,48,8,1,6,22,11,11,0,0,5,34,16,44,182,85,0,0,-
29,Andrew Ference,EDM,D,70,1321.3833333333,3,11,0,11,14,32.56,58,5.17,2.58,165,105,27,2,3,7,35,16,15,1,0,10,38,12,156,112,86,0,2,0.00
30,Martin St. Louis,NYR,R,74,1299.65,21,31,19,12,52,68.42,144,14.58,18.51,241,196,153,84,5,9,20,10,10,0,0,18,43,41,13,67,37,51,59,46.36
31,Pascal Dupuis,PIT,R,16,266.35,6,5,3,2,11,78.57,44,13.64,3.7,65,54,33,15,3,2,4,2,2,0,0,1,5,6,20,16,8,1,0,100.00
32,Dan Boyle,NYR,D,65,1315.8833333333,9,11,3,8,20,32.79,116,7.76,7.99,244,164,80,23,7,15,20,10,10,0,0,6,33,20,49,120,79,0,0,-
33,Vincent Lecavalier,PHI,C,57,720.9,8,12,9,3,20,62.50,103,7.77,11.69,187,144,94,40,3,10,36,11,8,2,1,6,16,11,40,35,15,95,96,49.74
34,David Legwand,OTT,C,80,1111.75,9,18,11,7,27,56.25,91,9.89,9.26,162,119,85,47,5,12,32,16,16,0,0,8,25,30,43,75,25,451,517,46.59
35,Brad Stuart,COL,D,65,1321.0,3,10,4,6,13,32.50,64,4.69,2.93,128,94,27,8,2,8,16,8,8,0,0,7,22,15,177,102,134,1,0,100.00
36,Bryan Allen,"ANA, MTL",D,11,172.95,0,2,1,1,2,40.00,6,0.00,0.28,30,15,11,0,1,2,6,3,3,0,0,0,8,0,20,26,15,0,0,-
37,Manny Malhotra,MTL,C,58,629.48333333333,1,3,1,2,4,57.14,46,2.17,2.91,79,63,30,13,5,3,10,5,5,0,0,7,23,14,37,65,62,537,369,59.27
38,Alex Tanguay,COL,L,80,1452.8666666667,22,33,19,14,55,76.39,104,21.15,11.92,169,132,101,60,6,11,40,20,20,0,0,7,33,34,45,63,39,12,16,42.86
39,Robyn Regehr,L.A,D,67,1361.1666666667,3,10,4,6,13,26.53,63,4.76,2.08,129,93,14,1,1,2,45,21,20,1,0,6,34,12,203,120,83,0,0,-
40,Simon Gagne,BOS,L,23,260.06666666667,3,1,0,1,4,50.00,27,11.11,1.87,46,31,21,9,1,3,4,2,2,0,0,3,7,3,20,28,7,1,8,11.11
41,Scott Gomez,N.J,C,58,957.76666666667,7,27,13,14,34,72.34,70,10.00,5.87,111,93,67,25,7,3,23,6,4,1,1,13,37,22,24,46,15,367,421,46.57
42,Mike Fisher,NSH,C,59,1087.6,19,20,15,5,39,66.10,111,17.12,12.04,191,154,103,47,2,9,39,15,12,3,0,14,16,27,125,54,60,601,548,52.31
43,Mike Ribeiro,NSH,C,82,1537.2,15,47,27,20,62,67.39,96,15.63,10.02,169,140,101,54,3,7,52,14,11,0,3,15,47,32,42,72,19,582,766,43.18
44,Brad Richards,CHI,C,76,1131.4833333333,12,25,15,10,37,59.68,199,6.03,13.31,322,252,135,45,8,14,12,6,6,0,0,8,31,22,32,42,27,399,426,48.36
45,Erik Cole,"DAL, DET",L,68,989.23333333333,21,18,14,4,39,73.58,122,17.21,13.0,213,162,142,72,3,18,14,7,7,0,0,19,28,24,134,85,20,5,11,31.25
46,Francois Beauchemin,ANA,D,64,1455.3,11,12,4,8,23,37.10,110,10.00,5.75,213,155,49,9,5,10,48,17,14,2,1,5,40,18,105,78,107,1,0,100.00
47,Brian Gionta,BUF,R,69,1245.4,13,22,12,10,35,74.47,153,8.50,14.05,253,202,115,61,17,12,18,9,9,0,0,14,20,31,61,65,31,69,100,40.83
48,Shawn Horcoff,DAL,C,76,989.48333333333,11,18,10,8,29,63.04,82,13.41,8.93,150,116,97,44,3,8,27,12,11,1,0,3,22,20,80,40,25,237,235,50.21
49,Rob Scuderi,PIT,D,82,1570.2166666667,1,9,4,5,10,21.28,52,1.92,1.25,118,70,22,2,2,4,17,7,6,1,0,6,44,8,41,80,110,0,0,-
50,Chris Neil,OTT,R,38,369.96666666667,4,3,2,1,7,53.85,23,17.39,2.95,47,35,27,13,0,3,78,19,9,8,2,18,2,4,136,28,11,3,2,60.00
51,Andrei Markov,MTL,D,81,2017.7333333333,10,40,24,16,50,44.25,135,7.41,8.19,327,211,74,20,6,14,38,15,14,0,1,7,79,46,53,64,173,0,0,-
52,Pavel Datsyuk,DET,C,63,1200.2333333333,26,39,24,15,65,74.71,165,15.76,18.98,291,223,183,75,4,8,8,4,4,0,0,17,29,59,51,77,28,601,521,53.57
53,Michael Ryder,N.J,R,47,680.58333333333,6,13,9,4,19,63.33,89,6.74,10.16,156,128,101,42,4,9,30,14,14,0,0,11,15,10,53,45,14,2,4,33.33
54,Daniel Sedin,VAN,L,82,1505.2833333333,20,56,35,21,76,78.35,226,8.85,20.19,370,300,211,88,10,23,18,9,9,0,0,15,36,19,21,87,16,2,3,40.00
55,Henrik Sedin,VAN,C,82,1526.1833333333,18,55,28,27,73,70.87,101,17.82,14.63,165,130,108,56,8,6,22,11,11,0,0,14,38,33,25,67,24,704,861,44.98
56,Barret Jackman,STL,D,80,1345.2833333333,2,13,6,7,15,34.09,86,2.33,2.9,159,113,31,4,4,9,47,16,11,5,0,18,30,17,108,119,126,0,0,-
57,Martin Havlat,N.J,R,40,592.3,5,9,5,4,14,70.00,49,10.20,6.01,84,72,55,25,3,4,10,5,5,0,0,4,12,20,11,39,11,0,0,-
58,Jordan Leopold,"CBJ, MIN, STL",D,43,641.68333333333,1,3,2,1,4,28.57,39,2.56,1.27,72,45,21,2,1,0,19,8,7,1,0,4,8,9,33,52,50,0,0,-
