,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8476453,Nikita Kucherov,R,TBL,30,81.0,51.4,84.8,136.2
2,8478402,Connor McDavid,C,EDM,26,81.0,35.7,97.8,133.5
3,8477492,Nathan MacKinnon,C,COL,28,82.0,46.7,81.3,128.0
4,8477956,David Pastrnak,R,BOS,27,83.0,52.0,61.7,113.7
5,8479318,Auston Matthews,C,TOR,26,81.0,72.3,36.3,108.6
6,8477939,William Nylander,R,TOR,27,82.0,44.5,61.3,105.8
7,8478550,Artemi Panarin,L,NYR,32,82.0,43.3,61.7,105.0
8,8477934,Leon Draisaitl,C,EDM,28,83.0,42.0,62.4,104.4
9,8476468,J.T. Miller,C,VAN,30,82.0,39.2,63.7,102.9
10,8480012,Elias Pettersson,C,VAN,25,82.0,41.2,60.6,101.8
11,8478420,Mikko Rantanen,R,COL,27,82.0,42.6,59.1,101.7
12,8478483,Mitchell Marner,R,TOR,26,81.0,32.9,67.3,100.2
13,8479314,Matthew Tkachuk,L,FLA,26,82.0,30.7,65.9,96.6
14,8480800,Quinn Hughes,D,VAN,24,82.0,16.1,75.8,91.9
15,8477933,Sam Reinhart,C,FLA,28,82.0,52.7,38.6,91.3
16,8480023,Robert Thomas,C,STL,24,82.0,28.0,62.8,90.8
17,8478864,Kirill Kaprizov,L,MIN,26,75.0,38.6,51.5,90.1
18,8478427,Sebastian Aho,C,CAR,26,79.0,29.6,57.2,86.8
19,8477409,Carter Verhaeghe,C,FLA,28,82.0,45.1,39.9,85.0
20,8478010,Brayden Point,C,TBL,27,82.0,41.7,43.3,85.0
21,8480069,Cale Makar,D,COL,25,77.0,19.5,65.4,84.9
22,8471675,Sidney Crosby,C,PIT,36,82.0,45.7,38.6,84.3
23,8476887,Filip Forsberg,L,NSH,29,82.0,38.9,44.3,83.2
24,8479407,Jesper Bratt,L,NJD,25,82.0,28.1,54.5,82.6
25,8480865,Noah Dobson,D,NYI,23,82.0,11.8,70.7,82.5
26,8480027,Jason Robertson,L,DAL,24,82.0,27.7,53.9,81.6
27,8477493,Aleksander Barkov,C,FLA,28,76.0,19.4,61.6,81.0
28,8475786,Zach Hyman,L,EDM,31,82.0,49.9,30.5,80.4
29,8478445,Mathew Barzal,C,NYI,26,81.0,23.4,57.0,80.4
30,8481559,Jack Hughes,C,NJD,22,66.0,26.9,53.2,80.1
31,8482116,Tim Stützle,C,OTT,21,82.0,22.2,57.9,80.1
32,8476454,Ryan Nugent-Hopkins,C,EDM,30,82.0,24.1,54.6,78.7
33,8477404,Jake Guentzel,L,PIT,29,79.0,32.3,45.7,78.0
34,8476459,Mika Zibanejad,C,NYR,30,81.0,27.1,50.5,77.6
35,8475167,Victor Hedman,D,TBL,33,80.0,13.0,64.4,77.4
36,8475184,Chris Kreider,L,NYR,32,82.0,42.0,35.3,77.3
37,8475168,Matt Duchene,C,DAL,32,80.0,31.1,46.0,77.1
38,8478444,Brock Boeser,R,VAN,26,82.0,41.1,35.9,77.0
39,8474564,Steven Stamkos,C,TBL,33,79.0,33.8,42.8,76.6
40,8479343,Clayton Keller,R,ARI,25,82.0,32.1,44.4,76.5
41,8476389,Vincent Trocheck,C,NYR,30,82.0,27.5,48.6,76.1
42,8476460,Mark Scheifele,C,WPG,30,76.0,27.9,48.1,76.0
43,8480803,Evan Bouchard,D,EDM,24,83.0,21.0,54.6,75.6
44,8478439,Travis Konecny,R,PHI,26,82.0,37.2,38.3,75.5
45,8474600,Roman Josi,D,NSH,33,82.0,16.9,58.0,74.9
46,8475913,Mark Stone,R,VGK,31,82.0,24.2,50.2,74.4
47,8479542,Brandon Hagel,L,TBL,25,82.0,29.4,44.9,74.3
48,8480018,Nick Suzuki,C,MTL,24,82.0,28.1,45.8,73.9
49,8473419,Brad Marchand,L,BOS,35,83.0,36.9,36.4,73.3
50,8478449,Roope Hintz,C,DAL,27,80.0,34.1,39.2,73.3
51,8473512,Claude Giroux,R,OTT,35,82.0,26.1,46.9,73.0
52,8477946,Dylan Larkin,C,DET,27,76.0,34.1,37.9,72.0
53,8479323,Adam Fox,D,NYR,25,72.0,14.0,57.7,71.7
54,8477500,Bo Horvat,C,NYI,28,81.0,33.6,37.8,71.4
55,8478493,Joel Eriksson Ek,C,MIN,26,82.0,38.8,32.0,70.8
56,8477960,Adrian Kempe,R,LAK,27,82.0,28.4,42.3,70.7
57,8471685,Anze Kopitar,C,LAK,36,82.0,24.8,43.9,68.7
58,8475158,Ryan O'Reilly,C,NSH,32,82.0,27.6,40.6,68.2
59,8470794,Joe Pavelski,C,DAL,39,82.0,26.8,41.2,68.0
60,8480801,Brady Tkachuk,L,OTT,24,82.0,35.9,31.8,67.7
61,8477942,Kevin Fiala,L,LAK,27,82.0,21.6,45.6,67.2
62,8475172,Nazem Kadri,C,CGY,33,82.0,26.5,40.5,67.0
63,8476539,Jonathan Marchessault,R,VGK,33,82.0,42.0,24.7,66.7
64,8478403,Jack Eichel,C,VGK,27,68.0,27.4,39.3,66.7
65,8479337,Alex DeBrincat,R,DET,26,82.0,28.1,38.5,66.6
66,8471215,Evgeni Malkin,C,PIT,37,82.0,26.2,40.3,66.5
67,8475692,Mats Zuccarello,R,MIN,36,73.0,15.6,50.8,66.4
68,8471214,Alex Ovechkin,L,WSH,38,79.0,27.3,38.5,65.8
69,8478873,Troy Terry,R,ANA,26,79.0,25.0,40.4,65.4
70,8479385,Jordan Kyrou,C,STL,25,82.0,29.9,35.4,65.3
71,8477402,Pavel Buchnevich,L,STL,28,80.0,27.9,37.0,64.9
72,8476853,Morgan Rielly,D,TOR,29,77.0,10.9,53.6,64.5
73,8475745,Charlie Coyle,C,BOS,31,83.0,24.6,39.7,64.3
74,8476346,Johnny Gaudreau,L,CBJ,30,82.0,14.0,50.0,64.0
75,8475754,Brock Nelson,C,NYI,32,82.0,34.2,29.7,63.9
76,8478398,Kyle Connor,L,WPG,27,66.0,33.3,30.1,63.4
77,8481557,Matt Boldy,L,MIN,22,75.0,29.5,33.5,63.0
78,8478366,Frank Vatrano,R,ANA,29,82.0,36.2,26.5,62.7
79,8482078,Lucas Raymond,L,DET,21,82.0,22.5,40.2,62.7
80,8480839,Rasmus Dahlin,D,BUF,23,81.0,19.6,43.1,62.7
81,8482093,Seth Jarvis,C,CAR,21,82.0,25.0,37.4,62.4
82,8478975,Mason Marchment,L,DAL,28,81.0,24.0,38.4,62.4
83,8474578,Erik Karlsson,D,PIT,33,82.0,12.1,50.0,62.1
84,8475166,John Tavares,C,TOR,33,80.0,24.5,37.4,61.9
85,8475794,Tyler Seguin,C,DAL,31,82.0,28.5,33.2,61.7
86,8481540,Cole Caufield,R,MTL,22,82.0,26.0,35.5,61.5
87,8479999,Casey Mittelstadt,C,BUF,25,82.0,19.0,42.5,61.5
88,8474679,Gustav Nyquist,C,NSH,34,82.0,18.8,42.7,61.5
89,8477955,Jared McCann,L,SEA,27,81.0,35.1,26.3,61.4
90,8477501,Valeri Nichushkin,R,COL,28,65.0,31.3,30.1,61.4
91,8480039,Martin Necas,C,CAR,24,77.0,27.1,34.3,61.4
92,8477416,Oliver Bjorkstrand,R,SEA,28,82.0,20.6,40.5,61.1
93,8482124,Quinton Byfield,R,LAK,21,80.0,25.5,35.4,60.9
94,8480208,Drake Batherson,R,OTT,25,82.0,24.7,36.2,60.9
95,8476399,Blake Coleman,C,CGY,32,82.0,28.1,32.7,60.8
96,8480797,Joel Farabee,L,PHI,23,82.0,23.8,36.6,60.4
97,8478407,Vince Dunn,D,SEA,27,78.0,12.2,48.2,60.4
98,8480002,Nico Hischier,C,NJD,24,71.0,26.7,33.0,59.7
99,8477940,Nikolaj Ehlers,L,WPG,27,82.0,24.6,34.5,59.1
100,8477497,Sean Monahan,C,WPG,29,84.0,25.8,32.7,58.5
101,8479325,Charlie McAvoy,D,BOS,26,75.0,13.4,44.9,58.3
102,8477504,Josh Morrissey,D,WPG,28,82.0,11.2,46.5,57.7
103,8477949,Alex Tuch,R,BUF,27,75.0,25.2,32.4,57.6
104,8478440,Dylan Strome,C,WSH,26,82.0,29.8,27.2,57.0
105,8479425,Filip Hronek,D,VAN,26,82.0,5.9,50.7,56.6
106,8475726,Tyler Toffoli,R,NJD,31,81.0,33.6,22.8,56.4
107,8475169,Evander Kane,L,EDM,32,82.0,32.5,23.3,55.8
108,8475765,Vladimir Tarasenko,R,OTT,32,80.0,21.9,33.9,55.8
109,8476875,Mike Matheson,D,MTL,29,82.0,9.1,46.4,55.5
110,8474037,James van Riemsdyk,L,BOS,34,79.0,17.4,37.8,55.2
111,8475810,Bryan Rust,R,PIT,31,69.0,24.3,30.8,55.1
112,8479675,Trevor Moore,L,LAK,28,82.0,31.2,23.7,54.9
113,8476881,Tomas Hertl,C,SJS,30,75.0,24.3,30.4,54.7
114,8482745,Mason McTavish,C,ANA,20,74.0,24.1,30.6,54.7
115,8476448,William Karlsson,C,VGK,30,70.0,25.8,28.2,54.0
116,8479420,Tage Thompson,C,BUF,26,72.0,25.7,28.3,54.0
117,8482740,Wyatt Johnston,C,DAL,20,82.0,25.4,28.4,53.8
118,8481068,Yegor Sharangovich,C,CGY,25,82.0,29.0,24.5,53.5
119,8475784,Jeff Skinner,L,BUF,31,74.0,26.4,26.8,53.2
120,8480830,Andrei Svechnikov,R,CAR,23,61.0,20.7,32.4,53.1
121,8478460,Zach Werenski,D,CBJ,26,70.0,8.0,44.7,52.7
122,8474641,Adam Henrique,C,ANA,33,81.0,23.8,28.8,52.6
123,8480036,Miro Heiskanen,D,DAL,24,71.0,11.8,40.5,52.3
124,8476882,Teuvo Teravainen,L,CAR,29,82.0,24.4,27.7,52.1
125,8481528,Dylan Cozens,C,BUF,22,79.0,17.4,34.3,51.7
126,8482175,JJ Peterka,R,BUF,21,82.0,25.3,26.2,51.5
127,8478401,Pavel Zacha,C,BOS,26,79.0,17.1,33.6,50.7
128,8481711,Matias Maccelli,L,ARI,23,82.0,13.2,37.4,50.6
129,8480015,Owen Tippett,R,PHI,24,78.0,30.3,20.0,50.3
130,8477951,Nick Schmaltz,C,ARI,27,79.0,20.5,29.6,50.1
131,8476456,Jonathan Huberdeau,C,CGY,30,81.0,13.3,36.8,50.1
132,8477496,Elias Lindholm,C,VAN,29,82.0,17.2,32.7,49.9
133,8475798,Mikael Granlund,C,SJS,31,69.0,11.2,38.4,49.6
134,8478047,Michael Bunting,L,CAR,28,81.0,18.7,30.7,49.4
135,8471724,Kris Letang,D,PIT,36,82.0,6.7,42.5,49.2
136,8476479,Phillip Danault,C,LAK,30,82.0,15.1,33.3,48.4
137,8478542,Evan Rodrigues,C,FLA,30,82.0,12.4,35.7,48.1
138,8482109,Alexis Lafrenière,L,NYR,22,82.0,21.5,26.5,48.0
139,8474590,John Carlson,D,WSH,33,82.0,6.1,41.7,47.8
140,8479345,Jakob Chychrun,D,OTT,25,82.0,15.1,32.6,47.7
141,8477456,J.T. Compher,L,DET,28,77.0,18.6,28.9,47.5
142,8476906,Shayne Gostisbehere,D,DET,30,81.0,10.0,37.1,47.1
143,8473994,Jamie Benn,L,DAL,34,82.0,12.8,33.9,46.7
144,8478462,Nicolas Roy,C,VGK,26,73.0,14.6,31.7,46.3
145,8478397,Rasmus Andersson,D,CGY,27,78.0,11.2,35.1,46.3
146,8481581,Thomas Harley,D,DAL,22,79.0,18.9,27.3,46.2
147,8477964,Ivan Barbashev,C,VGK,28,82.0,18.8,27.3,46.1
148,8477346,MacKenzie Weegar,D,CGY,29,82.0,19.7,26.2,45.9
149,8480798,Philipp Kurashev,C,CHI,24,75.0,13.4,32.5,45.9
150,8475170,Brayden Schenn,C,STL,32,82.0,18.7,27.1,45.8
151,8480014,Gabriel Vilardi,C,WPG,24,62.0,23.4,22.3,45.7
152,8479365,Trent Frederic,C,BOS,25,83.0,20.6,24.8,45.4
