,Player,Position,Age,ATOI,Gper1kChunk
989,Kyle Criscuolo,C,31,11.993422357066375,4.046575546264648
990,Alex Chiasson,R,33,11.992707232729257,2.771538734436035
991,Dan Renouf,D,29,11.990426765987218,0.9507316946983337
992,Rasmus Asplund,C,26,11.94688470599814,1.4684488773345947
993,Luke Glendening,C,34,11.945044749527494,5.299972047547597
994,Brad Hunt,D,35,11.93218848332274,0.721564769744873
995,Zach Sanford,L,29,11.88933640697205,1.6324117183685303
996,Pat Maroon,L,35,11.88908429910913,3.417235781467296
997,Dylan Gambrell,C,27,11.88785959081329,0.9723672866821289
998,Sam Poulin,R,22,11.882399158851774,0.6278942823410034
999,Nicolas Aube-Kubel,R,27,11.869600719929501,5.117290485415475
1000,Karson Kuhlman,C,28,11.857663004388789,1.4673192501068115
1001,Tomas Nosek,L,31,11.831065413415969,1.326363205909729
1002,Michael Eyssimont,C,27,11.83079605297634,5.670263713806097
1003,Austin Wagner,L,26,11.777897217070665,1.4677534103393555
1004,Josh Leivo,L,30,11.77523658413966,2.1211416721343994
1005,Andrew Cogliano,"C, L",36,11.76352778736338,3.53714631481869
1006,Lane Pederson,C,26,11.761085612450193,1.2286086082458496
1007,William Carrier,L,29,11.723619588055879,7.271257608847921
1008,Alexander Holtz,R,21,11.7118063215309,8.088592631847227
1009,John Leonard,L,25,11.69632270631288,1.4856408834457397
1010,MacKenzie Entwistle,R,24,11.693579882003093,2.7973297652458666
1011,Morgan Barron,C,25,11.670586587741028,7.196246020182454
1012,Nils Aman,C,23,11.668385250068857,2.6170612253922276
1013,Garnet Hathaway,R,32,11.649492241429815,4.4907956569681
1014,Milan Lucic,L,35,11.647461247829364,1.4968584775924683
1015,Egor Afanasyev,L,22,11.624077624258565,0.6937351226806641
1016,Sam Gagner,C,34,11.592846999985841,8.7699549265838
1017,Michael McCarron,R,28,11.59010138540863,5.961200112202191
1018,Jack Drury,C,23,11.587984662134632,7.429192548777046
1019,Nils Hoglander,L,23,11.575615789821553,11.865287767931871
1020,Lukas Rousek,R,24,11.547165793484703,2.698896884918213
1021,Trevor Lewis,C,36,11.539472772994174,5.445853127657824
1022,Brett Seney,L,27,11.528503192417539,1.0098789930343628
1023,Oliver Wahlstrom,R,23,11.520968986967077,5.0790490986450845
1024,Sheldon Dries,C,29,11.509453251070193,2.020373582839966
1025,Vinnie Hinostroza,L,29,11.45279536040792,4.03894977535286
1026,Liam Foudy,C,23,11.438513069343088,1.2231334447860718
1027,Marc McLaughlin,C,24,11.43376717831733,1.142518162727356
1028,Lias Andersson,C,25,11.428399723652136,1.5565557479858398
1029,Kristian Reichel,C,25,11.423540212483319,0.6496465802192688
1030,Taro Hirose,L,27,11.413665235510452,0.7485408186912537
1031,Nick Abruzzese,C,24,11.394917112261497,0.5110979676246643
1032,Michael Carcone,L,27,11.386003794217588,11.633020857290065
1033,Steven Fogarty,C,30,11.374578831922621,0.5466899275779724
1034,Vitali Kravtsov,R,24,11.371139859675653,1.1598923206329346
1035,Drake Caggiula,"C, L",29,11.353382935822522,0.656714141368866
1036,Mason Shaw,C,25,11.340789742169934,1.2740312814712524
1037,Oskar Lindblom,L,27,11.326789791694244,1.5791722536087036
1038,Laurent Dauphin,C,28,11.319922515621414,1.0414413213729858
