Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8478402,Connor McDavid,C,EDM,26,80,44,93,137
1,8477492,Nathan MacKinnon,C,COL,28,82,43,87,130
1,8476453,Nikita Kucherov,R,TBL,30,81,46,83,129
1,8477939,William Nylander,R,TOR,27,82,45,63,108
1,8478550,Artemi Panarin,L,NYR,32,82,44,64,108
1,8479318,Auston Matthews,C,TOR,26,81,70,37,107
1,8477933,Sam Reinhart,C,FLA,28,82,59,48,107
1,8479314,Matthew Tkachuk,L,FLA,26,82,31,75,106
1,8477956,David Pastrnak,R,BOS,27,82,44,58,102
1,8478427,Sebastian Aho,C,CAR,26,78,43,58,101
1,8478420,Mikko Rantanen,R,COL,27,82,45,55,100
1,8477934,Leon Draisaitl,C,EDM,28,82,39,60,99
1,8480012,Elias Pettersson,C,VAN,25,81,40,56,96
1,8476468,J.T. Miller,C,VAN,30,81,34,61,95
1,8478483,Mitchell Marner,R,TOR,26,81,30,63,93
1,8480800,Quinn Hughes,D,VAN,24,81,20,71,91
1,8479407,Jesper Bratt,L,NJD,25,81,29,61,90
1,8480069,Cale Makar,D,COL,25,77,20,70,90
1,8471675,Sidney Crosby,C,PIT,36,82,48,39,87
1,8477409,Carter Verhaeghe,C,FLA,28,82,48,39,87
1,8480023,Robert Thomas,C,STL,24,82,32,55,87
1,8478445,Mathew Barzal,C,NYI,26,81,27,59,86
1,8476887,Filip Forsberg,L,NSH,29,82,41,44,85
1,8480027,Jason Robertson,L,DAL,24,82,24,61,85
1,8480865,Noah Dobson,D,NYI,23,82,15,70,85
1,8477493,Aleksander Barkov,C,FLA,28,76,21,63,84
1,8476459,Mika Zibanejad,C,NYR,30,81,26,55,81
1,8478444,Brock Boeser,R,VAN,26,81,42,38,80
1,8478439,Travis Konecny,R,PHI,26,81,39,41,80
1,8478864,Kirill Kaprizov,L,MIN,26,75,35,45,80
1,8475168,Matt Duchene,C,DAL,32,81,34,45,79
1,8477404,Jake Guentzel,L,PIT,29,81,29,50,79
1,8478010,Brayden Point,C,TBL,27,82,34,44,78
