,PlayerID,Player,Position,Team,Age,ATOI,Gper1kChunk,A1per1kChunk,A2per1kChunk,GPprb,xGA/60,GA/60
0,8478402,Connor McDavid,C,EDM,27,21.55842380176983,12.7090538340968,16.85475878444363,11.267602766676932,0.990440044,2.7855725288391113,2.7974750995635986
1,8476453,Nikita Kucherov,R,TBL,31,21.411991548161616,11.300336483591163,16.539466227129953,10.754953911120122,0.9811472899773643,2.7371504306793213,3.1270458698272705
2,8478550,Artemi Panarin,L,NYR,33,19.990588705256652,10.069010294721977,12.305035713294288,9.202799898991143,0.9789879220889621,2.6369872093200684,2.8257415294647217
3,8477492,Nathan MacKinnon,C,COL,29,22.640658733420818,13.729114426526777,13.603709514263857,9.003020056205232,0.9863517669465987,2.741217613220215,2.708618402481079
4,8479314,Matthew Tkachuk,L,FLA,27,18.761337589215376,10.749395648364041,13.895748130467691,8.980285412292139,0.9777154640988467,2.6324329376220703,2.806680917739868
5,8481703,Valtteri Puustinen,R,PIT,25,11.780475710877559,5.150454567309333,9.617122915430338,8.962738692612165,0.5818539899679886,2.2244770526885986,2.0393950939178467
6,8480800,Quinn Hughes,D,VAN,25,24.849295903619858,3.0251590274520184,9.717081284969364,8.584735340845056,0.9879802287133758,2.5232880115509033,2.7368781566619873
7,8480069,Cale Makar,D,COL,26,25.008555771900195,6.150915158058805,9.400740920903065,8.346363285808684,0.9842703008130081,2.868668556213379,2.9702160358428955
8,8477493,Aleksander Barkov,C,FLA,29,19.863564356096255,8.983919280934858,11.336981235304151,8.324666758229286,0.9574340380118134,2.626490831375122,2.7549896240234375
9,8479323,Adam Fox,D,NYR,26,23.616311610956377,4.116629988553223,8.493952727963606,8.17488649951739,0.9830605981401274,2.6613612174987793,2.8832943439483643
10,8480023,Robert Thomas,C,STL,25,20.642621419499804,7.429686575385065,11.532069504051053,7.93079782038027,0.9662633421878088,2.8900082111358643,3.286168336868286
11,8477934,Leon Draisaitl,C,EDM,29,20.972101523839132,13.06017851204989,12.540105396311047,7.805252589101316,0.986622670029654,2.755181074142456,3.025989294052124
12,8480027,Jason Robertson,L,DAL,25,18.37745541408376,11.355282409292975,11.136340186203666,7.73097815566993,0.9675358001779242,2.261503219604492,2.397387981414795
13,8476468,J.T. Miller,C,VAN,31,19.770077455864154,10.643759604502346,11.26841279195052,7.713208942449975,0.9726256321383854,2.914546489715576,3.1894593238830566
14,8481559,Jack Hughes,C,NJD,23,20.76642579310076,13.68744956101488,11.983557200272418,7.665916164713669,0.952000271025033,2.4449410438537598,2.853142738342285
15,8478445,Mathew Barzal,C,NYI,27,19.844910533933685,7.38963491881257,11.426602593286864,7.565411792247896,0.9451712846867841,2.4993374347686768,3.0064198970794678
16,8475692,Mats Zuccarello,R,MIN,37,18.988488009086975,6.692992535221097,10.268024873508434,7.376877381971324,0.9209945828745931,2.477198362350464,2.597360849380493
17,8476456,Jonathan Huberdeau,C,CGY,31,17.568818799069586,6.225451261707894,10.328370234354493,7.320152243573162,0.8975506107215815,2.532804489135742,2.9986801147460938
18,8474600,Roman Josi,D,NSH,34,24.768937599419786,5.432735009207978,7.586235714689205,7.314523600410844,0.9855204134267516,3.0289359092712402,3.0789458751678467
19,8482684,Luke Hughes,D,NJD,21,21.489309376936006,3.2130495449235874,6.161150947393336,7.247442736507043,0.9075861853347833,2.4975686073303223,2.792273759841919
20,8477447,Shea Theodore,D,VGK,29,22.192833731039176,3.5702734726315355,7.52088037833951,7.186043293479846,0.9180347089223759,2.7245616912841797,2.84428334236145
21,8480803,Evan Bouchard,D,EDM,25,22.244123004901688,4.129073041897443,7.298506572211343,7.180183652509593,0.9683017064203822,2.694786548614502,2.789984941482544
22,8476346,Johnny Gaudreau,L,CBJ,31,18.858439670962436,6.413198429001236,11.394881109350965,7.165975078813467,0.9319069764546951,3.023671865463257,3.114553213119507
23,8476454,Ryan Nugent-Hopkins,C,EDM,31,19.627733144292215,7.809673553002067,9.321429172899528,7.162907016181864,0.9369968084151564,2.995516538619995,3.102112054824829
24,8479407,Jesper Bratt,L,NJD,26,18.93797746501041,10.150309511853843,10.614705931204853,7.140569488589862,0.9560836782668862,2.469924211502075,2.9284160137176514
25,8477956,David Pastrnak,R,BOS,28,19.790607341470015,16.1309081987529,11.367101969350951,7.094586138125039,0.982805296059308,2.6332671642303467,2.7294230461120605
26,8477939,William Nylander,R,TOR,28,19.629127960646915,13.289672393273607,10.65991178040892,7.034941642974736,0.9764430061087314,2.5305769443511963,2.8973898887634277
27,8471675,Sidney Crosby,C,PIT,37,19.98567240991642,12.149703007735145,10.297545040871459,7.026824908994066,0.9738980901285008,2.8425676822662354,3.1457974910736084
28,8477942,Kevin Fiala,L,LAK,28,17.972162292701025,10.97508445231529,10.741645710632621,7.006634568561958,0.9484489303261944,2.4410016536712646,2.4307615756988525
29,8480012,Elias Pettersson,C,VAN,26,19.656276761850254,11.325601054373742,9.77243183921574,6.994005422058492,0.9649908841976935,2.8072597980499268,2.9306466579437256
30,8479249,Andrew Poturalski,C,SJS,30,7.694443324270486,1.9130637856730468,7.305087992747966,6.937098901203325,0.22892616994146878,2.661682367324829,3.400460958480835
31,8475167,Victor Hedman,D,TBL,34,24.723438249107254,3.506804837800432,7.102194092447537,6.845793318240371,0.9806007828535032,2.824686288833618,3.0721075534820557
32,8476853,Morgan Rielly,D,TOR,30,23.5665492823541,2.655194160634327,7.473053505882059,6.844031276384071,0.954143254932422,2.915714979171753,3.0802628993988037
