playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,savePct,wins,losses,otLosses,assists,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,lastName,penaltyMinutes,points,saves,shootsCatches,shotsAgainst,shutouts,ties,timeOnIce,evGoalsAgainst,evSavePct,evSaves,evShotsAgainst,ppGoalsAgainst,ppSavePct,ppSaves,ppShotsAgainst,shGoalsAgainst,shSavePct,shSaves,shShotsAgainst
8476999,Linus Ullmark,BOS,G,49,0.93754,40,6,1,0,48,1,91,1.89438,Ullmark,2,1,1366,L,1457,2,,172932,68,0.943755,1141,1209,20,0.899497,179,199,3,0.938775,46,49
8480382,Alexandar Georgiev,COL,G,62,0.91859,40,16,6,1,62,0,156,2.5295,Georgiev,0,1,1749,L,1904,5,,222020,111,0.929344,1460,1571,43,0.854166,246,288,2,0.955555,43,45
8476945,Connor Hellebuyck,WPG,G,64,0.92006,37,25,2,0,64,0,157,2.49338,Hellebuyck,0,0,1807,L,1964,4,,226680,119,0.926361,1497,1616,33,0.883802,251,284,5,0.921875,59,64
8478048,Igor Shesterkin,NYR,G,58,0.91623,37,13,8,1,58,0,144,2.47651,Shesterkin,2,1,1575,L,1719,3,,209326,110,0.925373,1364,1474,31,0.849514,175,206,3,0.923076,36,39
8479979,Jake Oettinger,DAL,G,62,0.91948,37,11,11,1,61,0,144,2.37044,Oettinger,2,1,1633,L,1776,5,,218693,114,0.923597,1366,1479,26,0.892116,215,241,4,0.928571,52,56
8476883,Andrei Vasilevskiy,TBL,G,60,0.9152,34,22,4,2,60,0,159,2.65264,Vasilevskiy,0,2,1716,L,1875,4,,215785,116,0.922769,1386,1502,35,0.888888,280,315,8,0.862068,50,58
8477424,Juuse Saros,NSH,G,64,0.91853,33,23,7,1,63,0,171,2.69292,Saros,0,1,1928,L,2099,2,,228599,130,0.923213,1563,1693,35,0.894578,297,332,6,0.918918,68,74
8477970,Vitek Vanecek,NJD,G,52,0.91072,33,11,4,3,48,0,119,2.44892,Vanecek,2,3,1214,L,1333,3,,174934,94,0.915543,1019,1113,20,0.892473,166,186,5,0.852941,29,34
8478009,Ilya Sorokin,NYI,G,62,0.92437,31,22,7,1,60,0,140,2.34174,Sorokin,0,1,1699,L,1838,6,,215224,108,0.930429,1431,1538,26,0.893877,219,245,6,0.890909,49,55
8479973,Stuart Skinner,EDM,G,50,0.91406,29,14,5,2,48,0,133,2.7488,Skinner,0,2,1404,L,1536,1,,174185,93,0.925264,1139,1231,35,0.868421,231,266,5,0.871794,34,39
