,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
85,Petr Mrazek,ANA,10,515:52,247,212,35,0.858,4.07,-9.29,27.47,77,61,16,0.792,1.86,-1.71,9,41,35.08,21.57
86,Cayden Primeau,TOR,3,181:28,80,67,13,0.838,4.3,-4.67,6.83,16,11,5,0.688,1.65,-2.03,4,15,34.66,27.38
87,Mads Sogaard,OTT,2,77:25,36,30,6,0.833,4.65,-2.25,3.83,10,9,1,0.900,0.78,0.86,3,6,38.00,36.00
88,Hunter Shepard,OTT,1,37:16,12,10,2,0.833,3.22,-0.75,1.36,1,1,0,1.000,0.0,0.19,2,2,33.00,27.50
89,Aleksei Kolosov,PHI,4,120:01,47,39,8,0.830,4.0,-3.11,4.56,10,8,2,0.800,1.0,-0.14,0,6,34.81,22.13
90,Jiri Patera,VAN,1,56:49,40,33,7,0.825,7.39,-2.84,3.73,12,10,2,0.833,2.11,0.23,0,5,29.30,18.43
91,Vyacheslav Buteyets,ANA,1,20:00,13,10,3,0.769,9.0,-1.65,1.13,4,3,1,0.750,3.0,-0.26,2,1,26.46,21.67
92,Laurent Brossoit,S.J,1,59:09,24,18,6,0.750,6.09,-3.5,3.66,6,4,2,0.667,2.03,-0.89,0,7,36.42,22.17
93,Marcus Hogberg,NYI,1,13:28,7,5,2,0.714,8.9,-1.27,0.64,2,1,1,0.500,4.45,-0.63,0,2,27.14,20.00
94,Brandon Halverson,T.B,1,0:06,0,0,0,-,0.0,0.0,0.0,0,0,0,-,0.0,0.0,0,0,-,-
