playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,savePct,wins,losses,otLosses,assists,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,lastName,penaltyMinutes,points,saves,shootsCatches,shotsAgainst,shutouts,ties,timeOnIce,evGoalsAgainst,evSavePct,evSaves,evShotsAgainst,ppGoalsAgainst,ppSavePct,ppSaves,ppShotsAgainst,shGoalsAgainst,shSavePct,shSaves,shShotsAgainst
8466141,Roberto Luongo,VAN,G,60,0.92812,38,15,7,3,60,0,126,2.10604,Luongo,2,3,1627,L,1753,4,,215380,94,0.933615,1322,1416,31,0.896666,269,300,1,0.972972,36,37
8471679,Carey Price,MTL,G,72,0.92314,38,28,6,2,70,0,165,2.35369,Price,13,2,1982,L,2147,8,,252369,116,0.931075,1567,1683,45,0.885786,349,394,4,0.942857,66,70
8462147,Miikka Kiprusoff,CGY,G,71,0.90594,37,24,6,1,71,0,182,2.62774,Kiprusoff,2,1,1753,L,1935,6,,249339,128,0.916285,1401,1529,47,0.858858,286,333,7,0.904109,66,73
8470320,Cam Ward,CAR,G,74,0.92252,37,26,10,1,74,0,184,2.55698,Ward,0,1,2191,L,2375,4,,259055,142,0.926992,1803,1945,38,0.895316,325,363,4,0.940298,63,67
8470657,Jimmy Howard,DET,G,63,0.90819,37,17,5,1,63,0,168,2.78815,Howard,4,1,1662,L,1830,2,,216918,126,0.915549,1366,1492,37,0.874576,258,295,5,0.88372,38,43
8468524,Ilya Bryzgalov,PHX,G,68,0.92094,36,20,10,0,67,0,168,2.48284,Bryzgalov,2,0,1957,L,2125,7,,243592,115,0.930972,1551,1666,48,0.880597,354,402,5,0.91228,52,57
8468685,Henrik Lundqvist,NYR,G,68,0.92264,36,27,5,4,67,0,152,2.2762,Lundqvist,6,4,1813,L,1965,11,,240400,112,0.930131,1491,1603,38,0.872909,261,299,2,0.968253,61,63
8470594,Marc-Andre Fleury,PIT,G,65,0.91791,36,20,5,1,62,0,143,2.32195,Fleury,10,1,1599,L,1742,3,,221710,105,0.925053,1296,1401,33,0.888888,264,297,5,0.886363,39,44
8460703,Tim Thomas,BOS,G,57,0.93815,35,11,9,3,55,0,112,1.99764,Thomas,13,3,1699,L,1811,9,,201838,79,0.946837,1407,1486,30,0.889298,241,271,3,0.944444,51,54
8471734,Jonathan Quick,LAK,G,61,0.91784,35,22,3,2,60,0,134,2.2392,Quick,0,2,1497,L,1631,6,,215434,104,0.92145,1220,1324,26,0.902985,242,268,4,0.897435,35,39
8474550,Antti Niemi,SJS,G,60,0.91958,35,18,6,1,60,0,140,2.38372,Niemi,2,1,1601,L,1741,6,,211434,97,0.931058,1310,1407,37,0.875,259,296,6,0.842105,32,38
8468011,Ryan Miller,BUF,G,66,0.91598,34,22,8,2,65,0,165,2.58532,Miller,6,2,1799,L,1964,5,,229758,119,0.923961,1446,1565,39,0.886297,304,343,7,0.875,49,56
