playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,savePct,wins,losses,otLosses,assists,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,lastName,penaltyMinutes,points,saves,shootsCatches,shotsAgainst,shutouts,ties,timeOnIce,evGoalsAgainst,evSavePct,evSaves,evShotsAgainst,ppGoalsAgainst,ppSavePct,ppSaves,ppShotsAgainst,shGoalsAgainst,shSavePct,shSaves,shShotsAgainst
8476883,Andrei Vasilevskiy,TBL,G,53,0.92527,39,10,4,3,53,0,128,2.39719,Vasilevskiy,6,3,1585,L,1713,6,,192225,103,0.926164,1292,1395,24,0.909774,242,266,1,0.980769,51,52
8475683,Sergei Bobrovsky,CBJ,G,62,0.91287,37,24,1,0,61,0,153,2.58106,Bobrovsky,2,0,1603,L,1756,9,,213400,130,0.915474,1408,1538,18,0.88957,145,163,5,0.90909,50,55
8474889,Martin Jones,SJS,G,62,0.8964,36,19,5,1,62,0,176,2.9356,Jones,2,1,1523,L,1699,3,,215833,146,0.895565,1252,1398,27,0.886075,210,237,3,0.953125,61,64
8475883,Frederik Andersen,TOR,G,60,0.91726,36,16,7,1,60,0,162,2.76903,Andersen,2,1,1796,L,1958,1,,210615,123,0.927089,1564,1687,33,0.848623,185,218,6,0.886792,47,53
8470594,Marc-Andre Fleury,VGK,G,61,0.91289,35,21,5,2,61,0,152,2.50884,Fleury,4,2,1593,L,1745,8,,218108,120,0.916724,1321,1441,30,0.883268,227,257,2,0.957446,45,47
8471679,Carey Price,MTL,G,66,0.91752,35,24,6,1,64,0,161,2.48953,Price,2,1,1791,L,1952,4,,232815,129,0.920468,1493,1622,29,0.893382,243,272,3,0.948275,55,58
8476945,Connor Hellebuyck,WPG,G,63,0.91272,34,23,3,3,62,0,179,2.89948,Hellebuyck,4,3,1872,L,2051,2,,222246,134,0.92,1541,1675,40,0.872611,274,314,5,0.919354,57,62
8474651,Braden Holtby,WSH,G,59,0.91086,32,19,5,2,58,0,160,2.81808,Holtby,2,2,1635,L,1795,3,,204394,117,0.922207,1387,1504,40,0.826839,191,231,3,0.95,57,60
8471227,Devan Dubnyk,MIN,G,67,0.91315,31,28,6,2,66,0,163,2.53678,Dubnyk,2,2,1714,L,1877,2,,231316,131,0.914546,1402,1533,28,0.901408,256,284,4,0.933333,56,60
8471469,Pekka Rinne,NSH,G,56,0.91777,30,19,4,0,55,0,130,2.42256,Rinne,4,0,1451,L,1581,4,,193184,95,0.927811,1221,1316,29,0.861244,180,209,6,0.892857,50,56
8476899,Matt Murray,PIT,G,50,0.91907,29,14,6,0,50,0,129,2.68728,Murray,4,0,1465,L,1594,4,,172814,94,0.930473,1258,1352,28,0.85567,166,194,7,0.854166,41,48
8474593,Jacob Markstrom,VAN,G,60,0.91244,28,23,9,3,60,0,166,2.76742,Markstrom,2,3,1730,L,1896,1,,215941,131,0.918073,1468,1599,30,0.876543,213,243,5,0.907407,49,54
8471695,Tuukka Rask,BOS,G,46,0.91244,27,13,5,2,45,0,109,2.48183,Rask,4,2,1136,L,1245,4,,158109,76,0.924677,933,1009,21,0.877906,151,172,12,0.8125,52,64
8471750,Ben Bishop,DAL,G,46,0.93424,27,15,2,2,45,0,87,1.97929,Bishop,2,2,1236,L,1323,7,,158238,70,0.937777,1055,1125,17,0.896969,148,165,0,1.0,33,33
