playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,savePct,wins,losses,otLosses,assists,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,lastName,penaltyMinutes,points,saves,shootsCatches,shotsAgainst,shutouts,ties,timeOnIce,evGoalsAgainst,evSavePct,evSaves,evShotsAgainst,ppGoalsAgainst,ppSavePct,ppSaves,ppShotsAgainst,shGoalsAgainst,shSavePct,shSaves,shShotsAgainst
8468685,Henrik Lundqvist,NYR,G,43,0.92605,24,16,3,1,43,0,88,2.04976,Lundqvist,0,1,1102,L,1190,2,,154554,61,0.936853,905,966,25,0.861111,155,180,2,0.954545,42,44
8473404,Niklas Backstrom,MIN,G,42,0.90858,24,15,3,0,41,0,98,2.48296,Backstrom,2,0,974,L,1072,2,,142088,79,0.913849,838,917,19,0.863309,120,139,0,1.0,16,16
8474550,Antti Niemi,SJS,G,43,0.92377,24,12,6,1,43,0,93,2.16214,Niemi,2,1,1127,L,1220,4,,154846,71,0.929841,941,1012,19,0.883435,144,163,3,0.933333,42,45
8460705,Evgeni Nabokov,NYI,G,41,0.90956,23,11,7,4,41,0,103,2.49656,Nabokov,6,4,1036,L,1139,3,,148524,80,0.915966,872,952,23,0.867816,151,174,0,1.0,13,13
8470594,Marc-Andre Fleury,PIT,G,33,0.916,23,8,0,2,31,0,74,2.38998,Fleury,2,2,807,L,881,1,,111465,53,0.927397,677,730,20,0.852941,116,136,1,0.933333,14,15
8474651,Braden Holtby,WSH,G,36,0.91985,23,12,1,2,35,0,90,2.58468,Holtby,2,2,1033,L,1123,4,,125354,63,0.930769,847,910,25,0.860335,154,179,2,0.941176,32,34
8470657,Jimmy Howard,DET,G,42,0.92294,21,13,7,1,42,0,87,2.13432,Howard,0,1,1042,L,1129,5,,146744,57,0.937016,848,905,25,0.863387,158,183,5,0.878048,36,41
8471679,Carey Price,MTL,G,39,0.90471,21,13,4,0,38,0,97,2.5876,Price,0,0,921,L,1018,3,,134951,66,0.920193,761,827,30,0.803921,123,153,1,0.973684,37,38
8471715,Ondrej Pavelec,WPG,G,44,0.90487,21,20,3,0,43,0,119,2.79702,Pavelec,2,0,1132,L,1251,0,,153163,92,0.913696,974,1066,25,0.84375,135,160,2,0.92,23,25
8475683,Sergei Bobrovsky,CBJ,G,38,0.93173,21,11,6,0,37,0,74,2.00094,Bobrovsky,0,0,1010,L,1084,4,,133137,55,0.94086,875,930,18,0.865671,116,134,1,0.95,19,20
8468524,Ilya Bryzgalov,PHI,G,40,0.89962,19,17,3,3,40,0,107,2.79403,Bryzgalov,0,3,959,L,1066,1,,137865,81,0.906574,786,867,23,0.866279,149,172,3,0.888888,24,27
8470645,Corey Crawford,CHI,G,30,0.92587,19,5,5,0,28,0,57,1.94261,Crawford,4,0,712,L,769,3,,105631,42,0.933962,594,636,12,0.895652,103,115,3,0.833333,15,18
8471695,Tuukka Rask,BOS,G,36,0.92857,19,10,5,1,34,0,70,1.99556,Rask,0,1,910,L,980,5,,126280,52,0.9375,780,832,17,0.865079,109,126,1,0.954545,21,22
8473503,James Reimer,TOR,G,33,0.92361,19,8,5,1,31,0,76,2.45669,Reimer,0,1,919,L,995,4,,111369,65,0.924154,792,857,9,0.919642,103,112,2,0.923076,24,26
8471734,Jonathan Quick,LAK,G,37,0.90213,18,13,4,0,36,0,87,2.44645,Quick,2,0,802,L,889,1,,128022,66,0.909712,665,731,20,0.863013,126,146,1,0.916666,11,12
