playerId,goalieFullName,teamAbbrevs,positionCode,gamesPlayed,savePct,wins,losses,otLosses,assists,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,lastName,penaltyMinutes,points,saves,shootsCatches,shotsAgainst,shutouts,ties,timeOnIce,evGoalsAgainst,evSavePct,evSaves,evShotsAgainst,ppGoalsAgainst,ppSavePct,ppSaves,ppShotsAgainst,shGoalsAgainst,shSavePct,shSaves,shShotsAgainst
8476883,Andrei Vasilevskiy,TBL,G,65,0.91951,44,17,3,2,64,0,167,2.61948,Vasilevskiy,14,2,1908,L,2075,8,,229511,121,0.929115,1586,1707,44,0.864615,281,325,2,0.953488,41,43
8476945,Connor Hellebuyck,WPG,G,67,0.92382,44,11,9,2,64,0,156,2.36012,Hellebuyck,0,2,1892,L,2048,6,,237954,114,0.928705,1485,1599,38,0.901298,347,385,4,0.9375,60,64
8471469,Pekka Rinne,NSH,G,59,0.92717,42,13,4,1,59,0,134,2.31336,Rinne,6,1,1706,L,1840,8,,208527,91,0.938513,1389,1480,40,0.867549,262,302,3,0.948275,55,58
8475883,Frederik Andersen,TOR,G,66,0.91768,38,21,5,1,66,0,182,2.80826,Andersen,2,1,2029,L,2211,5,,233311,148,0.921318,1733,1881,30,0.889298,241,271,4,0.932203,55,59
8475683,Sergei Bobrovsky,CBJ,G,65,0.92072,37,22,6,3,65,0,158,2.42358,Bobrovsky,0,3,1835,L,1993,5,,234694,111,0.934628,1587,1698,42,0.831325,207,249,5,0.891304,41,46
8471227,Devan Dubnyk,MIN,G,60,0.91803,35,16,7,3,59,0,145,2.5215,Dubnyk,12,3,1624,L,1769,5,,207019,110,0.926224,1381,1491,32,0.867219,209,241,3,0.918918,34,37
8471695,Tuukka Rask,BOS,G,54,0.91738,34,14,5,2,53,0,125,2.36363,Rask,4,2,1388,L,1513,3,,190385,94,0.923763,1139,1233,24,0.894736,204,228,7,0.865384,45,52
8474651,Braden Holtby,WSH,G,54,0.90716,34,16,4,0,54,0,153,2.99237,Holtby,2,0,1495,L,1648,0,,184068,115,0.914498,1230,1345,33,0.874524,230,263,5,0.875,35,40
8471734,Jonathan Quick,LAK,G,64,0.92126,33,28,3,4,63,0,147,2.39864,Quick,10,4,1720,L,1867,5,,220625,114,0.925049,1407,1521,30,0.89547,257,287,3,0.949152,56,59
8475660,Cam Talbot,EDM,G,67,0.90766,31,31,3,1,67,0,188,3.02404,Talbot,8,1,1848,L,2036,1,,223806,146,0.915362,1579,1725,40,0.847908,223,263,2,0.958333,46,48
8476434,John Gibson,ANA,G,60,0.92574,31,18,7,1,60,0,139,2.43256,Gibson,16,1,1733,L,1872,4,,205709,111,0.927213,1414,1525,25,0.916387,274,299,3,0.9375,45,48
8474889,Martin Jones,SJS,G,60,0.91465,30,22,6,0,60,0,145,2.54703,Jones,2,0,1554,L,1699,4,,204944,122,0.913963,1296,1418,21,0.905829,202,223,2,0.965517,56,58
8470594,Marc-Andre Fleury,VGK,G,46,0.92732,29,13,4,1,46,0,100,2.24433,Fleury,6,1,1276,L,1376,4,,160404,81,0.930946,1092,1173,17,0.903409,159,176,2,0.925925,25,27
8474596,Jake Allen,STL,G,59,0.90582,27,25,3,1,56,0,152,2.7495,Allen,0,1,1462,L,1614,1,,199018,110,0.918938,1247,1357,36,0.834101,181,217,6,0.85,34,40
8476899,Matt Murray,PIT,G,49,0.90653,27,16,3,1,45,0,133,2.9199,Murray,2,1,1290,L,1423,1,,163978,103,0.911435,1060,1163,29,0.868778,192,221,1,0.974358,38,39
8468685,Henrik Lundqvist,NYR,G,63,0.91453,26,26,7,1,61,0,174,2.98069,Lundqvist,0,1,1862,L,2036,2,,210152,141,0.91788,1576,1717,31,0.885608,240,271,2,0.958333,46,48
8471750,Ben Bishop,DAL,G,53,0.91649,26,17,5,1,51,0,120,2.49408,Bishop,4,1,1317,L,1437,5,,173210,89,0.922066,1053,1142,28,0.885714,217,245,3,0.94,47,50
8476234,Keith Kinkaid,NJD,G,41,0.91268,26,10,3,2,38,0,106,2.76814,Kinkaid,2,2,1108,L,1214,1,,137854,88,0.91423,938,1026,17,0.890322,138,155,1,0.969696,32,33
8469608,Mike Smith,CGY,G,55,0.91637,25,22,6,2,55,0,141,2.65153,Smith,8,2,1545,L,1686,3,,191436,106,0.92223,1257,1363,30,0.889298,241,271,5,0.903846,47,52
