,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
467,8480058,Pierre-Olivier Joseph,PIT,D,https://assets.nhle.com/mugs/nhl/20232024/PIT/8480058.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,pierreolivierjoseph,0,0,0,0,0,0,0,0,0,0,0,47.13,0,0,46.05,0,0,0,0,0,47.99,0,0,48.14,0,0,44.44,0,0,47.89,0,0,38.46,0,0,0,0,0,58.82,9.46,90.12,0.996,0,0,0,0,42.16,0,0,0,46.68
468,8475718,Justin Holl,DET,D,https://assets.nhle.com/mugs/nhl/20232024/DET/8475718.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,justinholl,0,0,0,0,0,0,0,0,0,0,0,42.21,0,0,54.72,0,0,0,0,0,42.03,0,0,39.46,0,0,46.43,0,0,43.62,0,0,61.11,0,0,0,0,0,71.43,12.89,92.21,1.051,0,0,0,0,51.92,0,0,0,50.16
469,8478975,Mason Marchment,DAL,L,https://assets.nhle.com/mugs/nhl/20232024/DAL/8478975.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,masonmarchment,0,0,0,0,0,0,0,0,0,0,0,53.90,0,0,66.67,0,0,0,0,0,57.27,0,0,58.72,0,0,64.79,0,0,56.34,0,0,68.75,0,0,0,0,0,77.78,11.69,93.17,1.049,0,0,0,0,65.22,0,0,0,56.17
470,8482133,Thomas Bordeleau,SJS,C,https://assets.nhle.com/mugs/nhl/20232024/SJS/8482133.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,thomasbordeleau,0,0,0,0,0,0,0,0,0,0,0,50.62,0,0,42.86,0,0,0,0,0,54.31,0,0,50.31,0,0,38.89,0,0,57.21,0,0,46.67,0,0,0,0,0,50.00,8.87,87.88,0.967,0,0,0,0,59.26,0,0,0,57.74
471,8480068,Ryan Poehling,PHI,C,https://assets.nhle.com/mugs/nhl/20232024/PHI/8480068.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,ryanpoehling,0,0,0,0,0,0,0,0,0,0,0,51.37,0,0,41.90,0,0,0,0,0,44.13,0,0,49.46,0,0,42.86,0,0,40.40,0,0,38.89,0,0,0,0,0,35.29,7.82,88.56,0.964,0,0,0,0,36.64,0,0,0,40.14
472,8475799,Nino Niederreiter,WPG,R,https://assets.nhle.com/mugs/nhl/20232024/WPG/8475799.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,ninoniederreiter,0,0,0,0,0,0,0,0,0,0,0,54.41,0,0,63.86,0,0,0,0,0,57.55,0,0,57.21,0,0,67.39,0,0,57.81,0,0,52.38,0,0,0,0,0,73.33,8.95,93.95,1.029,0,0,0,0,50.00,0,0,0,45.92
473,8481186,Logan O'Connor,COL,R,https://assets.nhle.com/mugs/nhl/20232024/COL/8481186.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,loganoconnor,0,0,0,0,0,0,0,0,0,0,0,48.87,0,0,48.15,0,0,0,0,0,47.26,0,0,46.58,0,0,50.00,0,0,47.83,0,0,47.62,0,0,0,0,0,36.36,9.49,90.23,0.997,0,0,0,0,25.91,0,0,0,27.08
474,8477467,Gustav Olofsson,SEA,D,https://assets.nhle.com/mugs/nhl/20232024/SEA/8477467.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,gustavolofsson,0,0,0,0,0,0,0,0,0,0,0,45.45,0,0,-,0,0,0,0,0,35.29,0,0,37.50,0,0,-,0,0,33.33,0,0,-,0,0,0,0,0,-,0.00,100.00,1.000,0,0,0,0,66.67,0,0,0,58.33
475,8476927,Teddy Blueger,VAN,C,https://assets.nhle.com/mugs/nhl/20232024/VAN/8476927.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,teddyblueger,0,0,0,0,0,0,0,0,0,0,0,44.81,0,0,42.27,0,0,0,0,0,47.28,0,0,51.41,0,0,44.00,0,0,43.72,0,0,45.16,0,0,0,0,0,21.43,9.49,89.47,0.990,0,0,0,0,27.72,0,0,0,29.20
476,8471677,Jack Johnson,COL,D,https://assets.nhle.com/mugs/nhl/20232024/COL/8471677.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,jackjohnson,0,0,0,0,0,0,0,0,0,0,0,47.63,0,0,53.40,0,0,0,0,0,47.08,0,0,48.11,0,0,49.09,0,0,46.29,0,0,67.86,0,0,0,0,0,45.00,9.95,92.11,1.021,0,0,0,0,25.77,0,0,0,32.59
