,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Jaromir Jagr,FLA,R,51,1972-02-15,Kladno,,CZE,CZE,75,230,1990,PIT,1,5,5
1,Patrik Elias,N.J,C,47,1976-04-13,Trebic,,CZE,CZE,73,190,1994,N.J,2,25,51
2,Eric Boulton,NYI,L,47,1976-08-17,Halifax,NS,CAN,CAN,72,227,1994,NYR,9,26,234
3,Shane Doan,ARI,R,47,1976-10-10,Halkirk,AB,CAN,CAN,73,223,1995,WIN,1,7,7
4,Jarome Iginla,COL,R,46,1977-07-01,Edmonton,AB,CAN,CAN,73,210,1995,DAL,1,11,11
5,Dainius Zubrus,S.J,C,45,1978-06-16,Elektrenai,,LTU,LTU,77,225,1996,PHI,1,15,15
6,Matt Cullen,PIT,C,47,1976-11-02,Virginia,MN,USA,USA,73,202,1996,ANA,2,9,35
7,Zdeno Chara,BOS,D,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
8,Michal Rozsival,CHI,D,45,1978-09-03,Vlasim,,CZE,CZE,73,210,1996,PIT,4,25,105
9,Willie Mitchell,FLA,D,46,1977-04-23,Port McNeill,BC,CAN,CAN,75,210,1996,N.J,8,10,199
10,Shawn Thornton,FLA,L,46,1977-07-23,Oshawa,ON,CAN,CAN,74,217,1997,TOR,7,29,190
11,Joe Thornton,S.J,C,44,1979-07-02,London,ON,CAN,CAN,76,220,1997,BOS,1,1,1
12,Patrick Marleau,S.J,"C, L",44,1979-09-15,Aneroid,SK,CAN,CAN,74,215,1997,S.J,1,2,2
13,Marian Hossa,CHI,R,44,1979-01-12,Stará Lubovna,,SVK,SVK,73,207,1997,OTT,1,12,12
14,Jason Chimera,WSH,L,44,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,EDM,5,15,121
15,Brian Campbell,FLA,D,44,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,BUF,6,22,156
16,Andrew Ference,EDM,D,44,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,PIT,8,18,208
17,Pascal Dupuis,PIT,R,44,1979-04-07,Laval,QC,CAN,CAN,73,205,-,-,-,-,-
18,Dan Boyle,NYR,D,47,1976-07-12,Ottawa,ON,CAN,CAN,71,194,-,-,-,-,-
19,Vincent Lecavalier,"L.A, PHI",C,43,1980-04-21,Ile Bizard,QC,CAN,CAN,76,215,1998,T.B,1,1,1
20,David Legwand,BUF,C,43,1980-08-17,Detroit,MI,USA,USA,74,207,1998,NSH,1,2,2
21,Brad Stuart,COL,D,44,1979-11-06,Rocky Mountain House,AB,CAN,CAN,74,215,1998,S.J,1,3,3
22,Alex Tanguay,"ARI, COL",L,44,1979-11-21,Ste-Justine,QC,CAN,CAN,73,194,1998,COL,1,12,12
23,Scott Gomez,"OTT, STL",C,43,1979-12-23,Anchorage,AK,USA,USA,71,200,1998,N.J,1,27,27
24,Mike Fisher,NSH,C,43,1980-06-05,Peterborough,ON,CAN,CAN,73,216,1998,OTT,2,17,44
25,Mike Ribeiro,NSH,C,43,1980-02-10,Montreal,QC,CAN,CAN,72,179,1998,MTL,2,18,45
26,Brad Richards,DET,C,43,1980-05-02,Murray Hbr.,PE,CAN,CAN,72,199,1998,T.B,3,6,64
27,Francois Beauchemin,COL,D,43,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,MTL,3,17,75
28,Brian Gionta,BUF,R,44,1979-01-18,Rochester,NY,USA,USA,67,178,1998,N.J,3,24,82
29,Shawn Horcoff,ANA,C,45,1978-09-17,Trail,BC,CAN,CAN,73,210,1998,EDM,4,13,99
30,Rob Scuderi,"CHI, L.A, PIT",D,44,1978-12-30,Syosset,NY,USA,USA,73,216,1998,PIT,5,20,134
31,Chris Neil,OTT,R,44,1979-06-18,Flesherton,ON,CAN,CAN,73,209,1998,OTT,6,16,161
