,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Jaromir Jagr,FLA,R,51,1972-02-15,Kladno,,CZE,CZE,75,230,1990,PIT,1,5,5
1,Shane Doan,ARI,R,47,1976-10-10,Halkirk,AB,CAN,CAN,73,223,1995,WIN,1,7,7
2,Jarome Iginla,"COL, L.A",R,46,1977-07-01,Edmonton,AB,CAN,CAN,73,210,1995,DAL,1,11,11
3,Matt Cullen,PIT,C,47,1976-11-02,Virginia,MN,USA,USA,73,202,1996,ANA,2,9,35
4,Zdeno Chara,BOS,D,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
5,Michal Rozsival,CHI,D,45,1978-09-03,Vlasim,,CZE,CZE,73,210,1996,PIT,4,25,105
6,Shawn Thornton,FLA,L,46,1977-07-23,Oshawa,ON,CAN,CAN,74,217,1997,TOR,7,29,190
7,Joe Thornton,S.J,C,44,1979-07-02,London,ON,CAN,CAN,76,220,1997,BOS,1,1,1
8,Patrick Marleau,S.J,L,44,1979-09-15,Aneroid,SK,CAN,CAN,74,215,1997,S.J,1,2,2
9,Marian Hossa,CHI,R,44,1979-01-12,Stará Lubovna,,SVK,SVK,73,207,1997,OTT,1,12,12
10,Jason Chimera,NYI,L,44,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,EDM,5,15,121
11,Brian Campbell,CHI,D,44,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,BUF,6,22,156
12,Mike Fisher,NSH,C,43,1980-06-05,Peterborough,ON,CAN,CAN,73,216,1998,OTT,2,17,44
13,Mike Ribeiro,NSH,C,43,1980-02-10,Montreal,QC,CAN,CAN,72,179,1998,MTL,2,18,45
14,Francois Beauchemin,COL,D,43,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,MTL,3,17,75
15,Brian Gionta,BUF,R,44,1979-01-18,Rochester,NY,USA,USA,67,178,1998,N.J,3,24,82
16,Chris Neil,OTT,R,44,1979-06-18,Flesherton,ON,CAN,CAN,73,209,1998,OTT,6,16,161
17,Andrei Markov,MTL,D,44,1978-12-20,Voskresensk,,RUS,RUS,72,200,1998,MTL,6,17,162
18,Daniel Sedin,VAN,L,43,1980-09-26,Ornskoldsvik,,SWE,SWE,73,190,1999,VAN,1,2,2
19,Henrik Sedin,VAN,C,43,1980-09-26,Ornskoldsvik,,SWE,SWE,74,183,1999,VAN,1,3,3
20,Chris Kelly,OTT,C,43,1980-11-11,Toronto,ON,CAN,CAN,72,190,1999,OTT,3,28,94
21,Derek MacKenzie,FLA,C,42,1981-06-11,Sudbury,ON,CAN,CAN,71,177,1999,ATL,5,2,128
22,Henrik Zetterberg,DET,L,43,1980-10-09,Njurunda,,SWE,SWE,72,197,1999,DET,7,24,210
23,Radim Vrbata,ARI,R,42,1981-06-13,Mlada Boleslav,,CZE,CZE,73,194,1999,COL,7,26,212
24,Joel Ward,S.J,R,43,1980-12-02,North York,ON,CAN,CAN,73,225,-,-,-,-,-
25,Mark Streit,"PHI, PIT",D,46,1977-12-11,Bern,,CHE,CHE,71,186,2004,MTL,9,4,262
26,Marian Gaborik,L.A,R,41,1982-02-14,Trencin,,SVK,SVK,73,200,2000,MIN,1,3,3
27,Scott Hartnell,CBJ,L,41,1982-04-18,Regina,SK,CAN,CAN,74,215,2000,NSH,1,6,6
28,Ron Hainsey,"CAR, PIT",D,42,1981-03-24,Bolton,CT,USA,USA,75,201,2000,MTL,1,13,13
29,Brooks Orpik,WSH,D,43,1980-09-26,San Francisco,CA,USA,USA,75,217,2000,PIT,1,18,18
30,Steve Ott,"DET, MTL",C,41,1982-08-19,Summerside,PE,CAN,CAN,72,193,2000,DAL,1,25,25
31,Justin Williams,WSH,R,42,1981-10-04,Cobourg,ON,CAN,CAN,73,184,2000,PHI,1,28,28
32,Niklas Kronwall,DET,D,42,1981-01-12,Stockholm,,SWE,SWE,72,194,2000,DET,1,29,29
33,Nick Schultz,PHI,D,41,1982-08-25,Strasbourg,SK,CAN,CAN,73,203,2000,MIN,2,3,33
34,Antoine Vermette,ANA,C,41,1982-07-20,St. Agapit,QC,CAN,CAN,73,197,2000,OTT,2,25,55
35,Paul Martin,S.J,D,42,1981-03-05,Minneapolis,MN,USA,USA,73,200,2000,N.J,2,32,62
36,Dominic Moore,BOS,C,43,1980-08-03,Thornhill,ON,CAN,CAN,72,192,2000,NYR,3,30,95
37,Matt Hendricks,EDM,"C, L",42,1981-06-17,Blaine,MN,USA,USA,72,211,2000,NSH,5,1,131
38,John-Michael Liles,BOS,D,43,1980-11-25,Indianapolis,IN,USA,USA,70,185,2000,COL,5,29,159
39,Deryk Engelland,CGY,D,41,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,N.J,6,27,194
40,Jason Spezza,DAL,C,40,1983-06-13,Toronto,ON,CAN,CAN,75,219,2001,OTT,1,2,2
41,Mikko Koivu,MIN,C,40,1983-03-12,Turku,,FIN,FIN,75,213,2001,MIN,1,6,6
42,Dan Hamhuis,DAL,D,41,1982-12-13,Smithers,BC,CAN,CAN,73,204,2001,NSH,1,12,12
43,Ales Hemsky,DAL,R,40,1983-08-13,Pardubice,,CZE,CZE,72,177,2001,EDM,1,13,13
44,Fedor Tyutin,COL,D,40,1983-07-19,Izhevsk,,RUS,RUS,74,221,2001,NYR,2,10,40
45,Mike Cammalleri,N.J,L,41,1982-06-08,Toronto,ON,CAN,CAN,69,185,2001,L.A,2,19,49
46,Chris Thorburn,WPG,R,40,1983-06-03,Sault Ste. Marie,ON,CAN,CAN,75,235,2001,BUF,2,20,50
47,Jason Pominville,MIN,R,41,1982-11-30,Repentigny,QC,CAN,USA,72,180,2001,BUF,2,25,55
48,Jay McClement,CAR,C,40,1983-03-02,Kingston,ON,CAN,CAN,73,205,2001,STL,2,27,57
49,Tomas Plekanec,MTL,C,41,1982-10-31,Kladno,,CZE,CZE,71,190,2001,MTL,3,8,71
50,Patrick Sharp,DAL,L,41,1981-12-27,Winnipeg,MB,CAN,CAN,73,200,2001,PHI,3,32,95
51,Jordin Tootoo,CHI,R,40,1983-02-02,Churchill,MB,CAN,CAN,69,195,2001,NSH,4,2,98
52,Kevin Bieksa,ANA,D,42,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,VAN,5,20,151
53,Dennis Seidenberg,NYI,D,42,1981-07-18,Schwenningen,,DEU,DEU,72,199,2001,PHI,6,7,172
54,Jussi Jokinen,FLA,L,40,1983-04-01,Kalajoki,,FIN,FIN,72,191,2001,DAL,6,27,192
