,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8467332,Bryan Allen,FLA,D,https://assets.nhle.com/mugs/nhl/20082009/FLA/8467332.png,https://assets.nhle.com/logos/nhl/svg/FLA_19992000-20152016_light.svg,bryanallen,43,1980-08-21,Kingston,ON,CAN,CAN,77,223,1998,VAN,1,4,4
1,8470151,Jay Bouwmeester,FLA,D,https://assets.nhle.com/mugs/nhl/20082009/FLA/8470151.png,https://assets.nhle.com/logos/nhl/svg/FLA_19992000-20152016_light.svg,jaybouwmeester,40,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
2,8459424,Chris Pronger,ANA,D,https://assets.nhle.com/mugs/nhl/20082009/ANA/8459424.png,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,chrispronger,49,1974-10-10,Dryden,ON,CAN,CAN,78,188,1993,HFD,1,2,2
3,8458517,Scott Niedermayer,ANA,D,https://assets.nhle.com/mugs/nhl/20082009/ANA/8458517.png,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,scottniedermayer,50,1973-08-31,Edmonton,AB,CAN,CAN,73,194,1991,N.J,1,3,3
4,8470602,Dion Phaneuf,CGY,D,https://assets.nhle.com/mugs/nhl/20082009/CGY/8470602.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,dionphaneuf,38,1985-04-10,Edmonton,AB,CAN,CAN,75,222,2003,CGY,1,9,9
5,8465009,Zdeno Chara,BOS,D,https://assets.nhle.com/mugs/nhl/20082009/BOS/8465009.png,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,zdenochara,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
6,8471242,Mike Green,WSH,D,https://assets.nhle.com/mugs/nhl/20082009/WSH/8471242.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,michaelgreen,38,1985-10-12,Calgary,AB,CAN,CAN,73,210,2004,WSH,1,29,29
7,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20082009/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,duncankeith,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
8,8468309,Mark Streit,NYI,D,https://assets.nhle.com/mugs/nhl/20082009/NYI/8468309.png,https://assets.nhle.com/logos/nhl/svg/NYI_19971998-20092010_light.svg,markstreit,46,1977-12-11,Bern,,CHE,CHE,71,186,2004,MTL,9,4,262
9,8458951,Sergei Gonchar,PIT,D,https://assets.nhle.com/mugs/nhl/20082009/PIT/8458951.png,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,sergeigonchar,49,1974-04-13,Chelyabinsk,,RUS,RUS,74,210,1992,WSH,1,14,14
