,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Matt Cullen,PIT,C,47,1976-11-02,Virginia,MN,USA,USA,73,202,1996,ANA,2,9,35
1,Zdeno Chara,BOS,D,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
2,Joe Thornton,S.J,C,44,1979-07-02,London,ON,CAN,CAN,76,220,1997,BOS,1,1,1
3,Patrick Marleau,TOR,C,44,1979-09-15,Aneroid,SK,CAN,CAN,74,215,1997,S.J,1,2,2
4,Derek MacKenzie,FLA,C,42,1981-06-11,Sudbury,ON,CAN,CAN,71,177,1999,ATL,5,2,128
5,Ron Hainsey,TOR,D,42,1981-03-24,Bolton,CT,USA,USA,75,201,2000,MTL,1,13,13
6,Brooks Orpik,WSH,D,43,1980-09-26,San Francisco,CA,USA,USA,75,217,2000,PIT,1,18,18
7,Justin Williams,CAR,R,42,1981-10-04,Cobourg,ON,CAN,CAN,73,184,2000,PHI,1,28,28
8,Niklas Kronwall,DET,D,42,1981-01-12,Stockholm,,SWE,SWE,72,194,2000,DET,1,29,29
9,Matt Hendricks,"MIN, WPG",C,42,1981-06-17,Blaine,MN,USA,USA,72,211,2000,NSH,5,1,131
10,Deryk Engelland,VGK,D,41,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,N.J,6,27,194
11,Ilya Kovalchuk,L.A,L,40,1983-04-15,Tver,,RUS,RUS,75,222,2001,ATL,1,1,1
12,Jason Spezza,DAL,C,40,1983-06-13,Toronto,ON,CAN,CAN,75,219,2001,OTT,1,2,2
13,Mikko Koivu,MIN,C,40,1983-03-12,Turku,,FIN,FIN,75,213,2001,MIN,1,6,6
14,Dan Hamhuis,NSH,D,41,1982-12-13,Smithers,BC,CAN,CAN,73,204,2001,NSH,1,12,12
15,Chris Thorburn,STL,R,40,1983-06-03,Sault Ste. Marie,ON,CAN,CAN,75,235,2001,BUF,2,20,50
16,Jason Pominville,BUF,R,41,1982-11-30,Repentigny,QC,CAN,USA,72,180,2001,BUF,2,25,55
17,Tomas Plekanec,MTL,C,41,1982-10-31,Kladno,,CZE,CZE,71,190,2001,MTL,3,8,71
18,Valtteri Filppula,NYI,C,39,1984-03-20,Vantaa,,FIN,FIN,72,189,2002,DET,3,32,95
19,Trevor Daley,DET,D,40,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,DAL,2,13,43
20,Frans Nielsen,DET,C,39,1984-04-24,Herning,,DNK,DNK,73,186,2002,NYI,3,24,87
21,Jay Bouwmeester,STL,D,40,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,FLA,1,3,3
22,Johnny Boychuk,NYI,D,39,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,COL,2,31,61
23,Alexander Steen,STL,L,39,1984-03-01,Winnipeg,MB,CAN,SWE,72,211,2002,TOR,1,24,24
24,Duncan Keith,CHI,D,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
25,Jonathan Ericsson,DET,D,39,1984-03-02,Karlskrona,,SWE,SWE,76,218,2002,DET,9,31,291
26,Chris Kunitz,CHI,L,44,1979-09-26,Regina,SK,CAN,CAN,72,188,-,-,-,-,-
27,Eric Staal,MIN,C,39,1984-10-29,Thunder Bay,ON,CAN,CAN,76,195,2003,CAR,1,2,2
28,Thomas Vanek,DET,L,39,1984-01-19,Vienna,,AUT,AUT,74,214,2003,BUF,1,5,5
29,Ryan Suter,MIN,D,38,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
30,Braydon Coburn,T.B,D,38,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,ATL,1,8,8
31,Dion Phaneuf,L.A,D,38,1985-04-10,Edmonton,AB,CAN,CAN,75,222,2003,CGY,1,9,9
32,Jeff Carter,L.A,C,38,1985-01-01,London,ON,CAN,CAN,75,219,2003,PHI,1,11,11
33,Dustin Brown,L.A,R,39,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,L.A,1,13,13
34,Brent Seabrook,CHI,D,38,1985-04-20,Richmond,BC,CAN,CAN,75,220,2003,CHI,1,14,14
35,Zach Parise,MIN,L,39,1984-07-28,Minneapolis,MN,USA,USA,71,195,2003,N.J,1,17,17
36,Eric Fehr,MIN,C,38,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,WSH,1,18,18
37,Ryan Getzlaf,ANA,C,38,1985-05-10,Regina,SK,CAN,CAN,76,220,2003,ANA,1,19,19
38,Brent Burns,S.J,D,38,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
39,Ryan Kesler,ANA,C,39,1984-08-31,Livonia,MI,USA,USA,74,206,2003,VAN,1,23,23
