,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,8478469,Thomas Chabot,OTT,D,https://assets.nhle.com/mugs/nhl/20192020/OTT/8478469.png,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,thomaschabot,26,1997-01-30,Sainte-Marie,QC,CAN,CAN,74,195,2015,OTT,1,18,18
1,8474563,Drew Doughty,LAK,D,https://assets.nhle.com/mugs/nhl/20192020/LAK/8474563.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,drewdoughty,34,1989-12-08,London,ON,CAN,CAN,73,210,2008,L.A,1,2,2
2,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20192020/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,romanjosi,33,1990-06-01,Bern,,CHE,CHE,73,201,2008,NSH,2,8,38
3,8471724,Kris Letang,PIT,D,https://assets.nhle.com/mugs/nhl/20192020/PIT/8471724.png,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,krisletang,36,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,PIT,3,1,62
4,8476472,Oscar Klefbom,EDM,D,https://assets.nhle.com/mugs/nhl/20192020/EDM/8476472.png,https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg,oscarklefbom,30,1993-07-20,Karlstad,,SWE,SWE,75,216,2011,EDM,1,19,19
5,8470613,Brent Burns,SJS,D,https://assets.nhle.com/mugs/nhl/20192020/SJS/8470613.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,brentburns,38,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
6,8477495,Seth Jones,CBJ,D,https://assets.nhle.com/mugs/nhl/20192020/CBJ/8477495.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,sethjones,29,1994-10-03,Arlington,TX,USA,USA,76,213,2013,NSH,1,4,4
7,8478500,Ivan Provorov,PHI,D,https://assets.nhle.com/mugs/nhl/20192020/PHI/8478500.png,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,ivanprovorov,26,1997-01-13,Yaroslavl,,RUS,RUS,73,201,2015,PHI,1,7,7
8,8470600,Ryan Suter,MIN,D,https://assets.nhle.com/mugs/nhl/20192020/MIN/8470600.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,ryansuter,38,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
9,8474590,John Carlson,WSH,D,https://assets.nhle.com/mugs/nhl/20192020/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,johncarlson,33,1990-01-10,Natick,MA,USA,USA,75,215,2008,WSH,1,27,27
10,8474578,Erik Karlsson,SJS,D,https://assets.nhle.com/mugs/nhl/20192020/SJS/8474578.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,erikkarlsson,33,1990-05-31,Landsbro,,SWE,SWE,72,190,2008,OTT,1,15,15
11,8470281,Duncan Keith,CHI,D,https://assets.nhle.com/mugs/nhl/20192020/CHI/8470281.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,duncankeith,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
12,8476853,Morgan Rielly,TOR,D,https://assets.nhle.com/mugs/nhl/20192020/TOR/8476853.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,morganrielly,29,1994-03-09,Vancouver,BC,CAN,CAN,73,222,2012,TOR,1,5,5
13,8474565,Alex Pietrangelo,STL,D,https://assets.nhle.com/mugs/nhl/20192020/STL/8474565.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,alexpietrangelo,33,1990-01-18,King City,ON,CAN,CAN,75,215,2008,STL,1,4,4
14,8475167,Victor Hedman,TBL,D,https://assets.nhle.com/mugs/nhl/20192020/TBL/8475167.png,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,victorhedman,32,1990-12-18,Ornskoldsvik,,SWE,SWE,79,244,2009,T.B,1,2,2
15,8470642,Shea Weber,MTL,D,https://assets.nhle.com/mugs/nhl/20192020/MTL/8470642.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,sheaweber,38,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
16,8478460,Zach Werenski,CBJ,D,https://assets.nhle.com/mugs/nhl/20192020/CBJ/8478460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,zachwerenski,26,1997-07-19,Grosse Pointe,MI,USA,USA,74,213,2015,CBJ,1,8,8
17,8479425,Filip Hronek,DET,D,https://assets.nhle.com/mugs/nhl/20192020/DET/8479425.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,filiphronek,26,1997-11-02,Hradec Králové,,CZE,CZE,72,190,2016,DET,2,23,53
18,8470966,Mark Giordano,CGY,D,https://assets.nhle.com/mugs/nhl/20192020/CGY/8470966.png,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,markgiordano,40,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
