,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Zdeno Chara,WSH,D,46,1977-03-18,Trencin,,SVK,SVK,81,250,1996,NYI,3,4,56
1,Joe Thornton,TOR,C,44,1979-07-02,London,ON,CAN,CAN,76,220,1997,BOS,1,1,1
2,Patrick Marleau,S.J,C,44,1979-09-15,Aneroid,SK,CAN,CAN,74,215,1997,S.J,1,2,2
3,Jason Spezza,TOR,C,40,1983-06-13,Toronto,ON,CAN,CAN,75,219,2001,OTT,1,2,2
4,Mikko Koivu,CBJ,C,40,1983-03-12,Turku,,FIN,FIN,75,213,2001,MIN,1,6,6
5,Valtteri Filppula,DET,C,39,1984-03-20,Vantaa,,FIN,FIN,72,189,2002,DET,3,32,95
6,Frans Nielsen,DET,C,39,1984-04-24,Herning,,DNK,DNK,73,186,2002,NYI,3,24,87
7,Duncan Keith,CHI,D,40,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,CHI,2,24,54
8,Eric Staal,"BUF, MTL",C,39,1984-10-29,Thunder Bay,ON,CAN,CAN,76,195,2003,CAR,1,2,2
9,Ryan Suter,MIN,D,38,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
10,Braydon Coburn,"NYI, OTT",D,38,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,ATL,1,8,8
11,Jeff Carter,"L.A, PIT",C,38,1985-01-01,London,ON,CAN,CAN,75,219,2003,PHI,1,11,11
12,Dustin Brown,L.A,R,39,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,L.A,1,13,13
13,Zach Parise,MIN,L,39,1984-07-28,Minneapolis,MN,USA,USA,71,195,2003,N.J,1,17,17
14,Ryan Getzlaf,ANA,C,38,1985-05-10,Regina,SK,CAN,CAN,76,220,2003,ANA,1,19,19
15,Brent Burns,S.J,D,38,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
16,Corey Perry,MTL,R,38,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
17,Loui Eriksson,VAN,L,38,1985-07-17,Gothenburg,,SWE,SWE,74,179,2003,DAL,2,3,33
18,Patrice Bergeron,BOS,C,38,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,196,2003,BOS,2,15,45
19,Shea Weber,MTL,D,38,1985-08-14,Sicamous,BC,CAN,CAN,76,230,2003,NSH,2,19,49
20,David Backes,ANA,R,39,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,STL,2,32,62
21,Brad Richardson,NSH,R,38,1985-02-04,Belleville,ON,CAN,CAN,72,190,2003,COL,5,27,163
22,Nate Thompson,WPG,C,39,1984-10-05,Anchorage,AK,USA,USA,73,205,2003,BOS,6,16,183
23,Joe Pavelski,DAL,C,39,1984-07-11,Plover,WI,USA,USA,71,200,2003,S.J,7,8,205
24,Mark Giordano,CGY,D,40,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
25,Alex Ovechkin,WSH,L,38,1985-09-17,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
26,Evgeni Malkin,PIT,C,37,1986-07-31,Magnitogorsk,,RUS,RUS,75,195,2004,PIT,1,2,2
27,Blake Wheeler,WPG,R,37,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
28,Alexander Radulov,DAL,R,37,1986-07-05,Nizhny Tagil,,RUS,RUS,73,200,2004,NSH,1,15,15
29,Travis Zajac,"N.J, NYI",C,38,1985-05-13,Winnipeg,MB,CAN,CAN,74,185,2004,N.J,1,20,20
30,Blake Comeau,DAL,L,37,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,NYI,2,17,47
31,Carl Soderberg,"CHI, COL",C,38,1985-10-12,Malmö,,SWE,SWE,75,210,2004,STL,2,19,49
32,Alex Goligoski,ARI,D,38,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
33,David Krejci,BOS,C,37,1986-04-28,Sternberk,,CZE,CZE,72,192,2004,BOS,2,33,63
34,Andrej Sekera,DAL,D,37,1986-06-08,Bojnice,,SVK,SVK,72,200,2004,BUF,3,6,71
35,Alexander Edler,VAN,D,37,1986-04-21,Ostersund,,SWE,SWE,76,210,2004,VAN,3,26,91
36,Paul Stastny,WPG,C,37,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005,COL,2,14,44
37,Sidney Crosby,PIT,C,36,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,PIT,1,1,1
38,Bobby Ryan,DET,R,36,1987-03-17,Cherry Hill,NJ,USA,USA,74,208,2005,ANA,1,2,2
