,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Kris Draper,DET,C,52,1971-05-24,Toronto,ON,CAN,CAN,70,188,1989,WIN,3,20,62
1,Mike Modano,DET,C,53,1970-06-07,Livonia,MI,USA,USA,75,212,1988,MNS,1,1,1
2,Mark Recchi,BOS,R,55,1968-02-01,Kamloops,BC,CAN,CAN,70,195,1988,PIT,4,4,67
3,Craig Conroy,CGY,C,52,1971-09-04,Potsdam,NY,USA,USA,74,193,1990,MTL,6,18,123
4,Adam Foote,COL,D,52,1971-07-10,Toronto,ON,CAN,CAN,74,220,1989,QUE,2,1,22
5,Nicklas Lidstrom,DET,D,53,1970-04-28,Vasteras,,SWE,SWE,73,192,1989,DET,3,11,53
6,Teemu Selanne,ANA,R,53,1970-07-03,Helsinki,,FIN,FIN,72,209,1988,WIN,1,10,10
7,Doug Weight,NYI,C,52,1971-01-21,Detroit,MI,USA,USA,71,202,1990,NYR,2,13,34
8,Peter Forsberg,COL,C,50,1973-07-20,Ornskoldsvik,,SWE,SWE,72,205,1991,PHI,1,6,6
9,Brian Rolston,N.J,R,50,1973-02-21,Flint,MI,USA,USA,74,215,1991,N.J,1,11,11
10,Alex Kovalev,"OTT, PIT",R,50,1973-02-24,Togliatti,,RUS,RUS,74,222,1991,NYR,1,15,15
11,Ray Whitney,PHX,L,51,1972-05-08,Fort Saskatchewan,AB,CAN,CAN,70,180,1991,S.J,2,1,23
12,Steve Staios,CGY,D,50,1973-07-28,Hamilton,ON,CAN,CAN,73,200,1991,STL,2,5,27
13,Jassen Cullimore,CHI,D,51,1972-12-04,Simcoe,ON,CAN,CAN,77,235,1991,VAN,2,7,29
14,Mike Knuble,WSH,R,51,1972-07-04,Toronto,ON,CAN,USA,75,229,1991,DET,4,10,76
15,Sean O'Donnell,PHI,D,52,1971-10-13,Ottawa,ON,CAN,CAN,74,238,1991,BUF,6,13,123
16,Roman Hamrlik,MTL,D,49,1974-04-12,Zlin,,CZE,CZE,74,206,1992,T.B,1,1,1
17,Cory Stillman,"CAR, FLA",L,49,1973-12-20,Peterborough,ON,CAN,CAN,72,193,1992,CGY,1,6,6
18,Sergei Gonchar,OTT,D,49,1974-04-13,Chelyabinsk,,RUS,RUS,74,210,1992,WSH,1,14,14
19,Craig Rivet,"BUF, CBJ",D,49,1974-09-13,North Bay,ON,CAN,CAN,74,207,1992,MTL,3,20,68
20,Adrian Aucoin,PHX,D,50,1973-07-03,Ottawa,ON,CAN,CAN,74,215,1992,VAN,5,21,117
21,Chris Pronger,PHI,D,49,1974-10-10,Dryden,ON,CAN,CAN,78,188,1993,HFD,1,2,2
22,Rob Niedermayer,BUF,C,48,1974-12-28,Cassiar,BC,CAN,CAN,74,203,1993,FLA,1,5,5
23,Jason Arnott,"N.J, WSH",C,49,1974-10-11,Collingwood,ON,CAN,CAN,77,220,1993,EDM,1,7,7
24,Saku Koivu,ANA,C,49,1974-11-23,Turku,,FIN,FIN,70,181,1993,MTL,1,21,21
