playerId,skaterFullName,teamAbbrevs,positionCode,gamesPlayed,goals,assists,points,evGoals,evPoints,faceoffWinPct,gameWinningGoals,lastName,otGoals,penaltyMinutes,plusMinus,pointsPerGame,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,timeOnIcePerGame,assistsPerGame,blockedShots,blocksPerGame,goalsPerGame,hits,hitsPerGame,penaltyMinutesPerGame,primaryAssistsPerGame,secondaryAssistsPerGame,shotsPerGame,timeOnIce,totalPrimaryAssists,totalSecondaryAssists,ppAssists,ppGoalsForPer60,ppGoalsPer60,ppIndividualSatFor,ppIndividualSatForPer60,ppPointsPer60,ppPrimaryAssists,ppPrimaryAssistsPer60,ppSecondaryAssists,ppSecondaryAssistsPer60,ppShootingPct,ppShots,ppShotsPer60,ppTimeOnIce,ppTimeOnIcePctPerGame,ppTimeOnIcePerGame,ppGoalsAgainstPer60,shAssists,shGoalsPer60,shIndividualSatFor,shIndividualSatForPer60,shPointsPer60,shPrimaryAssists,shPrimaryAssistsPer60,shSecondaryAssists,shSecondaryAssistsPer60,shShootingPct,shShots,shShotsPer60,shTimeOnIce,shTimeOnIcePctPerGame,shTimeOnIcePerGame,evTimeOnIce,evTimeOnIcePerGame,otTimeOnIce,otTimeOnIcePerOtGame,shifts,shiftsPerGame,timeOnIcePerShift
8473994,Jamie Benn,DAL,L,82,35,52,87,23,59,0.51736,6,Benn,0,64,1,1.06097,10,23,2,5,0.13833,L,253,1196.878,0.6341,50,0.6097,0.426829,120,1.4634,0.780487,0.3902,0.2439,3.085365,98144,32,20,13,8.41073,2.051,83,17.026,4.718,8,1.641,5,1.025,0.181,55,11.282,17549,0.607,214.012,6.43387,3,0.989,15,7.423,2.474,2,0.989,1,0.494,0.222,9,4.454,7274,0.2856,88.707,73321,894.15853,1278,71.0,2224,27.12195,44.12949
8475166,John Tavares,NYI,C,82,38,48,86,25,54,0.52219,8,Tavares,4,46,5,1.04878,13,31,0,1,0.13669,L,278,1240.3902,0.5853,37,0.4512,0.463414,48,0.5853,0.560975,0.3658,0.2195,3.390243,101712,30,18,18,8.69469,2.568,91,17.982,6.125,7,1.383,11,2.173,0.178,73,14.425,18218,0.684,222.17,0.0,1,0.0,0,0.0,22.222,1,22.222,0,0.0,0.0,0,0.0,162,0.00772,1.975,83332,1016.2439,2319,115.95,1851,22.57317,54.94975
8471675,Sidney Crosby,PIT,C,77,28,56,84,18,53,0.49906,3,Crosby,1,47,5,1.0909,10,31,0,0,0.11814,L,237,1198.2467,0.7272,29,0.3766,0.363636,66,0.8571,0.610389,0.4025,0.3246,3.077922,92265,31,25,21,8.8468,2.157,71,15.32,6.689,10,2.157,11,2.373,0.185,54,11.651,16684,0.694,216.675,6.37168,0,0.0,3,6.371,0.0,0,0.0,0,0.0,0.0,1,2.123,1695,0.06377,22.012,73886,959.55844,1674,79.71428,1924,24.98701,47.95478
8471214,Alex Ovechkin,WSH,L,81,53,28,81,28,47,0.4,11,Ovechkin,0,58,10,1.0,25,34,0,0,0.13417,R,395,1219.5555,0.3456,32,0.395,0.65432,259,3.1975,0.716049,0.2592,0.0864,4.876543,98784,21,7,9,9.89437,4.85,206,39.965,6.596,6,1.164,3,0.582,0.186,134,25.996,18556,0.833,229.086,84.70628,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,85,0.0032,1.049,80143,989.41975,1811,86.23809,1816,22.41975,54.39647
8474161,Jakub Voracek,PHI,R,82,22,59,81,11,48,0.66666,3,Voracek,2,78,1,0.9878,11,33,0,0,0.09954,L,221,1115.5853,0.7195,28,0.3414,0.268292,55,0.6707,0.951219,0.378,0.3414,2.695121,91478,31,28,22,10.98107,2.465,92,20.617,7.395,8,1.792,14,3.137,0.169,65,14.566,16064,0.635,195.902,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,180,0.00667,2.195,75234,917.4878,2417,92.96153,1944,23.70731,47.05658
8473563,Nicklas Backstrom,WSH,C,82,18,60,78,15,45,0.53573,3,Backstrom,1,40,5,0.95121,3,33,0,0,0.11764,L,153,1231.8048,0.7317,52,0.6341,0.219512,91,1.1097,0.487804,0.378,0.3536,1.865853,101008,31,29,30,10.15548,0.708,46,10.864,7.793,14,3.306,16,3.778,0.088,34,8.029,15243,0.684,185.89,7.59013,0,0.0,7,5.313,0.0,0,0.0,0,0.0,0.0,5,3.795,4743,0.17731,57.841,81022,988.07317,1662,79.14285,1996,24.34146,50.60521
8475794,Tyler Seguin,DAL,C,71,37,40,77,24,48,0.53816,5,Seguin,0,22,-1,1.0845,13,29,0,0,0.13214,R,280,1173.0704,0.5633,26,0.3661,0.521126,63,0.8873,0.309859,0.4647,0.0985,3.943661,83288,33,7,16,8.09185,2.843,119,26.025,6.342,12,2.624,4,0.874,0.151,86,18.808,16461,0.644,231.845,0.0,0,0.0,3,45.569,0.0,0,0.0,0,0.0,0.0,1,15.189,237,0.01037,3.338,66590,937.88732,974,69.57142,1723,24.2676,48.33894
8470201,Jiri Hudler,CGY,R,78,31,45,76,25,60,0.45652,5,Hudler,1,14,17,0.97435,6,16,0,0,0.1962,L,158,1080.5641,0.5769,14,0.1794,0.397435,27,0.3461,0.179487,0.3717,0.2051,2.025641,84284,29,16,10,8.00286,1.548,57,14.714,4.13,6,1.548,4,1.032,0.139,43,11.1,13945,0.565,178.782,0.0,0,0.0,2,37.305,0.0,0,0.0,0,0.0,0.0,1,18.652,193,0.01087,2.474,70146,899.30769,1404,70.2,2004,25.6923,42.05788
8467875,Daniel Sedin,VAN,L,82,20,56,76,16,51,0.4,5,Sedin,3,18,5,0.92682,4,25,0,0,0.08849,L,226,1101.4146,0.6829,16,0.1951,0.243902,21,0.256,0.219512,0.4268,0.256,2.756097,90316,35,21,21,9.50446,0.974,57,13.891,6.092,11,2.68,10,2.437,0.09,44,10.722,14772,0.622,180.146,3.99667,0,0.0,10,9.991,0.0,0,0.0,0,0.0,0.0,7,6.994,3603,0.13345,43.939,71941,877.32926,1529,89.94117,1943,23.69512,46.48275
8475765,Vladimir Tarasenko,STL,R,77,37,36,73,29,55,0.0,6,Tarasenko,2,31,27,0.94805,8,18,0,0,0.14015,L,264,1057.4805,0.4675,18,0.2337,0.480519,32,0.4155,0.402597,0.2207,0.2467,3.428571,81426,17,19,10,8.83724,2.356,80,23.565,5.302,5,1.472,5,1.472,0.16,50,14.728,12221,0.528,158.714,0.0,0,0.0,3,17.419,0.0,0,0.0,0,0.0,0.0,2,11.612,620,0.02491,8.051,68585,890.71428,1528,72.7619,1894,24.5974,42.99155
8473422,Nick Foligno,CBJ,L,79,31,42,73,20,47,0.47528,3,Foligno,1,50,16,0.92405,11,26,0,0,0.17032,L,182,1129.7848,0.5316,52,0.6582,0.392405,193,2.443,0.632911,0.2784,0.2531,2.303797,89253,22,20,15,10.50963,3.303,43,12.911,7.807,10,3.002,5,1.501,0.354,31,9.308,11989,0.51,151.759,7.3504,0,0.0,12,6.784,0.0,0,0.0,0,0.0,0.0,7,3.957,6367,0.21435,80.594,70897,897.43037,1664,92.44444,1945,24.62025,45.88843
8473512,Claude Giroux,PHI,R,81,25,48,73,11,36,0.56602,4,Giroux,2,36,-3,0.90123,14,37,0,0,0.0896,R,279,1233.9012,0.5925,28,0.3456,0.308641,110,1.358,0.444444,0.2469,0.3456,3.444444,99946,20,28,23,10.98654,3.139,79,17.713,8.295,7,1.569,16,3.587,0.218,64,14.349,16056,0.639,198.222,9.7035,0,0.0,3,2.911,0.0,0,0.0,0,0.0,0.0,2,1.94,3710,0.13897,45.802,80180,989.87654,2857,109.88461,2134,26.34567,46.83505
8467876,Henrik Sedin,VAN,C,82,18,55,73,13,48,0.44984,0,Sedin,0,22,11,0.89024,5,25,0,0,0.17821,L,101,1116.7073,0.6707,24,0.2926,0.219512,25,0.3048,0.268292,0.3414,0.3292,1.231707,91570,28,27,20,9.58296,1.228,25,6.142,6.142,11,2.702,9,2.211,0.294,17,4.177,14651,0.616,178.67,3.57941,0,0.0,2,1.789,0.0,0,0.0,0,0.0,0.0,1,0.894,4023,0.14901,49.06,72896,888.9756,1590,93.52941,1962,23.92682,46.67176
8474564,Steven Stamkos,TBL,C,82,43,29,72,30,47,0.49734,6,Stamkos,0,49,2,0.87804,13,25,0,0,0.16044,R,268,1162.0609,0.3536,35,0.4268,0.52439,91,1.1097,0.59756,0.2682,0.0853,3.268292,95289,22,7,12,7.00709,2.679,108,22.257,5.152,8,1.648,4,0.824,0.178,73,15.044,17468,0.626,213.024,3.56436,0,0.0,1,3.564,0.0,0,0.0,0,0.0,0.0,1,3.564,1010,0.03931,12.317,76811,936.71951,1427,95.13333,1806,22.02439,52.76245
8474870,Tyler Johnson,TBL,C,77,29,43,72,21,55,0.48685,6,Johnson,2,24,33,0.93506,8,17,0,0,0.14285,R,203,1034.2987,0.5584,36,0.4675,0.376623,64,0.8311,0.311688,0.3896,0.1688,2.636363,79641,30,13,9,8.31889,2.772,42,14.558,5.892,8,2.772,1,0.346,0.296,27,9.358,10386,0.403,134.883,7.08748,0,0.0,8,3.543,0.0,0,0.0,0,0.0,0.0,7,3.1,8127,0.3391,105.545,61128,793.87012,821,63.15384,1709,22.1948,46.60093
8475793,Ryan Johansen,CBJ,C,82,26,45,71,17,43,0.51953,0,Johansen,0,40,-6,0.86585,7,26,2,2,0.12871,R,202,1170.1341,0.5487,33,0.4024,0.317073,84,1.0243,0.487804,0.2926,0.256,2.463414,95951,24,21,19,9.18172,1.785,69,17.598,6.631,9,2.295,10,2.55,0.137,51,13.007,14115,0.572,172.134,9.82413,0,1.091,9,4.912,1.091,0,0.0,0,0.0,0.25,8,4.366,6596,0.21465,80.439,75240,917.56097,1573,82.78947,2064,25.17073,46.48788
8470794,Joe Pavelski,SJS,C,82,37,33,70,18,39,0.55972,5,Pavelski,0,29,12,0.85365,19,31,0,0,0.14176,R,261,1207.5,0.4024,86,1.0487,0.451219,97,1.1829,0.353658,0.2682,0.1341,3.182926,99015,22,11,12,9.38547,4.245,113,25.251,6.927,10,2.234,2,0.446,0.208,91,20.335,16110,0.632,196.463,6.67726,0,0.0,3,1.43,0.0,0,0.0,0,0.0,0.0,2,0.953,7548,0.3427,92.048,75357,918.9878,1497,99.8,2207,26.91463,44.86406
