,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
44,Kaapo Kahkonen,S.J,26,1370.7166666667,830,751,79,0.905,3.46,1.13,81.53,196,167,29,0.852,1.27,8.51,239,206,33,0.862,1.44,-5.31,363,346,17,0.953,0.74,-3.51,34,155,33.78,21.39
45,Igor Shesterkin,NYR,36,2126.3333333333,1032,933,99,0.904,2.79,0.64,100.08,289,229,60,0.792,1.69,-4.69,253,229,24,0.905,0.68,5.32,439,424,15,0.966,0.42,1.31,73,211,34.69,18.67
46,Mackenzie Blackwood,S.J,34,1881.3333333333,1079,969,110,0.898,3.51,-5.83,110.27,330,268,62,0.812,1.98,1.15,292,258,34,0.884,1.08,-0.17,414,400,14,0.966,0.45,1.38,51,205,33.89,19.63
47,Dan Vladar,CGY,17,968.65,464,412,52,0.888,3.22,-7.2,43.1,116,92,24,0.793,1.49,-1.8,130,113,17,0.869,1.05,-1.94,190,180,10,0.947,0.62,-2.94,36,71,36.18,24.12
48,Sam Montembeault,MTL,27,1610.85,877,791,86,0.902,3.2,-1.33,90.1,237,187,50,0.789,1.86,-4.64,210,186,24,0.886,0.89,0.33,386,374,12,0.969,0.45,2.34,42,166,35.61,18.36
49,Ilya Samsonov,TOR,25,1393.5333333333,629,555,74,0.882,3.19,-13.27,61.79,166,127,39,0.765,1.68,-7.23,152,130,22,0.855,0.95,-4.39,286,273,13,0.955,0.56,-2.37,44,117,35.36,21.22
50,Adin Hill,VGK,22,1255.8,634,589,45,0.929,2.15,16.21,62.62,141,121,20,0.858,0.96,6.98,179,161,18,0.899,0.86,2.74,282,275,7,0.975,0.33,3.48,37,125,35.1,20.04
51,Karel Vejmelka,ARI,26,1377.1333333333,760,677,83,0.891,3.62,-9.62,71.78,204,159,45,0.779,1.96,-5.96,210,184,26,0.876,1.13,-1.67,295,283,12,0.959,0.52,-1.04,52,121,36.37,18.99
52,Joey Daccord,SEA,38,2226.9,1117,1029,88,0.921,2.37,19.84,103.39,232,182,50,0.784,1.35,-5.6,272,251,21,0.923,0.57,10.52,551,534,17,0.969,0.46,3.47,54,186,37.47,18.39
53,Kenneth Appleby,NYI,1,20.0,8,6,2,0.75,6.0,-1.23,0.61,4,3,1,0.750,3.0,-0.23,1,0,1,0.0,3.0,-0.88,3,3,0,1.000,0.0,0.11,0,0,28.5,19.00
54,Connor Ingram,ARI,35,1910.2666666667,1004,916,88,0.912,2.76,8.93,99.23,262,226,36,0.863,1.13,14.14,263,228,35,0.867,1.1,-4.53,436,419,17,0.961,0.53,-0.8,56,176,33.71,21.49
55,Casey DeSmith,VAN,17,979.08333333333,473,423,50,0.894,3.06,-4.33,46.84,137,108,29,0.788,1.78,-2.78,109,96,13,0.881,0.8,-0.37,209,201,8,0.962,0.49,-0.23,22,89,33.95,19.08
56,Charlie Lindgren,WSH,25,1397.9333333333,720,659,61,0.915,2.62,8.51,68.86,190,156,34,0.821,1.46,2.36,180,164,16,0.911,0.69,4.86,316,305,11,0.965,0.47,0.74,38,113,35.19,20.57
57,Alex Lyon,DET,25,1421.75,763,696,67,0.912,2.83,6.66,71.41,193,156,37,0.808,1.56,-0.06,205,184,21,0.898,0.89,2.75,330,321,9,0.973,0.38,3.26,30,135,35.5,20.49
58,Joseph Woll,TOR,15,879.88333333333,490,449,41,0.916,2.8,6.31,48.44,151,127,24,0.841,1.64,4.9,138,128,10,0.928,0.68,5.99,175,168,7,0.960,0.48,-0.5,33,99,33.06,21.37
59,Carter Hart,PHI,26,1455.1833333333,726,659,67,0.908,2.76,3.09,66.87,175,142,33,0.811,1.36,0.49,184,163,21,0.886,0.87,0.32,318,305,13,0.959,0.54,-1.18,33,123,36.69,21.31
60,Filip Gustavsson,MIN,33,1828.4,938,838,100,0.893,3.28,-9.44,88.66,237,190,47,0.802,1.54,-1.64,241,213,28,0.884,0.92,-0.08,425,400,25,0.941,0.82,-9.21,48,143,34.6,21.25
61,David Rittich,L.A,15,826.78333333333,381,350,31,0.919,2.25,5.78,41.79,109,91,18,0.835,1.31,2.86,95,86,9,0.905,0.65,2.01,162,158,4,0.975,0.29,2.02,16,81,33.98,21.35
62,Stuart Skinner,EDM,40,2325.3833333333,1063,960,103,0.903,2.66,-0.37,106.06,280,222,58,0.793,1.5,-4.41,305,276,29,0.905,0.75,6.34,429,413,16,0.963,0.41,-0.06,68,181,34.17,19.29
63,Jake Oettinger,DAL,34,1945.9166666667,991,896,95,0.904,2.93,0.68,91.48,245,195,50,0.796,1.54,-3.11,247,219,28,0.887,0.86,0.62,448,431,17,0.962,0.52,-0.35,56,158,35.25,19.56
64,Ukko-Pekka Luukkonen,BUF,32,1806.85,855,779,76,0.911,2.52,6.55,84.97,232,194,38,0.836,1.26,6.4,223,205,18,0.919,0.6,7.84,368,348,20,0.946,0.66,-6.33,55,164,34.71,23.82
65,Cayden Primeau,MTL,12,685.0,359,324,35,0.903,3.07,-0.34,34.48,83,71,12,0.855,1.05,3.88,109,94,15,0.862,1.31,-2.37,149,141,8,0.946,0.7,-2.46,22,66,36.65,23.89
66,Matt Villalta,ARI,2,71.966666666667,29,24,5,0.828,4.17,-2.2,2.79,5,3,2,0.600,1.67,-1.04,11,8,3,0.727,2.5,-1.73,12,12,0,1.000,0.0,0.45,0,3,33.66,15.40
67,Daniil Tarasov,CBJ,12,715.06666666667,379,334,45,0.881,3.78,-8.41,32.82,92,76,16,0.826,1.34,1.61,102,79,23,0.775,1.93,-11.18,170,164,6,0.965,0.5,0.32,10,66,35.08,22.38
68,Jiri Patera,VGK,5,256.1,161,145,16,0.901,3.75,-0.46,13.26,40,34,6,0.850,1.41,1.66,37,33,4,0.892,0.94,0.29,77,71,6,0.922,1.41,-3.14,5,24,35.45,26.25
69,Jeremy Swayman,BOS,32,1844.2,953,877,76,0.92,2.47,16.01,90.74,244,203,41,0.832,1.33,5.7,231,209,22,0.905,0.72,4.77,426,413,13,0.969,0.42,2.83,80,165,35.84,19.08
70,Logan Thompson,VGK,32,1857.7666666667,911,828,83,0.909,2.68,4.95,84.02,213,162,51,0.761,1.65,-10.24,215,195,20,0.907,0.65,4.91,435,423,12,0.972,0.39,4.16,60,191,36.71,17.82
71,Alexandar Georgiev,COL,47,2753.7833333333,1314,1182,132,0.9,2.88,-5.14,131.67,378,310,68,0.820,1.48,4.34,284,245,39,0.863,0.85,-6.09,572,547,25,0.956,0.54,-3.75,75,252,35.22,19.67
72,Lukas Dostal,ANA,26,1303.3166666667,790,709,81,0.897,3.73,-4.73,75.57,219,180,39,0.822,1.8,2.91,199,173,26,0.869,1.2,-2.94,344,328,16,0.953,0.74,-3.22,35,119,33.08,21.00
73,Kevin Lankinen,NSH,16,812.38333333333,405,360,45,0.889,3.32,-5.9,38.89,105,81,24,0.771,1.77,-3.91,109,97,12,0.89,0.89,0.63,171,162,9,0.947,0.66,-2.65,32,67,34.39,17.24
74,Joel Hofer,STL,20,1051.2833333333,558,509,49,0.912,2.8,4.87,53.35,137,108,29,0.788,1.66,-2.78,143,126,17,0.881,0.97,-0.43,254,252,2,0.992,0.11,7.44,29,85,34.23,19.27
75,Magnus Chrona,S.J,2,50.5,29,21,8,0.724,9.5,-5.2,2.87,11,5,6,0.455,7.13,-3.89,6,5,1,0.833,1.19,-0.3,9,8,1,0.889,1.19,-0.67,2,3,33.9,16.50
76,Justus Annunen,COL,3,176.3,107,95,12,0.888,4.08,-1.67,12.09,34,26,8,0.765,2.72,-1.49,27,24,3,0.889,1.02,0.13,45,44,1,0.978,0.34,0.67,4,23,30.9,14.33
77,Ivan Prosvetov,COL,11,494.18333333333,248,222,26,0.895,3.16,-2.06,24.24,71,54,17,0.761,2.06,-3.41,68,61,7,0.897,0.85,0.88,97,95,2,0.979,0.24,1.6,15,46,32.61,17.42
78,Akira Schmid,N.J,15,755.53333333333,383,342,41,0.893,3.26,-4.02,35.96,103,81,22,0.786,1.75,-2.29,87,75,12,0.862,0.95,-1.92,167,160,7,0.958,0.56,-0.79,22,63,34.99,19.59
79,Samuel Ersson,PHI,31,1767.7166666667,761,685,76,0.9,2.58,-2.53,79.11,209,169,40,0.809,1.36,0.0,207,178,29,0.86,0.98,-5.01,297,290,7,0.976,0.24,4.04,48,161,35.19,19.24
80,Mads Sogaard,OTT,4,164.93333333333,80,66,14,0.825,5.09,-6.28,5.97,16,11,5,0.688,1.82,-1.94,20,14,6,0.7,2.18,-3.68,42,39,3,0.929,1.09,-1.44,4,10,35.86,24.71
81,Pyotr Kochetkov,CAR,28,1534.95,663,600,63,0.905,2.46,1.01,58.41,172,140,32,0.814,1.25,0.92,166,142,24,0.855,0.94,-4.77,285,279,6,0.979,0.23,4.59,33,106,35.68,19.86
82,Dustin Wolf,CGY,6,337.38333333333,180,158,22,0.878,3.91,-4.62,13.51,37,25,12,0.676,2.13,-4.92,53,44,9,0.83,1.6,-2.86,78,77,1,0.987,0.18,1.9,13,24,38.61,17.55
83,Nico Daws,N.J,13,734.83333333333,402,363,39,0.903,3.18,-0.19,39.9,126,103,23,0.817,1.88,1.11,96,86,10,0.896,0.82,1.12,160,154,6,0.963,0.49,-0.05,17,83,34.55,19.92
84,Yaroslav Askarov,NSH,2,81.666666666667,35,33,2,0.943,1.47,1.38,3.82,8,7,1,0.875,0.73,0.53,10,9,1,0.9,0.73,0.16,17,17,0,1.000,0.0,0.63,3,11,32.09,21.50
85,Devon Levi,BUF,20,1126.3,572,510,62,0.892,3.3,-6.78,58.74,160,129,31,0.806,1.65,-0.38,152,129,23,0.849,1.23,-5.39,239,231,8,0.967,0.43,0.88,29,114,32.35,19.65
86,Hunter Shepard,WSH,4,244.83333333333,123,110,13,0.894,3.19,-1.12,12.79,32,22,10,0.688,2.45,-3.88,29,27,2,0.931,0.49,1.36,58,57,1,0.983,0.25,1.16,6,27,34.91,17.62
87,Jesper Wallstedt,MIN,1,60.0,34,27,7,0.794,7.0,-3.72,2.85,7,3,4,0.429,4.0,-2.66,11,9,2,0.818,2.0,-0.73,16,15,1,0.938,1.0,-0.41,3,4,35.26,23.57
88,Arvid Soderblom,CHI,22,1213.15,634,555,79,0.875,3.91,-17.79,64.71,197,152,45,0.772,2.23,-7.3,158,138,20,0.873,0.99,-1.69,256,242,14,0.945,0.69,-4.49,44,123,31.64,18.28
89,Jet Greaves,CBJ,2,118.93333333333,76,71,5,0.934,2.52,2.34,7.55,20,16,4,0.800,2.02,-0.17,13,12,1,0.923,0.5,0.51,38,38,0,1.000,0.0,1.41,1,22,36.32,13.60
90,Matt Murray,DAL,1,60.0,23,23,0,1.0,0.0,2.22,2.03,3,3,0,1.000,0.0,0.57,4,4,0,1.0,0.0,0.46,14,14,0,1.000,0.0,0.52,2,4,43.78,-
91,Yaniv Perets,CAR,1,12.766666666667,1,1,0,1.0,0.0,0.1,0.04,0,0,0,-,0.0,0.0,1,1,0,1.0,0.0,0.12,0,0,0,-,0.0,0.0,0,0,28.0,-
