,Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
0,Marc-Andre Fleury,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0.784,0,0,0,0,0,0,0,0,0,0,0,0.958,0,0,0,0,0,20.43
1,Jonathan Quick,NYR,0,0,0,0,0,0,0,0,0,0,0,0,0.840,0,0,0,0,0,0,0,0,0,0,0,0.965,0,0,0,0,0,19.57
2,James Reimer,DET,0,0,0,0,0,0,0,0,0,0,0,0,0.828,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0,0,0,0,20.50
3,Semyon Varlamov,NYI,0,0,0,0,0,0,0,0,0,0,0,0,0.832,0,0,0,0,0,0,0,0,0,0,0,0.965,0,0,0,0,0,21.62
4,Jacob Markstrom,CGY,0,0,0,0,0,0,0,0,0,0,0,0,0.850,0,0,0,0,0,0,0,0,0,0,0,0.956,0,0,0,0,0,22.15
5,Jake Allen,"MTL, N.J",0,0,0,0,0,0,0,0,0,0,0,0,0.813,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0,0,19.89
6,Michael Hutchinson,DET,0,0,0,0,0,0,0,0,0,0,0,0,0.800,0,0,0,0,0,0,0,0,0,0,0,0.950,0,0,0,0,0,19.00
7,Martin Jones,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.817,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0,0,18.46
8,Darcy Kuemper,WSH,0,0,0,0,0,0,0,0,0,0,0,0,0.795,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0,0,21.36
9,Cam Talbot,L.A,0,0,0,0,0,0,0,0,0,0,0,0,0.813,0,0,0,0,0,0,0,0,0,0,0,0.965,0,0,0,0,0,19.57
10,Sergei Bobrovsky,FLA,0,0,0,0,0,0,0,0,0,0,0,0,0.815,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0,0,0,0,19.34
11,Calvin Pickard,EDM,0,0,0,0,0,0,0,0,0,0,0,0,0.826,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0,0,0,0,19.96
12,Jack Campbell,EDM,0,0,0,0,0,0,0,0,0,0,0,0,0.681,0,0,0,0,0,0,0,0,0,0,0,0.981,0,0,0,0,0,12.20
13,Scott Wedgewood,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0.788,0,0,0,0,0,0,0,0,0,0,0,0.966,0,0,0,0,0,19.44
14,Philipp Grubauer,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0.779,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,19.98
15,Louis Domingue,NYR,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,9.00
16,Petr Mrazek,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0.810,0,0,0,0,0,0,0,0,0,0,0,0.960,0,0,0,0,0,18.08
17,Frederik Andersen,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0.880,0,0,0,0,0,0,0,0,0,0,0,0.982,0,0,0,0,0,19.57
18,Laurent Brossoit,WPG,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0,0,0,0,20.42
19,Anton Forsberg,OTT,0,0,0,0,0,0,0,0,0,0,0,0,0.795,0,0,0,0,0,0,0,0,0,0,0,0.955,0,0,0,0,0,20.06
20,Jordan Binnington,STL,0,0,0,0,0,0,0,0,0,0,0,0,0.838,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,19.46
21,Magnus Hellberg,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,16.00
22,John Gibson,ANA,0,0,0,0,0,0,0,0,0,0,0,0,0.820,0,0,0,0,0,0,0,0,0,0,0,0.953,0,0,0,0,0,20.16
23,Malcolm Subban,CBJ,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,31.67
24,Andrei Vasilevskiy,T.B,0,0,0,0,0,0,0,0,0,0,0,0,0.813,0,0,0,0,0,0,0,0,0,0,0,0.957,0,0,0,0,0,21.79
25,Chris Driedger,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0.813,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,17.00
26,Joonas Korpisalo,OTT,0,0,0,0,0,0,0,0,0,0,0,0,0.801,0,0,0,0,0,0,0,0,0,0,0,0.945,0,0,0,0,0,20.95
27,Anthony Stolarz,FLA,0,0,0,0,0,0,0,0,0,0,0,0,0.858,0,0,0,0,0,0,0,0,0,0,0,0.972,0,0,0,0,0,19.33
28,Connor Hellebuyck,WPG,0,0,0,0,0,0,0,0,0,0,0,0,0.830,0,0,0,0,0,0,0,0,0,0,0,0.981,0,0,0,0,0,18.37
29,Linus Ullmark,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0.975,0,0,0,0,0,19.21
30,Matt Tomkins,T.B,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0,0,22.90
31,Antti Raanta,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0.782,0,0,0,0,0,0,0,0,0,0,0,0.967,0,0,0,0,0,16.95
32,Cal Petersen,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.700,0,0,0,0,0,0,0,0,0,0,0,0.898,0,0,0,0,0,22.28
33,Juuse Saros,NSH,0,0,0,0,0,0,0,0,0,0,0,0,0.820,0,0,0,0,0,0,0,0,0,0,0,0.957,0,0,0,0,0,20.81
34,Tristan Jarry,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0.967,0,0,0,0,0,19.97
35,Eric Comrie,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0.774,0,0,0,0,0,0,0,0,0,0,0,0.959,0,0,0,0,0,20.50
36,Spencer Martin,"CAR, CBJ",0,0,0,0,0,0,0,0,0,0,0,0,0.793,0,0,0,0,0,0,0,0,0,0,0,0.969,0,0,0,0,0,18.31
37,Pheonix Copley,L.A,0,0,0,0,0,0,0,0,0,0,0,0,0.769,0,0,0,0,0,0,0,0,0,0,0,0.972,0,0,0,0,0,18.39
38,Thatcher Demko,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0.835,0,0,0,0,0,0,0,0,0,0,0,0.970,0,0,0,0,0,20.89
39,Alex Nedeljkovic,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0.769,0,0,0,0,0,0,0,0,0,0,0,0.952,0,0,0,0,0,18.53
40,Vitek Vanecek,N.J,0,0,0,0,0,0,0,0,0,0,0,0,0.736,0,0,0,0,0,0,0,0,0,0,0,0.964,0,0,0,0,0,17.73
41,Jonas Johansson,T.B,0,0,0,0,0,0,0,0,0,0,0,0,0.810,0,0,0,0,0,0,0,0,0,0,0,0.953,0,0,0,0,0,22.83
42,Elvis Merzlikins,CBJ,0,0,0,0,0,0,0,0,0,0,0,0,0.799,0,0,0,0,0,0,0,0,0,0,0,0.953,0,0,0,0,0,20.15
43,Ilya Sorokin,NYI,0,0,0,0,0,0,0,0,0,0,0,0,0.839,0,0,0,0,0,0,0,0,0,0,0,0.960,0,0,0,0,0,21.69
44,Ville Husso,DET,0,0,0,0,0,0,0,0,0,0,0,0,0.799,0,0,0,0,0,0,0,0,0,0,0,0.958,0,0,0,0,0,20.85
45,Kaapo Kahkonen,"N.J, S.J",0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0.950,0,0,0,0,0,23.04
46,Igor Shesterkin,NYR,0,0,0,0,0,0,0,0,0,0,0,0,0.810,0,0,0,0,0,0,0,0,0,0,0,0.970,0,0,0,0,0,18.67
47,Mackenzie Blackwood,S.J,0,0,0,0,0,0,0,0,0,0,0,0,0.812,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,19.59
48,Felix Sandstrom,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.759,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0,0,21.53
49,Dan Vladar,CGY,0,0,0,0,0,0,0,0,0,0,0,0,0.793,0,0,0,0,0,0,0,0,0,0,0,0.937,0,0,0,0,0,24.37
50,Sam Montembeault,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0.804,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,18.26
51,Ilya Samsonov,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.790,0,0,0,0,0,0,0,0,0,0,0,0.955,0,0,0,0,0,21.38
52,Adin Hill,VGK,0,0,0,0,0,0,0,0,0,0,0,0,0.837,0,0,0,0,0,0,0,0,0,0,0,0.961,0,0,0,0,0,21.22
53,Karel Vejmelka,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.792,0,0,0,0,0,0,0,0,0,0,0,0.958,0,0,0,0,0,19.79
54,Ivan Fedotov,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,17.50
55,Joey Daccord,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0.779,0,0,0,0,0,0,0,0,0,0,0,0.969,0,0,0,0,0,19.14
56,Kenneth Appleby,NYI,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,19.00
57,Connor Ingram,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.841,0,0,0,0,0,0,0,0,0,0,0,0.959,0,0,0,0,0,21.09
58,Casey DeSmith,VAN,0,0,0,0,0,0,0,0,0,0,0,0,0.787,0,0,0,0,0,0,0,0,0,0,0,0.958,0,0,0,0,0,19.55
59,Charlie Lindgren,WSH,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0,0,0,0,0,0,0,0,0,0,0,0.961,0,0,0,0,0,21.45
60,Alex Lyon,DET,0,0,0,0,0,0,0,0,0,0,0,0,0.781,0,0,0,0,0,0,0,0,0,0,0,0.976,0,0,0,0,0,20.43
61,Joseph Woll,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.828,0,0,0,0,0,0,0,0,0,0,0,0.957,0,0,0,0,0,21.63
62,Carter Hart,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.811,0,0,0,0,0,0,0,0,0,0,0,0.959,0,0,0,0,0,21.31
63,Filip Gustavsson,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0.795,0,0,0,0,0,0,0,0,0,0,0,0.947,0,0,0,0,0,20.75
64,David Rittich,L.A,0,0,0,0,0,0,0,0,0,0,0,0,0.844,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,22.33
65,Stuart Skinner,EDM,0,0,0,0,0,0,0,0,0,0,0,0,0.803,0,0,0,0,0,0,0,0,0,0,0,0.964,0,0,0,0,0,20.22
66,Jake Oettinger,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0.789,0,0,0,0,0,0,0,0,0,0,0,0.969,0,0,0,0,0,18.89
67,Ukko-Pekka Luukkonen,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0.834,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0,0,0,0,23.02
68,Cayden Primeau,MTL,0,0,0,0,0,0,0,0,0,0,0,0,0.845,0,0,0,0,0,0,0,0,0,0,0,0.951,0,0,0,0,0,22.06
69,Matt Villalta,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.600,0,0,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,15.40
70,Daniil Tarasov,CBJ,0,0,0,0,0,0,0,0,0,0,0,0,0.862,0,0,0,0,0,0,0,0,0,0,0,0.961,0,0,0,0,0,23.60
71,Jiri Patera,VGK,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0,0,0,0,0,0,0,0,0,0,0,0.933,0,0,0,0,0,23.48
72,Jeremy Swayman,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0.813,0,0,0,0,0,0,0,0,0,0,0,0.970,0,0,0,0,0,18.58
73,Logan Thompson,VGK,0,0,0,0,0,0,0,0,0,0,0,0,0.783,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,20.11
74,Alexandar Georgiev,COL,0,0,0,0,0,0,0,0,0,0,0,0,0.804,0,0,0,0,0,0,0,0,0,0,0,0.956,0,0,0,0,0,18.52
75,Lukas Dostal,ANA,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0,0,0,0,0.959,0,0,0,0,0,20.35
76,Kevin Lankinen,NSH,0,0,0,0,0,0,0,0,0,0,0,0,0.814,0,0,0,0,0,0,0,0,0,0,0,0.948,0,0,0,0,0,18.34
77,Joel Hofer,STL,0,0,0,0,0,0,0,0,0,0,0,0,0.808,0,0,0,0,0,0,0,0,0,0,0,0.984,0,0,0,0,0,18.85
78,Magnus Chrona,S.J,0,0,0,0,0,0,0,0,0,0,0,0,0.723,0,0,0,0,0,0,0,0,0,0,0,0.928,0,0,0,0,0,20.32
79,Justus Annunen,COL,0,0,0,0,0,0,0,0,0,0,0,0,0.845,0,0,0,0,0,0,0,0,0,0,0,0.978,0,0,0,0,0,19.10
80,Ivan Prosvetov,COL,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0,0,0,0,0,0,0,0,0,0,0,0.979,0,0,0,0,0,17.42
81,Akira Schmid,N.J,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0,0,0,0,0,0,0,0,0,0,0,0.960,0,0,0,0,0,19.10
82,Samuel Ersson,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,0,0,0.972,0,0,0,0,0,20.52
83,Mads Sogaard,OTT,0,0,0,0,0,0,0,0,0,0,0,0,0.733,0,0,0,0,0,0,0,0,0,0,0,0.922,0,0,0,0,0,24.53
