teamId,teamFullName,gamesPlayed,wins,losses,otLosses,points,pointPct,goalsFor,goalsAgainst,shotsForPerGame,shotsAgainstPerGame,powerPlayPct,penaltyKillPct,faceoffWinPct,goalsAgainstPerGame,goalsForPerGame,penaltyKillNetPct,powerPlayNetPct,regulationAndOtWins,seasonId,teamShutouts,ties,winsInRegulation,winsInShootout
15,Washington Capitals,82,56,18,8,120,0.7317,248,191,30.60975,28.43902,0.219123,0.851563,0.495708,2.32926,3.02439,0.859375,0.199203,52,20152016,3,,45,4
25,Dallas Stars,82,50,23,9,109,0.66463,265,228,32.0,28.91463,0.221374,0.822581,0.501932,2.78048,3.2317,0.862903,0.164122,48,20152016,5,,42,2
19,St. Louis Blues,82,49,24,9,107,0.65243,219,197,30.17073,29.7439,0.215189,0.85145,0.512621,2.40243,2.67073,0.865942,0.194092,44,20152016,10,,36,5
5,Pittsburgh Penguins,82,48,26,8,104,0.63414,241,199,33.19512,29.70731,0.183908,0.844358,0.501644,2.42682,2.93902,0.887159,0.16475,44,20152016,6,,38,4
24,Anaheim Ducks,82,46,25,11,103,0.62804,215,188,30.28048,27.53658,0.231404,0.872414,0.51945,2.29268,2.62195,0.896551,0.219008,43,20152016,8,,39,3
13,Florida Panthers,82,47,26,9,103,0.62804,232,200,28.75609,29.5,0.169064,0.794777,0.500786,2.43902,2.82926,0.813432,0.151079,40,20152016,4,,39,7
16,Chicago Blackhawks,82,47,26,9,103,0.62804,234,207,30.46341,30.80487,0.22619,0.802576,0.492549,2.52439,2.85365,0.845493,0.214285,46,20152016,8,,36,1
26,Los Angeles Kings,82,48,28,6,102,0.62195,223,192,32.01219,27.4878,0.2,0.814036,0.505082,2.34146,2.71951,0.831578,0.187234,46,20152016,7,,34,2
3,New York Rangers,82,46,27,9,101,0.61585,233,215,28.4878,30.41463,0.18584,0.781894,0.491813,2.62195,2.84146,0.794238,0.163716,43,20152016,5,,39,3
2,New York Islanders,82,45,27,10,100,0.60975,227,211,29.41463,30.42682,0.183406,0.844828,0.500859,2.57317,2.76829,0.875,0.157205,40,20152016,4,,34,5
