,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Chicago Blackhawks,41,2497:59,16,18,7,14,39,0.476,2163,2449,46.9,1600,1862,46.22,1033,1231,45.63,113,129,46.69,107.92,139.01,43.71,1019,1232,45.27,536,659,44.85,94,105,47.24,17.54,84.07,407,574,41.49,260,376,40.88,61,63,49.19,23.46,83.24,612,658,48.19,276,283,49.37,33,42,44.0,11.96,85.16,1291,1443,47.22,446,501,47.1,16,22,42.11,3.59,95.61,10.94,89.52,1.005
1,Florida Panthers,40,2427:23,21,16,3,19,45,0.563,2515,2217,53.15,1816,1639,52.56,1175,1060,52.57,125,128,49.41,139.67,129.21,51.94,1244,1040,54.47,654,554,54.14,108,102,51.43,16.51,81.59,553,461,54.54,344,296,53.75,72,64,52.94,20.93,78.38,691,579,54.41,310,258,54.58,36,38,48.65,11.61,85.27,1464,1329,52.42,475,438,52.03,13,23,36.11,2.74,94.75,10.64,87.92,0.986
2,Pittsburgh Penguins,41,2502:52,20,12,9,19,49,0.598,2453,2454,49.99,1795,1768,50.38,1186,1139,51.01,134,126,51.54,139.66,129.23,51.94,1256,1237,50.38,667,639,51.07,105,98,51.72,15.74,84.66,541,501,51.92,345,318,52.04,63,56,52.94,18.26,82.39,715,736,49.28,322,321,50.08,42,42,50.0,13.04,86.92,1390,1404,49.75,446,458,49.34,22,26,45.83,4.93,94.32,11.3,88.94,1.002
3,New York Rangers,43,2616:58,20,18,5,18,45,0.523,2519,2613,49.08,1775,1876,48.62,1103,1226,47.36,112,117,48.91,130.14,140.87,48.02,1216,1224,49.84,581,642,47.51,87,87,50.0,14.97,86.45,534,486,52.35,309,317,49.36,49,54,47.57,15.86,82.97,682,738,48.03,272,325,45.56,38,33,53.52,13.97,89.85,1496,1547,49.16,459,523,46.74,20,23,46.51,4.36,95.6,10.15,90.46,1.006
4,Colorado Avalanche,40,2433:08,31,2,7,30,69,0.863,2831,2242,55.81,2052,1630,55.73,1387,1068,56.5,163,87,65.2,157.17,111.71,58.45,1405,1053,57.16,755,550,57.85,126,70,64.29,16.69,87.27,557,454,55.09,355,304,53.87,82,49,62.6,23.1,83.88,848,599,58.6,400,246,61.92,44,21,67.69,11.0,91.46,1651,1386,54.36,558,458,54.92,31,16,65.96,5.56,96.51,11.75,91.85,1.036
5,Los Angeles Kings,40,2448:39,17,14,9,15,43,0.538,2471,2249,52.35,1742,1639,51.52,1128,1076,51.18,105,106,49.76,125.68,117.58,51.67,1138,1061,51.75,575,559,50.71,87,80,52.1,15.13,85.69,490,471,50.99,319,302,51.37,59,55,51.75,18.5,81.79,648,590,52.34,256,257,49.9,28,25,52.83,10.94,90.27,1491,1361,52.28,492,447,52.4,16,23,41.03,3.25,94.85,9.31,90.15,0.995
6,Montreal Canadiens,42,2573:19,23,13,6,21,52,0.619,2326,2470,48.5,1699,1735,49.48,1080,1132,48.82,139,137,50.36,135.34,141.41,48.9,1162,1225,48.68,597,631,48.62,104,113,47.93,17.42,82.09,443,551,44.57,273,329,45.35,50,73,40.65,18.32,77.81,719,674,51.62,324,302,51.76,54,40,57.45,16.67,86.75,1319,1402,48.47,424,448,48.62,31,22,58.49,7.31,95.09,12.87,87.9,1.008
7,Toronto Maple Leafs,41,2493:00,19,15,7,19,45,0.549,2216,2624,45.79,1659,1927,46.26,1112,1286,46.37,137,137,50.0,128.26,134.53,48.81,1124,1261,47.13,635,689,47.96,111,109,50.45,17.48,84.18,494,505,49.45,352,329,51.69,73,62,54.07,20.74,81.16,630,756,45.45,283,360,44.01,38,47,44.71,13.43,86.94,1309,1552,45.75,408,549,42.63,21,23,47.73,5.15,95.81,12.32,89.35,1.017
8,Boston Bruins,42,2553:14,22,18,2,20,46,0.548,2431,2628,48.05,1749,1902,47.9,1129,1262,47.22,131,135,49.25,126.85,151.51,45.57,1123,1279,46.75,570,681,45.56,105,102,50.72,18.42,85.02,450,570,44.12,275,366,42.9,56,65,46.28,20.36,82.24,673,709,48.7,295,315,48.36,49,37,56.98,16.61,88.25,1459,1564,48.26,483,534,47.49,25,31,44.64,5.18,94.19,11.6,89.3,1.009
9,Washington Capitals,42,2555:01,21,15,6,21,48,0.571,2585,2485,50.99,1889,1786,51.4,1233,1170,51.31,135,116,53.78,150.74,138.58,52.1,1286,1212,51.48,666,642,50.92,109,92,54.23,16.37,85.67,575,503,53.34,375,318,54.11,72,59,54.96,19.2,81.45,711,709,50.07,291,324,47.32,37,33,52.86,12.71,89.81,1465,1459,50.1,500,477,51.18,23,19,54.76,4.6,96.02,10.95,90.09,1.01
10,Calgary Flames,41,2486:51,18,19,4,16,40,0.488,2490,2412,50.8,1755,1750,50.07,1197,1174,50.49,109,119,47.81,125.65,128.73,49.4,1132,1201,48.52,590,655,47.39,77,100,43.5,13.05,84.73,484,512,48.59,308,338,47.68,53,66,44.54,17.21,80.47,648,689,48.47,282,317,47.08,24,34,41.38,8.51,89.27,1532,1394,52.36,536,441,54.86,27,15,64.29,5.04,96.6,9.11,89.86,0.99
11,Edmonton Oilers,42,2544:29,20,16,6,20,46,0.548,2426,2456,49.69,1781,1771,50.14,1200,1152,51.02,139,141,49.64,137.93,138.7,49.86,1170,1298,47.41,637,658,49.19,112,118,48.7,17.58,82.07,504,511,49.66,326,313,51.02,63,77,45.0,19.33,75.4,666,787,45.84,311,345,47.41,49,41,54.44,15.76,88.12,1441,1312,52.34,500,441,53.13,24,20,54.55,4.8,95.46,11.58,87.76,0.993
12,Vegas Golden Knights,39,2400:48,17,11,11,16,45,0.577,2367,2242,51.36,1714,1581,52.02,1137,980,53.71,121,118,50.63,127.61,108.52,54.04,1191,1076,52.54,612,520,54.06,96,90,51.61,15.69,82.69,525,406,56.39,348,237,59.49,73,61,54.48,20.98,74.26,666,670,49.85,264,283,48.26,23,29,44.23,8.71,89.75,1373,1294,51.48,439,413,51.53,22,25,46.81,5.01,93.95,10.64,87.96,0.986
13,Buffalo Sabres,40,2424:24,21,15,4,18,46,0.575,2349,2455,48.9,1751,1789,49.46,1147,1172,49.46,122,126,49.19,130.34,131.01,49.87,1113,1124,49.75,599,634,48.58,103,102,50.24,17.2,83.91,490,480,50.52,318,323,49.61,65,65,50.0,20.44,79.88,623,644,49.17,281,311,47.47,38,37,50.67,13.52,88.1,1382,1554,47.07,512,461,52.62,17,19,47.22,3.32,95.88,10.64,89.25,0.999
