teamId,teamFullName,gamesPlayed,wins,losses,otLosses,points,pointPct,goalsFor,goalsAgainst,shotsForPerGame,shotsAgainstPerGame,powerPlayPct,penaltyKillPct,faceoffWinPct,goalsAgainstPerGame,goalsForPerGame,penaltyKillNetPct,powerPlayNetPct,regulationAndOtWins,seasonId,teamShutouts,ties,winsInRegulation,winsInShootout
23,Vancouver Canucks,82,54,19,9,117,0.71341,258,180,32.0,30.12195,0.243243,0.85577,0.548593,2.19512,3.14634,0.875,0.236486,50,20102011,5,,46,4
15,Washington Capitals,82,48,23,11,107,0.65243,219,191,31.29268,28.96341,0.174904,0.856188,0.51651,2.32926,2.67073,0.879598,0.155893,43,20102011,8,,34,5
4,Philadelphia Flyers,82,47,23,12,106,0.64634,256,216,31.76829,30.13414,0.166101,0.827477,0.503037,2.63414,3.12195,0.869009,0.149152,44,20102011,0,,41,3
5,Pittsburgh Penguins,82,49,25,8,106,0.64634,228,196,31.4878,28.68292,0.157556,0.861112,0.49218,2.39024,2.78048,0.901234,0.138263,39,20102011,5,,34,10
28,San Jose Sharks,82,48,25,9,105,0.64024,243,208,34.53658,28.89024,0.235294,0.795621,0.537245,2.53658,2.96341,0.817518,0.211072,43,20102011,6,,38,5
17,Detroit Red Wings,82,47,25,10,104,0.63414,257,237,33.62195,30.65853,0.222591,0.823334,0.519427,2.89024,3.13414,0.84,0.199335,43,20102011,3,,34,4
6,Boston Bruins,82,46,25,11,103,0.62804,244,189,32.87804,32.70731,0.162264,0.826416,0.51868,2.30487,2.9756,0.867924,0.143396,44,20102011,11,,43,2
14,Tampa Bay Lightning,82,46,25,11,103,0.62804,241,234,31.76829,28.70731,0.205357,0.837749,0.50385,2.85365,2.93902,0.841059,0.157738,40,20102011,7,,32,6
18,Nashville Predators,82,44,27,11,99,0.60365,213,190,28.80487,30.60975,0.152416,0.849265,0.502027,2.31707,2.59756,0.867647,0.144981,38,20102011,8,,36,6
27,Phoenix Coyotes,82,43,26,13,99,0.60365,226,220,30.31707,32.59756,0.159169,0.783784,0.514625,2.68292,2.75609,0.800675,0.138408,38,20102011,9,,36,5
24,Anaheim Ducks,82,47,30,5,99,0.60365,235,233,28.46341,32.29268,0.235087,0.813115,0.476766,2.84146,2.86585,0.836065,0.210526,43,20102011,7,,34,4
26,Los Angeles Kings,82,46,30,6,98,0.59756,209,196,28.81707,27.90243,0.160958,0.855073,0.511257,2.39024,2.54878,0.869565,0.14041,36,20102011,9,,35,10
16,Chicago Blackhawks,82,44,29,9,97,0.59146,252,220,32.15853,28.70731,0.231046,0.792157,0.508103,2.68292,3.07317,0.815686,0.216606,38,20102011,5,,34,6
8,Montréal Canadiens,82,44,30,8,96,0.58536,213,206,31.7317,30.95121,0.196551,0.844037,0.490025,2.51219,2.59756,0.859327,0.175862,41,20102011,8,,36,3
7,Buffalo Sabres,82,43,29,10,96,0.58536,240,228,32.80487,30.65853,0.193548,0.83,0.476714,2.78048,2.92682,0.836666,0.146953,38,20102011,6,,28,5
25,Dallas Stars,82,42,29,11,95,0.57926,222,226,27.67073,30.53658,0.179738,0.801445,0.499581,2.75609,2.70731,0.837545,0.130718,37,20102011,5,,32,5
20,Calgary Flames,82,41,29,12,94,0.57317,241,230,30.5,28.51219,0.194968,0.812057,0.481458,2.80487,2.93902,0.836879,0.166666,32,20102011,6,,30,9
3,New York Rangers,82,44,33,5,93,0.56707,224,195,29.91463,29.39024,0.168965,0.836576,0.477277,2.37804,2.7317,0.879377,0.151724,35,20102011,11,,32,9
