teamId,teamFullName,gamesPlayed,wins,losses,otLosses,points,pointPct,goalsFor,goalsAgainst,shotsForPerGame,shotsAgainstPerGame,powerPlayPct,penaltyKillPct,faceoffWinPct,goalsAgainstPerGame,goalsForPerGame,penaltyKillNetPct,powerPlayNetPct,regulationAndOtWins,seasonId,teamShutouts,ties,winsInRegulation,winsInShootout
6,Boston Bruins,70,44,14,12,100,0.71428,227,167,32.1,30.04285,0.252212,0.842593,0.509695,2.38571,3.24285,0.86574,0.221238,44,20192020,8,,38,0
19,St. Louis Blues,71,42,19,10,94,0.66197,223,190,30.69014,29.57746,0.242574,0.793104,0.515671,2.67605,3.14084,0.817733,0.212871,40,20192020,5,,33,2
21,Colorado Avalanche,70,42,20,8,92,0.65714,236,190,32.24285,31.32857,0.190871,0.814286,0.49597,2.71428,3.37142,0.85238,0.165975,41,20192020,4,,37,1
14,Tampa Bay Lightning,70,43,21,6,92,0.65714,243,194,31.08571,30.92857,0.231132,0.813853,0.505208,2.77142,3.47142,0.839826,0.198113,41,20192020,4,,35,2
15,Washington Capitals,69,41,20,8,90,0.65217,236,212,31.97101,30.20289,0.194444,0.825727,0.483135,3.07246,3.42028,0.850622,0.152777,37,20192020,1,,31,4
4,Philadelphia Flyers,69,41,21,7,89,0.64492,227,191,31.3913,28.65217,0.207964,0.818182,0.546029,2.76811,3.28985,0.856459,0.181415,36,20192020,3,,31,5
54,Vegas Golden Knights,71,39,24,8,86,0.60563,224,209,34.50704,29.32394,0.219895,0.766356,0.500118,2.94366,3.15492,0.808411,0.204188,36,20192020,6,,30,3
5,Pittsburgh Penguins,69,40,23,6,86,0.62318,221,196,31.94202,29.72463,0.199052,0.821053,0.488676,2.84057,3.20289,0.852631,0.175355,37,20192020,4,,29,3
22,Edmonton Oilers,71,37,25,9,83,0.5845,223,215,29.57746,32.02816,0.295,0.844222,0.489821,3.02816,3.14084,0.859296,0.245,35,20192020,2,,31,2
25,Dallas Stars,69,37,24,8,82,0.5942,178,174,30.62318,31.55072,0.211055,0.797236,0.518277,2.52173,2.57971,0.820276,0.190954,35,20192020,2,,26,2
10,Toronto Maple Leafs,70,36,25,9,81,0.57857,237,222,32.88571,31.9,0.230769,0.777203,0.524974,3.17142,3.38571,0.803108,0.194871,35,20192020,4,,28,1
12,Carolina Hurricanes,68,38,25,5,81,0.59558,217,193,33.25,29.32352,0.2233,0.839507,0.505402,2.83823,3.19117,0.880658,0.203883,33,20192020,6,,27,5
29,Columbus Blue Jackets,70,33,22,15,81,0.57857,180,183,32.45714,29.88571,0.164021,0.816569,0.484934,2.61428,2.57142,0.834319,0.137566,33,20192020,7,,25,0
52,Winnipeg Jets,71,37,28,6,80,0.56338,213,201,31.29577,32.60563,0.204878,0.775863,0.500881,2.83098,3.0,0.810344,0.190243,34,20192020,6,,30,3
2,New York Islanders,68,35,23,10,80,0.58823,189,190,29.64705,31.22058,0.172619,0.806819,0.498479,2.79411,2.77941,0.840909,0.142857,32,20192020,3,,24,3
3,New York Rangers,70,37,28,5,79,0.56428,233,220,31.07142,34.01428,0.229074,0.773914,0.46582,3.14285,3.32857,0.808695,0.202643,36,20192020,3,,31,1
