teamId,teamFullName,gamesPlayed,wins,losses,otLosses,points,pointPct,goalsFor,goalsAgainst,shotsForPerGame,shotsAgainstPerGame,powerPlayPct,penaltyKillPct,faceoffWinPct,goalsAgainstPerGame,goalsForPerGame,penaltyKillNetPct,powerPlayNetPct,regulationAndOtWins,seasonId,teamShutouts,ties,winsInRegulation,winsInShootout
14,Tampa Bay Lightning,82,62,16,4,128,0.78048,319,221,31.95121,32.10975,0.282442,0.850188,0.512091,2.69512,3.89024,0.895131,0.270992,56,20182019,6,,49,6
20,Calgary Flames,82,50,25,7,107,0.65243,289,223,32.39024,28.07317,0.192727,0.796748,0.523659,2.71951,3.52439,0.869918,0.167272,50,20182019,3,,45,0
6,Boston Bruins,82,49,24,9,107,0.65243,257,212,32.68292,29.46341,0.258964,0.799181,0.507231,2.58536,3.13414,0.827868,0.199203,47,20182019,9,,38,2
15,Washington Capitals,82,48,26,8,104,0.63414,274,248,30.39024,31.51219,0.207627,0.789273,0.457336,3.02439,3.34146,0.808429,0.18644,44,20182019,4,,39,4
2,New York Islanders,82,48,27,7,103,0.62804,223,191,28.78048,30.90243,0.145374,0.799087,0.474424,2.32926,2.71951,0.826484,0.140969,43,20182019,11,,37,5
28,San Jose Sharks,82,46,27,9,101,0.61585,289,258,33.02439,28.32926,0.236514,0.807693,0.503176,3.14634,3.52439,0.846153,0.19917,46,20182019,5,,38,0
10,Toronto Maple Leafs,82,46,28,8,100,0.60975,286,249,33.36585,33.13414,0.218009,0.79902,0.530147,3.03658,3.4878,0.823529,0.175355,46,20182019,3,,40,0
18,Nashville Predators,82,47,29,6,100,0.60975,236,212,32.65853,29.9878,0.129411,0.820718,0.51544,2.58536,2.87804,0.852589,0.098039,43,20182019,7,,38,4
5,Pittsburgh Penguins,82,44,26,12,100,0.60975,271,238,33.30487,33.28048,0.245614,0.797298,0.505704,2.90243,3.30487,0.851351,0.179824,42,20182019,7,,37,2
12,Carolina Hurricanes,82,46,29,7,99,0.60365,243,221,34.41463,28.57317,0.178137,0.8159,0.490338,2.69512,2.96341,0.849372,0.145748,44,20182019,6,,39,2
52,Winnipeg Jets,82,47,30,5,99,0.60365,270,243,31.18292,33.42682,0.248,0.792,0.506995,2.96341,3.29268,0.832,0.22,45,20182019,3,,38,2
19,St. Louis Blues,82,45,28,9,99,0.60365,244,220,31.75609,28.59756,0.21097,0.814656,0.51395,2.68292,2.9756,0.836206,0.181434,42,20182019,9,,36,3
29,Columbus Blue Jackets,82,47,31,4,98,0.59756,256,231,31.60975,29.4878,0.153846,0.85,0.502477,2.81707,3.12195,0.89,0.126696,45,20182019,9,,37,2
8,Montréal Canadiens,82,44,30,8,96,0.58536,246,236,34.09756,31.07317,0.132478,0.809129,0.49412,2.87804,3.0,0.829875,0.115384,41,20182019,4,,37,3
25,Dallas Stars,82,43,32,7,93,0.56707,209,200,30.71951,31.59756,0.21028,0.827732,0.518769,2.43902,2.54878,0.844537,0.200934,42,20182019,10,,36,1
54,Vegas Golden Knights,82,43,32,7,93,0.56707,246,228,34.31707,29.25609,0.168103,0.808696,0.50396,2.78048,3.0,0.856521,0.159482,40,20182019,9,,36,3
21,Colorado Avalanche,82,38,30,14,90,0.54878,258,244,32.63414,31.93902,0.220279,0.786765,0.48123,2.9756,3.14634,0.819852,0.202797,36,20182019,5,,33,2
53,Arizona Coyotes,82,39,35,8,86,0.52439,209,220,30.7439,30.81707,0.16279,0.849558,0.478829,2.68292,2.54878,0.920353,0.127906,35,20182019,6,,30,4
13,Florida Panthers,82,36,32,14,86,0.52439,264,273,32.9878,30.68292,0.267657,0.813044,0.498225,3.32926,3.21951,0.826086,0.21933,33,20182019,1,,26,3
16,Chicago Blackhawks,82,36,34,12,84,0.51219,267,291,32.54878,34.78048,0.20168,0.727273,0.494957,3.54878,3.25609,0.753246,0.172268,33,20182019,2,,24,3
30,Minnesota Wild,82,37,36,9,83,0.50609,210,233,31.30487,29.5,0.203319,0.816667,0.493735,2.84146,2.56097,0.8375,0.186721,36,20182019,2,,33,1
4,Philadelphia Flyers,82,37,37,8,82,0.5,241,280,31.5,32.5,0.17094,0.784811,0.547322,3.41463,2.93902,0.801687,0.123931,34,20182019,3,,28,3
23,Vancouver Canucks,82,35,36,11,81,0.4939,219,248,29.67073,31.67073,0.171314,0.811024,0.494955,3.02439,2.67073,0.838582,0.139442,29,20182019,1,,22,6
24,Anaheim Ducks,82,35,37,10,80,0.4878,196,248,27.69512,33.2317,0.169811,0.797048,0.513403,3.02439,2.39024,0.815498,0.122641,32,20182019,4,,27,3
22,Edmonton Oilers,82,35,38,9,79,0.4817,229,271,29.17073,31.69512,0.211711,0.747968,0.483783,3.30487,2.79268,0.788617,0.18018,32,20182019,5,,24,3
