teamId,teamFullName,gamesPlayed,wins,losses,otLosses,points,pointPct,goalsFor,goalsAgainst,shotsForPerGame,shotsAgainstPerGame,powerPlayPct,penaltyKillPct,faceoffWinPct,goalsAgainstPerGame,goalsForPerGame,penaltyKillNetPct,powerPlayNetPct,regulationAndOtWins,seasonId,teamShutouts,ties,winsInRegulation,winsInShootout
15,Washington Capitals,82,55,19,8,118,0.71951,261,177,30.42682,27.82926,0.230769,0.838236,0.498432,2.15853,3.18292,0.856617,0.218623,53,20162017,12,,45,2
5,Pittsburgh Penguins,82,50,21,11,111,0.67682,278,229,33.4756,32.57317,0.230769,0.797666,0.475746,2.79268,3.39024,0.81712,0.203846,46,20162017,5,,40,4
16,Chicago Blackhawks,82,50,23,9,109,0.66463,240,212,30.58536,31.39024,0.180257,0.777252,0.474734,2.58536,2.92682,0.78199,0.150214,46,20162017,4,,37,4
29,Columbus Blue Jackets,82,50,24,8,108,0.65853,247,193,30.9756,30.35365,0.199052,0.825113,0.486333,2.35365,3.01219,0.869955,0.189573,48,20162017,8,,39,2
30,Minnesota Wild,82,49,25,8,106,0.64634,263,206,30.81707,30.06097,0.209821,0.829494,0.519454,2.51219,3.20731,0.852534,0.196428,46,20162017,5,,42,3
24,Anaheim Ducks,82,46,23,13,105,0.64024,220,197,29.57317,29.62195,0.18725,0.846976,0.546916,2.40243,2.68292,0.879003,0.159362,43,20162017,8,,40,3
22,Edmonton Oilers,82,47,26,9,103,0.62804,243,207,31.06097,29.46341,0.228571,0.807175,0.470371,2.52439,2.96341,0.825112,0.208163,43,20162017,7,,37,4
8,Montréal Canadiens,82,47,26,9,103,0.62804,223,198,29.9878,29.62195,0.196506,0.811245,0.5033,2.41463,2.71951,0.831325,0.170305,44,20162017,5,,33,3
3,New York Rangers,82,48,28,6,102,0.62195,253,216,29.7317,30.06097,0.201716,0.798207,0.483758,2.63414,3.08536,0.838565,0.180257,45,20162017,7,,40,3
19,St. Louis Blues,82,46,29,7,99,0.60365,233,216,28.41463,28.37804,0.212765,0.847909,0.502784,2.63414,2.84146,0.859315,0.191489,44,20162017,8,,38,2
28,San Jose Sharks,82,46,29,7,99,0.60365,219,200,29.91463,27.67073,0.166666,0.806604,0.481365,2.43902,2.67073,0.839622,0.142276,44,20162017,3,,38,2
9,Ottawa Senators,82,44,28,10,98,0.59756,206,210,30.03658,30.08536,0.16996,0.796748,0.509698,2.56097,2.51219,0.825203,0.158102,38,20162017,10,,34,6
6,Boston Bruins,82,44,31,7,95,0.57926,232,209,33.18292,26.75609,0.217213,0.856604,0.532408,2.54878,2.82926,0.894339,0.192622,42,20162017,8,,38,2
10,Toronto Maple Leafs,82,40,27,15,95,0.57926,250,234,31.91463,32.59756,0.237704,0.824702,0.498715,2.85365,3.04878,0.848605,0.209016,39,20162017,5,,33,1
18,Nashville Predators,82,41,29,12,94,0.57317,238,220,31.18292,30.14634,0.189189,0.809129,0.514449,2.68292,2.90243,0.858921,0.166023,39,20162017,4,,35,2
