,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
0,8480800,Quinn Hughes,MIN,D,https://assets.nhle.com/mugs/nhl/20252026/MIN/8480800.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,43,quinnhughes,69.0,1914:21,27:44,75.16,49.65,60.22,55.73,36.86,60.19,35.13,24.51,58.91,4.17,2.95,58.59,4.6,2.76,62.54,40.68,24.2,62.71,17.65,11.13,61.33,2.35,1.66,58.59,11.86,87.98,0.998,8.53,9.81,6.08,27.52,58.37,27.74,16.36,15.14,64.69
1,8478460,Zach Werenski,CBJ,D,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,8,zachwerenski,69.0,1824:16,26:26,68.67,56.08,55.05,49.99,41.97,54.36,33.84,27.43,55.23,3.98,3.16,55.76,3.79,2.94,56.36,34.37,25.65,57.26,13.58,10.95,55.36,1.78,1.22,59.34,11.76,88.49,1.002,9.97,11.15,7.96,29.96,55.60,26.51,16.97,17.86,59.75
2,8480036,Miro Heiskanen,DAL,D,https://assets.nhle.com/mugs/nhl/20252026/DAL/8480036.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,4,miroheiskanen,74.0,1904:40,25:44,54.5,52.29,51.03,40.51,37.71,51.79,27.28,24.98,52.2,4.13,2.96,58.22,3.92,3.26,54.63,31.94,26.05,55.08,14.05,11.09,55.89,2.14,1.26,62.96,15.13,88.15,1.033,10.21,9.64,9.7,29.74,51.27,24.26,14.99,20.63,54.04
3,8481542,Moritz Seider,DET,D,https://assets.nhle.com/mugs/nhl/20252026/DET/8481542.png,https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026,53,moritzseider,75.0,1927:34,25:42,65.27,52.67,55.34,49.34,36.14,57.72,32.56,23.63,57.95,4.08,2.68,60.37,4.11,2.78,59.63,32.59,24.87,56.72,14.19,9.65,59.53,1.9,1.25,60.40,12.52,88.67,1.012,7.78,10.86,10.61,37.88,42.30,20.3,17.8,21.14,48.99
4,8474600,Roman Josi,NSH,D,https://assets.nhle.com/mugs/nhl/20252026/NSH/8474600.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,59,romanjosi,63.0,1567:55,24:53,64.71,54.72,54.18,47.76,41.9,53.27,31.49,27.82,53.1,3.71,3.33,52.72,3.83,3.15,54.87,32.83,27.02,54.86,13.78,10.79,56.07,1.76,1.65,51.69,11.79,88.03,0.998,9.8,10.71,5.97,37.77,62.14,26.06,17.87,16.53,61.19
5,8480069,Cale Makar,COL,D,https://assets.nhle.com/mugs/nhl/20252026/COL/8480069.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,8,calemakar,73.0,1816:37,24:53,73.06,53.31,57.81,53.64,40.0,57.28,35.64,25.89,57.92,4.43,2.54,63.51,4.39,3.1,58.61,37.55,25.46,59.59,14.5,11.43,55.92,1.75,1.12,60.92,12.42,90.18,1.026,12.98,9.78,7.63,32.07,62.98,30.32,16.15,16.91,64.2
6,8478500,Ivan Provorov,CBJ,D,https://assets.nhle.com/mugs/nhl/20252026/CBJ/8478500.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,9,ivanprovorov,76.0,1887:15,24:49,54.05,65.75,45.12,38.66,48.52,44.35,26.39,31.0,45.98,2.96,3.18,48.19,2.89,3.69,43.91,25.75,31.63,44.88,10.33,13.96,42.54,1.27,1.3,49.38,11.20,89.74,1.009,6.39,10.71,11.13,34.34,36.48,16.56,17.52,25.02,39.83
7,8482105,Jake Sanderson,OTT,D,https://assets.nhle.com/mugs/nhl/20252026/OTT/8482105.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,85,jakesanderson,62.0,1538:24,24:48,60.84,48.87,55.46,45.28,34.13,57.02,29.64,22.85,56.46,3.86,3.2,54.70,3.63,3.0,54.72,31.36,23.52,57.14,13.22,9.63,57.85,1.99,1.44,57.95,13.03,86.01,0.99,11.23,11.23,12.4,38.26,47.52,24.49,17.47,25.08,49.41
8,8479425,Filip Hronek,VAN,D,https://assets.nhle.com/mugs/nhl/20252026/VAN/8479425.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,17,filiphronek,75.0,1860:10,24:48,57.93,58.74,49.65,42.8,45.03,48.73,27.16,29.0,48.36,2.87,3.71,43.63,3.16,3.77,45.59,28.38,30.64,48.09,12.71,13.19,49.07,1.39,1.61,46.24,10.57,87.21,0.978,8.26,11.26,10.03,36.9,45.15,22.38,16.45,20.48,52.22
9,8477504,Josh Morrissey,WPG,D,https://assets.nhle.com/mugs/nhl/20252026/WPG/8477504.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,44,joshmorrissey,70.0,1735:04,24:47,57.89,51.35,52.99,43.88,38.0,53.59,28.49,24.97,53.3,3.8,2.7,58.51,3.6,2.93,55.12,31.23,23.86,56.69,14.28,11.2,56.04,1.83,1.73,51.46,13.35,89.2,1.025,12.03,10.06,6.19,38.18,66.03,26.94,16.08,13.52,66.58
