,PlayerID,Player,Team,Position,Headshot,Team Logo,Jersey Number,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
10,8480839,Rasmus Dahlin,BUF,D,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480839.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,26,rasmusdahlin,33.0,814.48333333333,24.681313131313,72.78,49.87,59.34,51.42,36.54,58.46,34.48,25.19,57.78,3.98,2.87,58.06,3.6,2.86,55.79,32.27,23.57,57.78,12.38,8.55,59.15,1.92,1.47,56.52,26.52,20.04,56.96,1.67,1.38,54.84,69.8,44.9,60.85,0.85,0.43,66.67,11.54,88.6,1.001,12.52,13.48,10.61,37.57,54.14,28.8,18.42,20.33,58.62
11,8476892,Colton Parayko,STL,D,https://assets.nhle.com/mugs/nhl/20242025/STL/8476892.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,55,coltonparayko,41.0,1006.1166666667,24.539430894309,48.13,64.47,42.74,34.47,44.37,43.72,23.85,30.0,44.3,2.56,3.52,42.16,2.27,3.27,41.03,21.41,32.2,39.93,8.29,12.05,40.76,1.31,1.85,41.51,17.49,26.88,39.43,0.87,1.51,36.67,41.61,59.01,41.35,0.69,0.69,50.00,10.75,88.27,0.99,6.14,12.34,14.55,36.91,29.68,15.15,18.19,27.61,35.43
12,8477504,Josh Morrissey,WPG,D,https://assets.nhle.com/mugs/nhl/20242025/WPG/8477504.png,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,44,joshmorrissey,41.0,1005.7833333333,24.531300813008,63.06,56.49,52.74,47.01,41.4,53.17,33.11,27.26,54.84,4.24,2.27,65.14,3.61,2.8,56.32,28.99,24.16,54.55,13.36,9.19,59.26,2.27,1.19,65.52,20.84,19.96,51.07,1.43,0.64,69.23,64.63,47.48,57.65,1.12,0.34,76.47,12.79,91.68,1.045,12.41,11.27,6.86,35.85,64.40,29.05,17.24,15.51,65.19
13,8478397,Rasmus Andersson,CGY,D,https://assets.nhle.com/mugs/nhl/20242025/CGY/8478397.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,4,rasmusandersson,39.0,956.63333333333,24.52905982906,62.03,67.3,47.96,44.47,47.98,48.1,29.85,32.68,47.74,2.7,4.2,39.09,3.05,3.56,46.15,28.98,33.24,46.57,10.85,12.23,47.01,1.19,2.07,36.54,24.17,28.01,46.31,1.09,2.01,35.14,54.63,62.96,46.46,0.82,0.72,52.94,9.03,87.14,0.962,7.97,11.67,13.11,45.47,37.80,22.64,18.19,27.72,44.96
14,8476875,Mike Matheson,MTL,D,https://assets.nhle.com/mugs/nhl/20242025/MTL/8476875.png,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,8,michaelmatheson,38.0,929.96666666667,24.472807017544,55.23,64.32,46.2,40.07,45.49,46.83,26.9,30.65,46.75,3.23,4.13,43.86,3.07,3.83,44.49,26.84,32.0,45.61,10.0,13.68,42.23,1.35,1.55,46.67,22.45,24.43,47.89,1.29,1.98,39.47,48.27,57.59,45.6,1.12,1.3,46.15,11.99,86.53,0.985,8.45,9.48,12.32,30.32,40.68,20.26,16.19,24.84,44.92
15,8482105,Jake Sanderson,OTT,D,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482105.png,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,85,jakesanderson,38.0,923.33333333333,24.298245614035,62.97,59.2,51.54,45.94,41.85,52.33,31.19,27.81,52.86,2.86,3.25,46.81,3.29,3.15,51.09,30.35,27.75,52.24,11.44,10.66,51.76,1.04,1.43,42.11,25.21,22.79,52.53,1.56,1.47,51.43,57.16,52.19,52.27,0.84,0.84,50.00,9.17,88.32,0.975,9.75,10.46,12.41,38.34,43.99,24.82,17.16,24.95,49.87
16,8478038,Devon Toews,COL,D,https://assets.nhle.com/mugs/nhl/20242025/COL/8478038.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,7,devontoews,37.0,897.93333333333,24.268468468468,60.27,55.86,51.9,40.96,40.16,50.49,28.13,26.93,51.09,3.27,3.14,51.04,2.99,3.33,47.3,29.94,25.99,53.52,9.69,12.09,44.48,1.07,1.54,41.03,27.0,18.53,59.3,1.51,1.25,54.84,50.48,52.02,49.25,1.06,0.58,64.71,11.64,88.34,1.0,10.09,10.02,11.69,36.88,46.32,24.12,17.51,23.25,50.92
17,8474590,John Carlson,WSH,D,https://assets.nhle.com/mugs/nhl/20242025/WSH/8474590.png,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,74,johncarlson,40.0,961.45,24.03625,67.27,59.1,53.23,48.86,42.25,53.63,32.83,27.71,54.23,4.43,2.87,60.68,4.45,3.53,55.74,33.2,27.58,54.62,14.04,10.92,56.25,1.87,1.25,60.00,25.54,22.22,53.48,1.83,1.25,59.46,58.41,53.54,52.17,1.53,0.99,60.71,13.5,89.64,1.031,8.74,9.49,10.3,34.76,45.90,24.03,17.41,24.21,49.81
18,8480865,Noah Dobson,NYI,D,https://assets.nhle.com/mugs/nhl/20242025/NYI/8480865.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,8,noahdobson,40.0,960.46666666667,24.011666666667,67.72,54.97,55.19,50.16,39.29,56.08,32.86,27.17,54.73,2.87,3.31,46.46,3.7,2.71,57.78,32.23,25.24,56.09,13.12,9.68,57.53,1.75,1.25,58.33,25.49,20.74,55.14,0.83,1.08,43.48,61.81,44.21,58.3,0.36,1.26,22.22,8.75,87.82,0.966,9.06,8.43,6.93,49.41,56.64,23.86,14.43,15.24,61.02
19,8477986,Brandon Montour,SEA,D,https://assets.nhle.com/mugs/nhl/20242025/SEA/8477986.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,62,brandonmontour,40.0,957.36666666667,23.934166666667,66.18,56.84,53.8,46.75,41.49,52.98,28.95,25.88,52.8,3.01,2.26,57.14,2.89,3.04,48.71,27.45,24.76,52.58,11.53,9.53,54.76,1.38,0.94,59.46,21.22,20.31,51.11,0.92,0.67,57.89,60.29,48.88,55.22,1.36,0.81,62.50,10.39,91.28,1.017,6.89,10.15,6.52,33.84,51.40,20.93,17.49,16.55,55.85
20,8478882,Vladislav Gavrikov,LAK,D,https://assets.nhle.com/mugs/nhl/20242025/LAK/8478882.png,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,84,vladislavgavrikov,38.0,904.63333333333,23.806140350877,52.46,56.84,48.0,37.41,39.86,48.41,24.61,25.87,48.75,2.79,2.92,48.84,2.74,2.62,51.05,24.08,27.26,46.9,10.41,10.41,50.00,1.13,1.26,47.22,18.22,22.46,44.78,0.88,1.24,41.67,38.32,54.7,41.19,0.77,1.05,42.11,11.32,88.72,1.0,3.85,10.41,11.54,38.47,25.00,11.21,17.18,28.39,28.31
