,Abbreviation,Team,Wins,Losses,OTL,Points,Goals For,Goals Against
1,TOR,Toronto Maple Leafs,59.0,38.0,3.0,121.0,395.0,342.0
2,EDM,Edmonton Oilers,41.0,52.0,7.0,89.0,342.0,395.0
3,ANA,Anaheim Ducks,0.0,0.0,0.0,0.0,0.0,0.0
4,BOS,Boston Bruins,0.0,0.0,0.0,0.0,0.0,0.0
5,BUF,Buffalo Sabres,0.0,0.0,0.0,0.0,0.0,0.0
6,CAR,Carolina Hurricanes,0.0,0.0,0.0,0.0,0.0,0.0
7,CBJ,Columbus Blue Jackets,0.0,0.0,0.0,0.0,0.0,0.0
8,CGY,Calgary Flames,0.0,0.0,0.0,0.0,0.0,0.0
9,CHI,Chicago Blackhawks,0.0,0.0,0.0,0.0,0.0,0.0
10,COL,Colorado Avalanche,0.0,0.0,0.0,0.0,0.0,0.0
11,DAL,Dallas Stars,0.0,0.0,0.0,0.0,0.0,0.0
12,DET,Detroit Red Wings,0.0,0.0,0.0,0.0,0.0,0.0
13,FLA,Florida Panthers,0.0,0.0,0.0,0.0,0.0,0.0
14,LAK,Los Angeles Kings,0.0,0.0,0.0,0.0,0.0,0.0
15,MIN,Minnesota Wild,0.0,0.0,0.0,0.0,0.0,0.0
16,MTL,Montréal Canadiens,0.0,0.0,0.0,0.0,0.0,0.0
17,NJD,New Jersey Devils,0.0,0.0,0.0,0.0,0.0,0.0
18,NSH,Nashville Predators,0.0,0.0,0.0,0.0,0.0,0.0
19,NYI,New York Islanders,0.0,0.0,0.0,0.0,0.0,0.0
20,NYR,New York Rangers,0.0,0.0,0.0,0.0,0.0,0.0
21,OTT,Ottawa Senators,0.0,0.0,0.0,0.0,0.0,0.0
22,PHI,Philadelphia Flyers,0.0,0.0,0.0,0.0,0.0,0.0
23,PIT,Pittsburgh Penguins,0.0,0.0,0.0,0.0,0.0,0.0
24,SEA,Seattle Kraken,0.0,0.0,0.0,0.0,0.0,0.0
25,SJS,San Jose Sharks,0.0,0.0,0.0,0.0,0.0,0.0
26,STL,St. Louis Blues,0.0,0.0,0.0,0.0,0.0,0.0
27,TBL,Tampa Bay Lightning,0.0,0.0,0.0,0.0,0.0,0.0
28,UTA,Utah Hockey Club,0.0,0.0,0.0,0.0,0.0,0.0
29,VAN,Vancouver Canucks,0.0,0.0,0.0,0.0,0.0,0.0
30,VGK,Vegas Golden Knights,0.0,0.0,0.0,0.0,0.0,0.0
31,WPG,Winnipeg Jets,0.0,0.0,0.0,0.0,0.0,0.0
32,WSH,Washington Capitals,0.0,0.0,0.0,0.0,0.0,0.0
