,Team,GP,TOI,W,L,OTL,ROW,Points,Point %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO
0,Anaheim Ducks,54,3260:40,19,33,2,18,40,0.37,2931,3512,45.49,2151,2548,45.78,1512,1768,46.1,138,189,42.2,147.51,188.73,43.87,1335,1694,44.07,751,946,44.25,111,152,42.21,14.78,83.93,570,757,42.95,389,516,42.98,70,88,44.3,17.99,82.95,765,937,44.95,362,430,45.71,41,64,39.05,11.33,85.12,1778,2124,45.57,655,755,46.45,25,33,43.1,3.82,95.63,9.13,89.31,0.984
1,Arizona Coyotes,53,3213:51,23,26,4,21,50,0.472,2924,3320,46.83,2119,2442,46.46,1418,1702,45.45,152,168,47.5,151.44,171.66,46.87,1465,1656,46.94,768,898,46.1,123,137,47.31,16.02,84.74,602,675,47.14,403,441,47.75,79,79,50.0,19.6,82.09,863,981,46.8,365,457,44.4,44,58,43.14,12.05,87.31,1643,1990,45.22,588,713,45.2,28,29,49.12,4.76,95.93,10.72,90.13,1.008
2,Boston Bruins,55,3354:13,32,12,11,30,75,0.682,3182,3379,48.5,2328,2454,48.68,1658,1707,49.27,183,145,55.79,171.16,166.41,50.7,1621,1587,50.53,934,875,51.63,151,121,55.51,16.17,86.17,696,671,50.91,505,453,52.71,101,72,58.38,20.0,84.11,925,916,50.24,429,422,50.41,50,49,50.51,11.66,88.39,1781,2037,46.65,645,753,46.14,29,22,56.86,4.5,97.08,11.04,91.51,1.025
3,Buffalo Sabres,54,3258:25,24,26,4,24,52,0.481,3254,3206,50.37,2411,2331,50.84,1713,1584,51.96,158,165,48.92,160.9,174.16,48.02,1504,1586,48.67,862,864,49.94,123,132,48.24,14.27,84.72,599,675,47.02,392,452,46.45,56,82,40.58,14.29,81.86,905,911,49.83,470,412,53.29,67,50,57.26,14.26,87.86,2018,1877,51.81,773,658,54.02,31,29,51.67,4.01,95.59,9.22,89.58,0.988
4,Carolina Hurricanes,54,3276:14,32,17,5,31,69,0.639,3809,2567,59.74,2686,1914,58.39,1772,1365,56.49,180,152,54.22,179.04,140.34,56.06,1671,1237,57.46,864,739,53.9,147,131,52.88,17.01,82.27,682,546,55.54,433,393,52.42,96,78,55.17,22.17,80.15,989,691,58.87,431,346,55.47,51,53,49.04,11.83,84.68,2410,1523,61.28,833,537,60.8,30,15,66.67,3.6,97.21,10.16,88.86,0.99
5,Columbus Blue Jackets,53,3227:50,17,26,10,15,44,0.415,3294,3535,48.24,2341,2510,48.26,1591,1764,47.42,155,196,44.16,153.54,182.92,45.63,1519,1673,47.59,793,896,46.95,132,156,45.83,16.65,82.59,584,670,46.57,379,453,45.55,79,90,46.75,20.84,80.13,935,1003,48.25,414,443,48.31,53,66,44.54,12.8,85.1,1960,2072,48.61,715,783,47.73,21,34,38.18,2.94,95.66,9.74,88.89,0.986
6,Calgary Flames,55,3335:18,25,25,5,25,55,0.5,3491,3383,50.79,2523,2381,51.45,1726,1648,51.16,166,170,49.4,178.41,171.82,50.94,1590,1669,48.79,841,913,47.95,128,137,48.3,15.22,84.99,662,662,50.0,434,457,48.71,84,78,51.85,19.35,82.93,928,1007,47.96,407,456,47.16,44,59,42.72,10.81,87.06,2177,1953,52.71,788,646,54.95,35,25,58.33,4.44,96.13,9.62,89.68,0.993
7,Chicago Blackhawks,55,3327:26,15,37,3,14,33,0.3,2856,3536,44.68,2039,2543,44.5,1446,1785,44.75,114,192,37.25,136.6,184.03,42.6,1350,1781,43.12,762,983,43.67,99,156,38.82,12.99,84.13,526,793,39.88,358,523,40.64,66,111,37.29,18.44,78.78,824,988,45.47,404,460,46.76,33,45,42.31,8.17,90.22,1709,2074,45.18,613,723,45.88,14,31,31.11,2.28,95.71,7.88,89.24,0.971
8,Colorado Avalanche,55,3330:24,33,18,4,31,70,0.636,3497,3240,51.91,2514,2330,51.9,1769,1625,52.12,203,177,53.42,178.12,171.57,50.94,1679,1497,52.87,926,833,52.64,160,140,53.33,17.28,83.19,698,671,50.99,455,468,49.3,101,93,52.06,22.2,80.13,981,826,54.29,471,365,56.34,59,47,55.66,12.53,87.12,2079,1987,51.13,754,698,51.93,33,32,50.77,4.38,95.42,11.48,89.11,1.006
9,Dallas Stars,55,3342:24,34,14,7,32,75,0.682,3479,3282,51.46,2475,2378,51.0,1698,1661,50.55,206,166,55.38,173.3,154.53,52.86,1705,1476,53.6,928,815,53.24,179,137,56.65,19.29,83.19,725,581,55.51,481,397,54.78,110,86,56.12,22.87,78.34,980,895,52.27,447,418,51.68,69,51,57.5,15.44,87.8,2038,2032,50.07,688,759,47.55,23,25,47.92,3.34,96.71,12.13,90.01,1.021
10,Detroit Red Wings,54,3274:15,28,20,6,26,62,0.574,3054,3480,46.74,2213,2531,46.65,1561,1740,47.29,188,176,51.65,155.95,176.49,46.91,1440,1675,46.23,795,901,46.88,145,145,50.0,18.24,83.91,536,663,44.7,383,441,46.48,87,88,49.71,22.72,80.05,904,1012,47.18,412,460,47.25,58,57,50.43,14.08,87.61,1844,2123,46.48,671,759,46.92,37,27,57.81,5.51,96.44,12.04,89.89,1.019
11,Edmonton Oilers,51,3080:41,32,18,1,30,65,0.637,3321,2754,54.67,2426,1999,54.82,1707,1434,54.35,179,147,54.91,194.72,144.02,57.48,1712,1387,55.24,933,780,54.47,145,123,54.1,15.54,84.23,776,544,58.79,522,379,57.94,99,83,54.4,18.97,78.1,936,843,52.61,411,401,50.62,46,40,53.49,11.19,90.02,1928,1626,54.25,691,589,53.98,31,21,59.62,4.49,96.43,10.49,89.75,1.002
12,Florida Panthers,55,3324:10,36,15,4,35,76,0.691,3842,2947,56.59,2698,2178,55.33,1872,1522,55.16,184,134,57.86,196.64,147.3,57.17,1778,1326,57.28,931,746,55.52,141,108,56.63,15.15,85.52,764,581,56.8,499,409,54.96,93,75,55.36,18.64,81.66,1014,745,57.65,432,337,56.18,48,33,59.26,11.11,90.21,2320,1782,56.56,847,673,55.72,33,23,58.93,3.9,96.58,9.83,91.2,1.01
13,Los Angeles Kings,52,3167:10,26,16,10,25,62,0.596,3494,2969,54.06,2534,2124,54.4,1741,1465,54.3,162,139,53.82,178.96,152.72,53.96,1610,1422,53.1,846,749,53.04,128,119,51.82,15.13,84.11,654,570,53.43,423,374,53.07,83,71,53.9,19.62,81.02,956,852,52.88,423,375,53.01,45,48,48.39,10.64,87.2,2082,1802,53.6,790,643,55.13,28,20,58.33,3.54,96.89,9.3,90.51,0.998
14,Minnesota Wild,54,3287:15,25,23,6,22,56,0.519,3294,3276,50.14,2350,2353,49.97,1628,1635,49.89,160,174,47.9,160.68,156.52,50.66,1573,1538,50.56,826,824,50.06,128,134,48.85,15.5,83.74,644,606,51.52,435,400,52.1,84,83,50.3,19.31,79.25,929,932,49.92,391,424,47.98,44,51,46.32,11.25,87.97,1946,2064,48.53,718,741,49.21,28,36,43.75,3.9,95.14,9.83,89.36,0.992
15,Montreal Canadiens,55,3363:15,22,25,8,18,52,0.473,3082,3679,45.58,2236,2635,45.9,1559,1856,45.65,153,194,44.09,161.13,194.85,45.26,1500,1835,44.98,819,980,45.53,129,153,45.74,15.75,84.39,628,775,44.76,420,481,46.61,81,94,46.29,19.29,80.46,872,1060,45.13,399,499,44.43,48,59,44.86,12.03,88.18,1788,2028,46.86,669,788,45.92,20,36,35.71,2.99,95.43,9.81,89.55,0.994
16,New Jersey Devils,54,3264:18,28,22,4,28,60,0.556,3453,3094,52.74,2424,2298,51.33,1716,1630,51.29,183,183,50.0,181.22,170.56,51.52,1657,1471,52.97,884,837,51.37,153,149,50.66,17.31,82.2,677,633,51.68,462,452,50.55,90,103,46.63,19.48,77.21,980,838,53.91,422,385,52.29,63,46,57.8,14.93,88.05,2048,1738,54.09,759,690,52.38,25,30,45.45,3.29,95.65,10.66,88.77,0.994
17,Nashville Predators,55,3320:43,28,25,2,26,58,0.527,3405,3279,50.94,2454,2361,50.97,1707,1687,50.29,165,179,47.97,180.33,171.95,51.19,1710,1570,52.13,938,860,52.17,138,138,50.0,14.71,83.95,714,652,52.27,489,446,52.3,98,90,52.13,20.04,79.82,996,918,52.04,449,414,52.03,40,48,45.45,8.91,88.41,1973,1966,50.09,693,740,48.36,21,38,35.59,3.03,94.86,9.67,89.39,0.991
18,New York Islanders,53,3226:48,22,18,13,21,57,0.538,3114,3695,45.73,2269,2596,46.64,1585,1820,46.55,154,173,47.09,156.47,180.42,46.44,1523,1776,46.17,845,938,47.39,129,132,49.43,15.27,85.93,644,710,47.56,454,474,48.92,74,80,48.05,16.3,83.12,879,1066,45.19,391,464,45.73,55,52,51.4,14.07,88.79,1820,2153,45.81,676,797,45.89,25,38,39.68,3.7,95.23,9.72,90.49,1.002
