playerId,positionCode,age,season,ev_atoi,pp_atoi,pk_atoi,gp_rate,evg60,eva60,ppg60,ppa60,pkg60,pka60,gp,ev_g_per_game,ev_a_per_game,pp_g_per_game,pp_a_per_game,pk_g_per_game,pk_a_per_game,proj_goals,proj_assists,proj_points,skaterFullName
8477492,C,31.082819986310746,2027,17.03794129911278,3.994603817204361,0.14778379790185292,0.9960971602902691,1.1523355352635674,1.7708767214239267,2.105834830976239,4.314825780534239,0.5090633957752868,0.4585243354882565,81.68,0.32722375344503946,0.502868227126436,0.14019959757032643,0.28726699222489765,0.0012538553666747658,0.0011293744621479651,38.281554217285084,64.63049202268517,102.91204623997027,Nathan MacKinnon
8478402,C,29.713894592744694,2027,17.092095980658392,3.4743243413075504,0.8300434096844611,1.0,1.048241058795273,1.8056503491095197,1.9371609750858618,5.414490924903206,0.46307792882508964,0.4675280986153882,82.0,0.29861061312992976,0.5143724845748208,0.11217209214619799,0.31352829360300066,0.00640624638319326,0.00646781028496683,34.20949403606432,68.41822425394862,102.62771829001295,Connor McDavid
8484801,C,20.301163586584533,2027,17.068054893198056,3.6688100766377025,0.3406546433743024,1.0,1.0949288231037468,1.5039868879245113,1.9321608762914781,3.8600062792062007,0.4837030255202044,0.38941987323326044,82.0,0.3114717542813249,0.4278355126957612,0.11814552154372181,0.23602716555060857,0.002746261360960939,0.00221096146731904,35.45381004925263,54.618038456522484,90.07184850577511,Macklin Celebrini
8476453,R,33.28952772073922,2027,15.629401488827241,3.765751829347423,0.10896414590337289,0.9368481494693255,1.1026440333740415,1.7685098226788147,1.893499438149795,4.835921907709595,0.4871113480262167,0.45791148612322685,76.82,0.2872277716143786,0.4606791675930311,0.11884081621801514,0.3035146961756448,0.0008846278666252888,0.0008315988997460267,31.26214602999864,58.76925604218817,90.03140207218681,Nikita Kucherov
8480800,D,26.965092402464066,2027,22.156904541106655,3.896380775495053,0.4583236431881629,0.9856684706771641,0.44999510836765966,1.2528559032202913,1.0593156059947144,5.336036883375269,0.19879282634073567,0.32439577161797445,80.82,0.16617497766778636,0.4626568108568992,0.06879161603966162,0.34652052549526563,0.0015185242068026295,0.0024779708647130884,19.112727229829733,65.59798192926807,84.7107091590978,Quinn Hughes
8484144,C,21.207392197125255,2027,16.991814148952724,3.554045414541678,0.12676853614738215,0.9940253751725137,1.00274854212969,1.411687194915636,1.9794326986261195,3.9370142354676245,0.44298085266328524,0.3655211710307522,81.51,0.28397528110001635,0.3997854408743814,0.11724989509910033,0.23320545650915037,0.0009359339038907307,0.0007722763963740894,32.78015208449614,51.658036294800134,84.43818837929626,Connor Bedard
8480039,C,27.709787816564,2027,16.37298771240668,3.6640174503583554,0.17576454939279018,0.9812447805908404,1.0068182464295647,1.523829813715917,2.1674738916347023,3.5660980726959526,0.44477871225131027,0.3945577036946215,80.46,0.27474371295696837,0.41582744692949447,0.1323610360357614,0.2177707594674545,0.0013029388323059505,0.0011558209499889862,32.860482562402375,51.07230904033462,83.932791602737,Martin Necas
8477934,C,30.92950034223135,2027,16.292818988881788,3.395099987059266,0.43269644995579537,0.9263922201693148,1.0352968426919134,1.5507266986844768,2.239484760511606,4.184556109308364,0.45735960598978953,0.4015219808561601,75.96,0.28113173429566946,0.42109515671487346,0.1267212446905396,0.2367831065426933,0.0032982979644160543,0.002895618928261322,31.231050997169483,50.192384090835496,81.42343508800498,Leon Draisaitl
8480018,C,27.143052703627653,2027,16.08576800407634,3.441837790264925,0.7626382609605435,0.9911749341057915,0.9471785064797219,1.3983466192004825,1.886412861732751,4.308280629064002,0.4184318648158731,0.36206696185807585,81.28,0.2539348952280054,0.3748913217623907,0.10821211792589308,0.24714005133631375,0.005318535828560912,0.004602101969045174,29.8675998212943,50.932768853506694,80.80036867480099,Nick Suzuki
8477956,R,30.351813826146476,2027,15.922484885559744,3.4117052774639736,0.16212443707535007,0.9578623001485301,1.0482585855210216,1.5990049135140434,1.9243680871920885,3.674718405859384,0.4630856715478065,0.4140224198226211,78.54,0.2781813580686117,0.4243355261227187,0.10942294598094168,0.20895093630774098,0.001251291730289143,0.0011187191958386118,30.540718492548834,49.82618296492947,80.3669014574783,David Pastrnak
