Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points,TOI
1,8478483,Mitch Marner,R,TOR,27,98,101,0,101,31.0
1,8478402,Connor McDavid,C,EDM,27,97,85,0,85,41.0
1,8477934,Leon Draisaitl,C,EDM,29,95,77,0,77,45.0
1,8476853,Morgan Rielly,D,TOR,30,88,67,0,67,15.0
1,8477939,William Nylander,R,TOR,28,96,64,0,64,54.0
1,8479318,Auston Matthews,C,TOR,27,97,64,0,64,86.0
1,8477503,Max Domi,C,TOR,29,97,61,0,61,19.0
1,8480803,Evan Bouchard,D,EDM,25,98,51,0,51,13.0
1,8476454,Ryan Nugent-Hopkins,C,EDM,31,95,49,0,49,26.0
1,8475166,John Tavares,C,TOR,34,96,37,0,37,37.0
1,8475218,Mattias Ekholm,D,EDM,34,95,33,0,33,12.0
1,8475784,Jeff Skinner,C,EDM,32,92,32,0,32,24.0
1,8475786,Zach Hyman,L,EDM,32,93,32,0,32,42.0
1,8478042,Viktor Arvidsson,L,EDM,31,94,32,0,32,22.0
1,8475171,Oliver Ekman-Larsson,D,TOR,33,81,31,0,31,9.0
1,8482720,Matthew Knies,L,TOR,22,93,30,0,30,19.0
1,8480043,Timothy Liljegren,D,TOR,25,83,27,0,27,5.0
1,8474641,Adam Henrique,C,EDM,34,86,26,0,26,19.0
1,8475714,Calle Jarnkrok,C,TOR,33,95,25,0,25,14.0
1,8475169,Evander Kane,L,EDM,33,88,24,0,24,29.0
1,8481582,Nicholas Robertson,L,TOR,23,85,24,0,24,17.0
1,8477498,Darnell Nurse,D,EDM,29,97,23,0,23,13.0
1,8480144,David Kampf,C,TOR,29,89,21,0,21,13.0
1,8476967,Brett Kulak,D,EDM,30,90,19,0,19,1.0
1,8470621,Corey Perry,R,EDM,39,87,17,0,17,15.0
1,8480980,Connor Dewar,C,TOR,25,86,17,0,17,27.0
1,8476931,Jake McCabe,D,TOR,31,77,14,0,14,5.0
1,8479442,Troy Stecher,D,EDM,30,79,14,0,14,2.0
1,8479026,Philippe Myers,D,TOR,27,61,13,0,13,5.0
1,8477015,Connor Brown,R,EDM,30,77,13,0,13,6.0
1,8482634,Alex Steeves,C,TOR,25,49,11,0,11,5.0
1,8479982,Conor Timmins,D,TOR,26,69,11,0,11,2.0
1,8475690,Chris Tanev,D,TOR,35,69,11,0,11,2.0
1,8480995,Pontus Holmberg,R,TOR,25,70,11,0,11,10.0
1,8482259,Bobby McMann,C,TOR,28,75,11,0,11,14.0
1,8477384,Joshua Brown,D,EDM,30,79,11,0,11,1.0
1,8477406,Mattias Janmark,C,EDM,32,78,10,0,10,7.0
1,8478585,Derek Ryan,C,EDM,38,73,6,0,6,6.0
1,8481617,Vasily Podkolzin,R,EDM,23,67,5,0,5,7.0
1,8481122,Simon Benoit,D,TOR,26,54,5,0,5,1.0
1,8483512,Matthew Savoie,C,EDM,20,31,4,0,4,2.0
1,8477541,Dakota Mermis,D,TOR,30,13,3,0,3,0.0
1,8480834,Ty Emberson,D,EDM,24,59,2,0,2,3.0
1,8480468,James Hamblin,L,EDM,25,28,1,0,1,4.0
