,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points,TOI
75,8474150,Mikael Backlund,C,CGY,35,0.0,0.0,0.0,0.0,0.0
76,8474151,Ryan McDonagh,D,TBL,35,0.0,0.0,0.0,0.0,0.0
77,8474166,Alec Martinez,D,CHI,37,0.0,0.0,0.0,0.0,0.0
78,8474189,Lars Eller,C,PIT,35,0.0,0.0,0.0,0.0,0.0
79,8474563,Drew Doughty,D,LAK,35,0.0,0.0,0.0,0.0,0.0
80,8474564,Steven Stamkos,C,NSH,34,0.0,0.0,0.0,0.0,0.0
81,8474565,Alex Pietrangelo,D,VGK,34,0.0,0.0,0.0,0.0,0.0
82,8474567,Zach Bogosian,D,MIN,34,0.0,0.0,0.0,0.0,0.0
83,8474568,Luke Schenn,D,NSH,35,0.0,0.0,0.0,0.0,0.0
84,8474574,Tyler Myers,D,VAN,34,0.0,0.0,0.0,0.0,0.0
85,8474578,Erik Karlsson,D,PIT,34,0.0,0.0,0.0,0.0,0.0
86,8474586,Jordan Eberle,R,SEA,34,0.0,0.0,0.0,0.0,0.0
87,8474590,John Carlson,D,WSH,34,0.0,0.0,0.0,0.0,0.0
88,8474600,Roman Josi,D,NSH,34,0.0,0.0,0.0,0.0,0.0
89,8474612,Travis Hamonic,D,OTT,34,0.0,0.0,0.0,0.0,0.0
90,8474673,TJ Brodie,D,CHI,34,0.0,0.0,0.0,0.0,0.0
91,8474679,Gustav Nyquist,C,NSH,35,0.0,0.0,0.0,0.0,0.0
92,8474715,Cameron Atkinson,R,TBL,35,0.0,0.0,0.0,0.0,0.0
93,8474716,Jared Spurgeon,D,MIN,35,0.0,0.0,0.0,0.0,0.0
94,8475149,Marcus Johansson,L,MIN,34,0.0,0.0,0.0,0.0,0.0
95,8475151,Kyle Palmieri,C,NYI,33,0.0,0.0,0.0,0.0,0.0
96,8475158,Ryan O'Reilly,C,NSH,33,0.0,0.0,0.0,0.0,0.0
97,8475167,Victor Hedman,D,TBL,34,0.0,0.0,0.0,0.0,0.0
98,8475168,Matt Duchene,C,DAL,33,0.0,0.0,0.0,0.0,0.0
99,8475170,Brayden Schenn,C,STL,33,0.0,0.0,0.0,0.0,0.0
