,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,TOI,Points
1,8478402,Connor McDavid,C,EDM,27,80.85240179758534,44.21455927017701,99.75764215555265,1768.8990561744595,143.97220142572965
2,8477492,Nathan MacKinnon,C,COL,29,80.78275507731081,50.43513526226399,84.60519398870964,1857.2021732940088,135.04032925097363
3,8476453,Nikita Kucherov,R,TBL,31,80.44671465376354,39.128406506802605,92.15576170317884,1753.7024313974962,131.28416820998143
4,8477934,Leon Draisaitl,C,EDM,29,80.84928932495274,44.1633952170855,71.31523210942926,1719.609240702916,115.47862732651475
5,8479318,Auston Matthews,C,TOR,27,80.84720972171644,61.53810447603781,51.696951185967144,1711.456784155932,113.23505566200495
6,8477956,David Pastrnak,R,BOS,28,80.8461685312569,52.72368124070191,59.51626165577884,1623.3530968522448,112.23994289648076
7,8478864,Kirill Kaprizov,L,MIN,27,80.81797486130247,48.8565022886789,60.70147984089034,1746.0986739358823,109.55798212956924
8,8481559,Jack Hughes,C,NJD,23,78.08335693961335,43.92427322268135,64.72666649030853,1701.5296606141578,108.65093971298988
9,8478483,Mitch Marner,R,TOR,27,80.64051023298788,31.043191158855908,76.23343505314645,1743.1833265240205,107.27662621200236
10,8478420,Mikko Rantanen,R,COL,28,80.84303939490547,44.34565617636177,62.63315543256971,1859.6203121915678,106.97881160893148
11,8479314,Matthew Tkachuk,L,FLA,27,80.84199449179252,32.520513167236686,71.7425591227476,1542.8372604944223,104.26307228998428
12,8478550,Artemi Panarin,L,NYR,33,80.84094865850994,32.367762116567505,69.65112934822875,1639.0611491993704,102.01889146479625
13,8477939,William Nylander,R,TOR,28,80.83990189425512,42.74803443174476,56.20503514669421,1608.5759149425212,98.95306957843897
14,8476468,J.T. Miller,C,VAN,31,80.83885419822339,34.00043170947014,64.3896936805192,1621.5076333334093,98.39012538998935
15,8480069,Cale Makar,D,COL,26,80.5533022136504,24.79963254522074,71.39426063704106,2052.1068016091353,96.1938931822618
16,8476887,Filip Forsberg,L,NSH,30,79.85822581481565,45.55165630709406,49.562531263593904,1536.3403639705675,95.11418757068796
17,8477404,Jake Guentzel,C,TBL,30,80.62944846727052,39.186703558728375,55.16019201758493,1634.1693067622068,94.3468955763133
18,8471675,Sidney Crosby,C,PIT,37,80.83675600760861,39.00066930983221,55.10764939697495,1639.1174349947116,94.10831870680715
19,8477493,Aleksander Barkov,C,FLA,29,80.06486339081876,28.32282438118693,64.54215415164946,1630.9339320775239,92.86497853283639
20,8480012,Elias Pettersson,C,VAN,26,80.83360171321661,36.13367117929144,55.655373817101975,1614.7301593841767,91.78904499639341
21,8480027,Jason Robertson,L,DAL,25,80.83254840959808,33.745855511781556,57.56946705233202,1508.0492934309473,91.31532256411359
22,8480023,Robert Thomas,C,STL,25,80.83149416855443,24.614843848929603,64.46888145536187,1691.8550172196863,89.08372530429148
23,8482116,Tim Stützle,C,OTT,22,80.82938287095469,31.49945582747205,56.17078151130128,1716.056637563221,87.67023733877333
24,8477946,Dylan Larkin,C,DET,28,80.57595286567421,40.590063520694216,46.65582684041404,1644.3505414161589,87.24589036110825
25,8480801,Brady Tkachuk,L,OTT,25,80.8262088736115,39.60412689470173,47.58427243829133,1563.3886185107895,87.18839933299306
26,8480800,Quinn Hughes,D,VAN,25,80.85039693409948,11.935375100415577,75.20907092910622,2038.7432282563852,87.14444602952179
27,8478010,Brayden Point,C,TBL,28,80.82514899099793,42.04440252605054,44.77946639832012,1636.8808751732597,86.82386892437066
28,8478427,Sebastian Aho,C,CAR,27,80.82726781393383,36.658696036662676,49.420971605855215,1604.5521816969979,86.07966764251789
29,8474564,Steven Stamkos,C,NSH,34,80.82302639564277,37.697230074184446,48.30641439368888,1504.8575137368757,86.00364446787333
30,8484144,Connor Bedard,C,CHI,19,80.5230659072875,32.58453479800777,53.30786349467541,1625.5893123649707,85.89239829268318
31,8478445,Mathew Barzal,C,NYI,27,80.41144420206876,23.490758663405934,62.01586176425771,1627.2164490519017,85.50662042766365
32,8479343,Clayton Keller,R,UTA,26,80.81876986160383,36.732306389959305,48.330953670342204,1601.0365360365133,85.0632600603015
33,8479407,Jesper Bratt,L,NJD,26,80.82090002135325,30.543305514532165,54.32600656628945,1550.9109697310396,84.86931208082162
34,8480002,Nico Hischier,C,NJD,25,80.74937105817887,32.75020144865472,52.05765261067267,1593.9302849219052,84.80785405932738
35,8477942,Kevin Fiala,L,LAK,28,80.8166359098586,31.916803555057633,52.35314506874123,1473.2110987080143,84.26994862379885
36,8481557,Matt Boldy,L,MIN,23,79.82938979938243,36.55289280941483,47.633725179804394,1530.5554750749538,84.18661798921923
37,8477933,Sam Reinhart,C,FLA,29,80.81556750994214,40.073024340388194,42.90767338824714,1643.5602622344495,82.98069772863533
38,8478398,Kyle Connor,L,WPG,28,80.74372008345907,40.117330112245526,42.371807385486456,1644.636799177196,82.48913749773197
39,8474600,Roman Josi,D,NSH,34,80.84838861798805,21.62047180056234,59.6182428431556,2030.760490303129,81.23871464371794
40,8479323,Adam Fox,D,NYR,26,80.84637684347982,15.647029781884351,64.32214567388598,1937.8138497796315,79.96917545577034
41,8475172,Nazem Kadri,C,CGY,34,80.8005097393756,30.933534690040116,47.21817261461106,1503.071067105799,78.15170730465118
42,8479420,Tage Thompson,C,BUF,27,80.81235660418409,40.79609298705552,37.25755037403272,1490.445838815485,78.05364336108823
43,8476459,Mika Zibanejad,C,NYR,31,80.81021123712964,28.797606177330476,49.08633510484981,1621.0610264282968,77.88394128218029
