,PlayerID,Player,Team,Position,Age,ATOI,GP,Gper1kChunk,A1per1kChunk,A2per1kChunk
0,8477495,Seth Jones,CHI,D,30,1.6511887862520673,6.042599545187716,0.6673045305135559,1.2211693276726154,1.0588960383738024
1,8478469,Thomas Chabot,OTT,D,27,1.8287611530036174,7.505767914727037,0.7845596555458879,1.0830996459687485,1.0413906205681915
2,8470613,Brent Burns,CAR,D,39,2.8857942983002087,9.992537518558944,1.176503428012843,1.6757651541778513,1.2763241083693013
3,8471724,Kris Letang,PIT,D,37,1.7784611532307493,8.643488303354667,0.7095839160348367,1.661921768949044,1.4570868335773046
4,8474563,Drew Doughty,LAK,D,35,2.1919695616680155,7.929754530406778,0.7139997181895241,1.7676070766121326,1.46348955835041
5,8480069,Cale Makar,COL,D,26,2.3218586501130862,14.453382986028242,1.265970147033646,2.932905812640328,3.1800885563406576
6,8478460,Zach Werenski,CBJ,D,27,1.8876153557823856,15.896389252029522,1.125376555604015,1.8890286571057784,1.6049503042072053
7,8474600,Roman Josi,NSH,D,34,1.6023621699551083,15.381534330303987,1.4467659126320327,2.4617652898906437,2.137389884512051
8,8478038,Devon Toews,COL,D,30,1.4111210058185737,6.860572675015381,0.6187993773099828,1.6158400852245671,1.717442627314493
9,8480800,Quinn Hughes,VAN,D,25,1.4997900991473019,10.609957732482385,0.7427385957705855,3.1797297316259483,2.5148606869606067
10,8475167,Victor Hedman,TBL,D,34,1.7523988924069989,13.310357877539426,0.754919655702275,2.3623619359564842,2.1760860317351405
11,8477498,Darnell Nurse,EDM,D,29,1.8469155516922178,5.4539100000682375,0.7457455396792536,0.9467669940697392,0.9517126394352932
12,8477932,Aaron Ekblad,FLA,D,28,1.9466129693873737,8.54355994924216,0.9507094270271749,1.6094364111436912,1.186518169145135
13,8478500,Ivan Provorov,CBJ,D,27,1.6380317476397128,4.888860907200216,0.4504876327753268,0.9242756672488976,0.8141576496094179
14,8480036,Miro Heiskanen,DAL,D,25,1.4146602854220014,9.169793046017412,0.7552197242525329,1.898467598849062,1.4767945325433443
15,8474565,Alex Pietrangelo,VGK,D,34,1.369476842965089,6.092859825891172,0.8179817092222078,1.3165144845838777,1.1486685548609148
16,8479325,Charlie McAvoy,BOS,D,27,1.2226510625210527,7.370289367331715,0.638641585732923,1.7123295578918014,1.6167760698139115
17,8475764,Cam Fowler,ANA,D,33,1.492393726343106,7.008217353438184,0.4243144290243045,1.0881615826874587,0.9952906159779881
18,8480839,Rasmus Dahlin,BUF,D,24,1.171197207314111,8.681207766927484,1.243989754070465,1.8222891564990067,1.239518319723255
19,8479323,Adam Fox,NYR,D,26,1.325615163310198,8.520296761051991,1.2356358359022275,2.638819024561664,2.17294658421231
20,8474590,John Carlson,WSH,D,34,2.1457373478596646,9.200757076537034,1.0018920417595474,1.5733824138533299,1.5955459014167686
21,8476853,Morgan Rielly,TOR,D,30,1.2564177089434831,8.674740769331073,0.7754621003371706,2.0190719605580743,1.7457176274755362
22,8477504,Josh Morrissey,WPG,D,29,1.7099866768477365,7.311056165631287,0.8805888997753647,2.2584342967863336,1.6972535380445275
23,8470600,Ryan Suter,DAL,D,39,2.0231146087329113,13.522461102119767,0.6077905842251575,1.1027509466154897,1.2251161840519167
24,8476923,Damon Severson,CBJ,D,30,1.89308570846889,5.212904626266312,0.6296492775464019,1.3487848770659168,0.9671352107777202
25,8476892,Colton Parayko,STL,D,31,1.62720845832923,5.050994219122722,0.5175185424286645,0.9560662983170537,0.9085188177593965
26,8476958,Jaccob Slavin,CAR,D,30,1.36050755605292,5.144485329972964,0.5574774196046891,1.189077459222242,1.301011503561252
27,8475218,Mattias Ekholm,EDM,D,34,1.3231724955872353,6.831241773920016,0.6235191101742674,1.2173303532480888,1.256425487904346
28,8474578,Erik Karlsson,PIT,D,34,2.04824450102097,13.844714105809363,1.0291506039577387,2.1774970587033717,1.5612284917747494
